variant,metric,mean,ci_lo,ci_hi,std,sessions
noise,acf_abs10_0.1s,0.04067079852651938,0.03390450287148256,0.04808533158480912,0.01494325374191892,16
noise,acf_abs10_1s,-0.018576964023882453,-0.0349988932955144,-0.0015780839076490261,0.03582186992572108,16
noise,acf_abs1_0.1s,0.2505353157730481,0.2386316784516107,0.2634171374928881,0.02599254583040882,16
noise,acf_abs1_1s,0.12897642208783783,0.1026168197642836,0.15666119418488927,0.05853434497836692,16
noise,acf_abs50_0.1s,-3.745457780033668e-05,-0.0077405766141042925,0.008253465801603046,0.016984427981837805,16
noise,acf_abs50_1s,-0.006610366934844271,-0.021527522958870823,0.008019346479788868,0.030972223622041894,16
noise,acf_ret1_0.1s,-0.05155631625955362,-0.062044247744159196,-0.0412721470096966,0.021744893051065035,16
noise,acf_ret1_1s,-0.002368441243930746,-0.03213239234076594,0.028131839581455802,0.06401346058792985,16
noise,arrival_cv,0.9943555096871828,0.9900262204710865,0.998616132962042,0.008888035598753794,16
noise,fano_0.1s,0.9946859967122017,0.9846581949910724,1.0039736557047878,0.02060107744980209,16
noise,fano_0.3s,0.9814080304469236,0.9624310481769586,0.9989407422496971,0.03833185117705529,16
noise,fano_10s,1.0000657871340413,0.9343674178202503,1.0675565889769563,0.1385751146066819,16
noise,fano_1s,0.9738460732867573,0.9465722648658241,0.9991763222352016,0.054635011118610445,16
noise,fano_3s,0.9539556448560246,0.9223069895899592,0.9923514024101979,0.07238670984558385,16
noise,hill1_0.1s,3.506856470880051,3.0979511419475214,3.931528335336199,0.8669971332516109,16
noise,hill1_1s,3.7205060653236384,3.2661330844679495,4.223050030210448,0.994504624885914,16
noise,hill5_0.1s,3.2689985976590625,3.0588922323099745,3.473649737016544,0.44232729182285535,16
noise,hill5_1s,3.014913961955509,2.743783061613775,3.3135773126487247,0.6060228791790012,16
noise,kurt_0.1s,25.302639453009284,19.91071639334875,31.600310661724325,12.57788964302483,16
noise,kurt_1s,10.626899677000086,6.971591865499062,14.619495303742603,8.048235594105988,16
noise,n_aggressive,8890.375,8838.05625,8944.375,108.8024969076231,16
noise,sign_acf1,-0.0011340761316046368,-0.00759916309495268,0.004207046844079304,0.012700449692656586,16
noise,sign_acf10,-0.0033635721722037955,-0.006702310599878362,-7.918574920670386e-05,0.0069689630949030185,16
noise,sign_gamma,-0.012552605941960176,-0.10814880521610253,0.07698297846682288,0.1976161227188293,16
noise,sign_r2,0.023330942876709018,0.010204629944823901,0.03954762835612872,0.0310924692511622,16
noise,size_hill5,3.833512754163107,3.740711361268516,3.9288550655076344,0.19892531915125905,16
noise,spread_mean,1.5013374404792952,1.4858370417144457,1.516242302743228,0.031065719710320405,16
noise,spread_median,1.0,1.0,1.0,0.0,16
noise,spread_q99,5.0,5.0,5.0,0.0,16
