beta_obi_x,c_latency,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi
1.0,1.0,12,8.037916666666355,7.6699999999997885,2.8407021045809713,6.700916666666451,9.60099999999968,18.853333333333335,17.8575,3.6051726306752214,17.0334375,20.883052083333332,-10.815416666666978,-9.952500000000516,4.140727570199082,-13.104260416666946,-8.796062500000348,0.23078493862901897,0.24000874977870024,0.09409842957121525,0.18319275107519445,0.2795704581956447,2.582500000000001,2.5100000000000477,1.177911286982094,1.9964270833333457,3.2573020833333715,0.2224698500028374,0.21694644926046114,0.018067832673055007,0.21334033175341835,0.23198124117048796,1.2395539609147777,1.291437442694007,0.2333971437746051,1.1067177446443934,1.3616012471186985,171.08333333333334,160.0,29.5710495197071,156.66458333333333,186.59166666666667,6.447292209672749,6.4404865334491745,1.088379117696464,5.864476542137272,7.006112438459311,21.333333333333332,21.0,3.8924947208076146,19.25,23.583333333333332,0.31836102947924094,0.2971065002678972,0.06396777499585173,0.28615861163639206,0.3532916714655737,0.3475181109029201,0.35566944823629015,0.0272464599751016,0.3331890599667029,0.36155076393396607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,12,7.865416666666616,8.335000000000264,3.427315712394122,5.983052083333325,9.785041666666643,17.62,16.5875,3.8629345886726636,15.745177083333331,19.938343749999998,-9.754583333333384,-9.210000000000424,4.346103510007202,-12.215322916666853,-7.610708333333413,0.24101183530637657,0.27977966717478964,0.13111519374581387,0.17099078184992766,0.31358096672119884,2.8375000000000923,2.8600000000004684,1.2492061115328503,2.21782291666659,3.5562812500000067,0.19110505211908627,0.19153129479216435,0.022545081160710512,0.17876353123182975,0.2036158702413287,1.3377848965361359,1.245985759538026,0.3955407911341735,1.1328990407302886,1.5472069162312048,148.66666666666666,143.0,25.829276318772756,135.49583333333334,163.41875,6.151679698812628,6.060816681146829,1.0400254204179957,5.562856573993629,6.692966261222128,21.333333333333332,21.5,3.96194014303216,19.25,23.5,0.3122034704380349,0.31798519062090724,0.07276085811236514,0.27551727456302033,0.3535034455381429,0.3381109251750592,0.35181082774675554,0.03552398878265715,0.3170991335393935,0.3566151173983848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,12,8.969583333333416,9.777500000000458,3.8446991006114852,6.912000000000363,11.043416666666742,19.146666666666665,18.755,3.266452992393302,17.47292708333333,21.0161875,-10.177083333333252,-10.219999999998736,3.665762018222804,-12.28189583333351,-8.478072916666353,0.24258860717283628,0.25049960918778286,0.10496223086872758,0.18449481622289224,0.2959557330031235,2.669166666666674,2.134999999999877,1.3158143578189605,1.998947916666568,3.466364583333346,0.26248926917821297,0.26297467967900723,0.021836598723105248,0.2509897249535931,0.27347388219746926,1.2666447297477916,1.3155656767631885,0.22520092139977205,1.151105929112943,1.3814052757701478,190.41666666666666,189.0,25.353709907242493,176.74791666666667,204.50416666666666,7.138285548798145,7.049522154648132,1.2898655938738153,6.45951708659137,7.813374239791485,25.5,25.5,2.7797972457128464,24.0,26.916666666666668,0.32601774739605466,0.32036948055182335,0.04339678401111642,0.30401561232098123,0.35074672192238493,0.38270088391910545,0.38991291544890805,0.030536653329880713,0.36431534032979773,0.39731348159985624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.5,12,6.51750000000026,6.434999999999405,3.5223097406520676,4.705614583333197,8.340666666667198,18.689583333333335,17.177500000000002,4.202973221603386,16.690624999999997,21.084635416666664,-12.172083333333072,-11.379999999999717,3.8366293553855586,-14.383718749999721,-10.229395833333212,0.1856640897996211,0.15975584073888152,0.122283016492907,0.12503914449039047,0.2531191429778637,3.2074999999998304,2.907499999999942,1.3407960661146137,2.4987187499998966,3.900499999999823,0.2326262505993905,0.23055449140878842,0.03302611271731695,0.2157981051597435,0.2511253909268791,1.2998221113598347,1.2667262235817573,0.39938653579146643,1.1012984759482163,1.494096101697713,174.0,160.5,35.8785831279989,156.33125,193.50208333333333,7.427888792354474,7.076455256298871,1.3742711822886755,6.740911888213148,8.132665435852882,24.0,23.5,3.567530340063379,22.164583333333333,26.083333333333332,0.33113076428511395,0.3214539307865279,0.05887105821370417,0.29946123402346686,0.3627493374446012,0.3624878308941313,0.35825967705334394,0.03474435173627479,0.3428247412494048,0.3797638279319859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1.0,12,7.832500000000084,8.045000000000215,3.6718427996653324,5.972906250000077,9.809593750000117,18.31291666666667,17.67,3.324307486552878,16.70329166666666,20.31426041666667,-10.480416666666583,-9.322500000000305,4.426689948654077,-12.919916666666575,-8.352854166666749,0.2230290014532623,0.22232647969943697,0.1248091464900198,0.1576746667238516,0.2869503244773367,3.1645833333332454,3.1949999999997374,1.4542499759065135,2.4081874999999684,4.007281249999848,0.21317037651310042,0.21032695374800636,0.01622229678614255,0.20506199262109356,0.22145366866462557,1.418650866029363,1.4297726440150198,0.2842743689043484,1.268015925497555,1.5487935730106823,163.33333333333334,160.0,25.730538394301156,150.33125,178.08541666666667,6.430060816681146,5.751086012163336,1.2174694844243705,5.820654141326383,7.089295540110049,22.5,22.0,3.5032452487268535,20.75,24.583333333333332,0.3283779827864946,0.2999010206576967,0.09650130679805674,0.2812638984480156,0.3830564291350614,0.34838947599891307,0.35941808651389673,0.03794107746710277,0.3263914286608571,0.36711163752432924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,2.0,12,8.67541666666662,8.849999999999795,2.234174098300355,7.504729166666415,9.807250000000106,17.542916666666667,16.9325,3.1051456255803216,15.99916666666667,19.34042708333333,-8.867500000000048,-8.739999999999787,2.309750576852972,-10.063812500000171,-7.55300000000003,0.22042703859849408,0.21707046053265655,0.0817795663884516,0.1812571101817353,0.2704007968627344,2.860416666666642,2.7424999999996658,1.1766969532113536,2.216510416666662,3.477124999999992,0.19288833853437878,0.19110907112743097,0.01478618325591532,0.1854171691290183,0.20108583716765327,1.4471713405942734,1.5241977685624013,0.3558494393745774,1.2487167737829217,1.6238552407042106,147.66666666666666,145.0,23.297808454613897,136.08333333333334,161.00625,6.856791196061395,6.906602953953085,1.1945214306915053,6.20323450622647,7.423586374167391,22.916666666666668,23.0,3.9648073054937956,20.74791666666667,24.833333333333332,0.35662818657833223,0.3731672639845042,0.05547465964184816,0.3231020308950029,0.38292099219713926,0.3447042901562478,0.3473556390174172,0.028407525920931567,0.3284694436239967,0.3601580622379537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,12,8.446250000000001,8.30999999999986,2.7726260320564866,6.949520833333359,10.00339583333349,18.78166666666667,18.475,3.3169614609357962,17.091645833333335,20.530427083333333,-10.335416666666665,-9.742499999999954,3.3615969272827626,-12.162927083333303,-8.653104166666482,0.22872753669051926,0.22291714014457703,0.08347841164872805,0.1798369669599054,0.27512621930076103,2.8520833333334963,2.1950000000003342,1.7051239068991424,2.0645729166667333,3.8960729166667267,0.24074205225712716,0.2439826073245723,0.02903668837645546,0.22569269589886481,0.25643588744297147,1.3645367530690606,1.360681093640244,0.2941223515406659,1.2199900714048761,1.5187704833686184,181.91666666666666,181.0,26.407500082477714,169.74375,195.84166666666667,6.866565305531421,7.009991311902693,1.31819562235545,6.160966912829423,7.541673906747755,22.5,22.0,4.757768766592554,20.0,25.16875,0.3423784623110641,0.3108707408731746,0.11302668476008759,0.2873172749312908,0.40953197451636597,0.36119951497944336,0.3616930065651487,0.029887157322663088,0.3449170747462526,0.3770774951564679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5,12,6.859166666666854,7.122500000000883,2.829672188959103,5.308322916666617,8.384187500000024,18.162083333333335,17.37,3.5947072572257555,16.34066666666667,20.211708333333338,-11.302916666666482,-11.397500000000361,3.373210945572905,-13.293124999999966,-9.582031249999979,0.19456278469133623,0.20217156937031033,0.09420010697406327,0.14450089078234557,0.24660564136822413,3.1808333333333394,2.6400000000003843,1.617206954391887,2.3673333333334083,4.096281250000053,0.2237928489642013,0.22622257467618292,0.02123167406398834,0.21234284520259902,0.2348954068348175,1.3515021366582864,1.3460769980506821,0.34347835760635237,1.1657069382538499,1.520861592052145,176.25,171.5,28.30716260145927,162.4125,192.66875,6.86280046336519,6.720677671589922,0.8969120212973017,6.40912793223284,7.353060744280336,22.75,23.0,3.0488447886789096,21.0,24.25208333333333,0.317427170773996,0.3083809861320297,0.043341241015492506,0.29573761668709186,0.34222829725105824,0.3494424278701655,0.35528469368228066,0.0348908722646073,0.3284904080600464,0.3670906089291504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,12,7.806666666667046,8.705000000000439,4.8739382682207895,5.453406250000332,10.541541666667095,18.414583333333336,17.0925,4.031367610452569,16.49679166666667,20.840708333333332,-10.60791666666629,-9.44249999999938,5.3165818899389805,-13.607531249999854,-8.080406249999367,0.21893842973268307,0.25731161273693914,0.148357061715748,0.14536984983425363,0.3065196251996676,3.101250000000036,2.1424999999998136,1.5795455689994617,2.2341770833333374,3.9122395833333274,0.20222739835756567,0.20155705879998398,0.023258528533560162,0.18973617758351777,0.21431303608591637,1.3944688503285398,1.4460258200830827,0.3982321209283513,1.1797436086694264,1.5860459000729523,167.66666666666666,155.5,28.96183486569659,153.07708333333335,184.83333333333334,6.690920938314509,6.413119026933101,1.1693025937736305,6.055973066898349,7.317508326093252,23.5,24.5,4.358898943540674,21.08125,25.833333333333332,0.3398414757390165,0.34078191037047245,0.05960167526559799,0.3071033532142836,0.3710444375765679,0.3312551991609845,0.33492223137941846,0.027984152257794007,0.31511876857046595,0.34508509963887324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,12,8.564166666666772,9.297499999999957,3.1285444141829943,6.830718750000139,10.038864583333599,18.28708333333333,16.767500000000002,4.316410260607626,16.087041666666664,20.72664583333333,-9.722916666666562,-8.154999999999884,4.098268180992116,-12.082541666666367,-7.529760416666601,0.24925444076117886,0.2509872643805441,0.11269590230733642,0.1899576351781158,0.3112554284575679,2.6204166666665762,2.4999999999998295,1.1757308333221743,1.9853541666665013,3.254791666666625,0.18196945287024532,0.1791786032968581,0.025003195924511813,0.16805802622494678,0.19517047405764493,1.614480303142354,1.6372992628669212,0.4180056358596472,1.392433619821494,1.8235624508983321,148.66666666666666,137.0,32.828295260292904,131.07916666666668,165.75416666666666,6.9560527077903265,7.004344048653345,1.133969718468015,6.335125253402838,7.523242470315668,22.416666666666668,22.0,2.937479851639476,20.75,23.833333333333332,0.3204776979559939,0.3182627059829055,0.0692028209103685,0.28230659146720444,0.35757655272607297,0.3238062581360622,0.3176146222179255,0.03466862279353593,0.3055585280467485,0.34312409519244946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
