lambda_inv,c_adverse,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi
0.02,0.0,12,7.984583333333165,8.750000000000483,3.7190024678750695,6.007249999999854,9.93608333333338,20.638333333333332,19.2575,3.0393901401831296,19.096989583333333,22.313822916666666,-12.653750000000167,-11.707499999999778,4.265261435555469,-14.97355208333382,-10.479104166666659,0.17639545114378705,0.18889573258708298,0.08932460547244449,0.1316426252553073,0.222850879542875,3.224166666666657,3.1949999999997942,0.7215539837842652,2.8366666666667477,3.603781249999836,0.3309903787245889,0.33579660040334197,0.017988335551871196,0.321442265294051,0.34050646169212173,1.2235286606551956,1.2541282093168886,0.19685590004682663,1.1152477309280466,1.325516348525556,225.16666666666666,216.0,24.57579494074804,211.58125,239.08541666666667,9.537648421662322,9.8627280625543,1.1856431870184456,8.896718433246454,10.151066101940344,29.583333333333332,30.0,2.7122058561364044,27.914583333333333,30.91875,0.40365736309595396,0.422278612225137,0.04712126150300831,0.37751632920389483,0.42641782327764166,0.40123109941931645,0.39288264283025753,0.035338104186055735,0.38150536023434917,0.42129450667558305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.5,12,5.276249999999732,7.28499999999984,6.328914212851535,1.8010416666661726,8.446437499999385,19.368333333333332,19.33,2.6159869798582482,18.041197916666665,20.86944791666667,-14.0920833333336,-11.905000000000634,6.178705902435164,-17.54468750000023,-10.944854166666964,0.1366397309626706,0.16143450377022756,0.13243679660345758,0.06485081063613897,0.2094025804547679,5.063750000000056,3.962500000000091,3.78764146150451,3.143697916666868,7.153729166666626,0.27936831819235985,0.2795730706075534,0.019394743754094133,0.26952298128579666,0.28896959997232635,1.199797575691792,1.2070698676070997,0.23456760073258062,1.0801142876781737,1.3282959176639362,194.0,189.5,22.22611077089287,182.83333333333334,206.66666666666666,10.015928178395598,10.393136403127716,2.257182343814034,8.772954677092386,11.222475021720243,30.083333333333332,30.5,4.888917584856095,27.333333333333332,32.50208333333333,0.4518368071363599,0.4187519929644822,0.13944024067228428,0.38108161851158373,0.5271651600468764,0.38235930784651573,0.3874581344052386,0.028078561200271576,0.36595476154456147,0.39632087408711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1.0,12,6.680833333333472,4.435000000000173,6.940386363797277,2.9219687500002807,10.715385416666619,18.38041666666667,18.01,3.2531840754540586,16.741770833333337,20.2634375,-11.699583333333194,-12.16749999999966,7.008445054598772,-15.325562499999526,-7.790656250000006,0.1283779307826382,0.08047131203532627,0.137784344620119,0.0543646691383013,0.2089562584679082,5.547083333333252,5.282499999999601,2.985929471807134,4.002906249999871,7.144083333333411,0.2366263974286653,0.23202537593984962,0.035101235577669955,0.21802377236534148,0.2554013862613469,1.3928531083806523,1.2810699681962745,0.44547604253837525,1.1540762395726505,1.6503215551237094,176.16666666666666,171.5,30.85105960559343,161.32291666666669,194.08541666666667,11.728496959165943,11.920503909643788,2.2835175453335754,10.384681798436143,12.858116130900665,32.916666666666664,32.0,4.851585182997283,30.333333333333332,35.416666666666664,0.4984173139129313,0.4700222309225025,0.1109483536096394,0.4415909069437641,0.5610593297083252,0.3604216028063943,0.3561088033470744,0.03480416079911783,0.34088090943178895,0.37991151037533305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1.5,12,4.90875000000014,4.6925000000003365,5.533703808562651,2.0403645833335085,8.140249999999632,16.290833333333335,16.225,2.998680644226825,14.795916666666667,17.90207291666667,-11.382083333333194,-11.380000000000498,6.808339958639687,-14.969020833332433,-7.648989583333934,0.0799108718691899,0.07401393947812011,0.08473620007417118,0.03549974695566064,0.12746096354768247,6.635416666666434,6.487500000000182,2.116004444845141,5.503947916666791,7.736541666666312,0.1919738216810062,0.19319065067732621,0.026223211322366866,0.1783504504982206,0.2062632337026516,1.3520441428759657,1.2542496587865208,0.5005642431505213,1.1033985370548651,1.6133721518259847,149.0,144.0,27.987009973784755,134.83333333333334,164.83541666666667,13.416015059368666,12.510425716768028,2.0042716493878916,12.413117216912829,14.600481465392411,35.0,35.0,5.799686511904211,31.916666666666668,38.08541666666667,0.5891494638038376,0.564388813083605,0.11739347072036917,0.5305248199804248,0.6514310883498396,0.34182789757375565,0.34167729010921694,0.031545188582949364,0.3249846870903655,0.3587762923902201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,2.0,12,6.6829166666667055,5.899999999999949,7.555282456164344,3.0682708333329174,11.199354166666538,16.55875,15.245000000000001,4.4279921188441,14.417375000000002,19.138375,-9.875833333333295,-9.235000000000152,6.963244682987682,-13.403781250000153,-6.040135416666189,0.12074891811010886,0.10105380662393497,0.13951830604783616,0.053640644330695875,0.20600163716857006,7.115000000000042,5.8474999999994,4.594838507400937,4.6081354166664115,9.59407291666699,0.1754563308190055,0.17776500960933833,0.03070949743566619,0.15965835250790653,0.19184205085346986,1.629654136814226,1.5861182682691166,0.45147936639341535,1.4014077169203907,1.8710474725004458,138.75,128.0,34.60983832800883,122.57708333333333,159.16666666666666,14.442658557775848,14.296698523023458,4.21402006282835,12.234413915435852,16.82188857515204,34.5,33.0,5.977229519373731,31.416666666666668,37.918749999999996,0.6161615678545801,0.5268694461947395,0.20017210672752903,0.5059929968624535,0.7306055304135707,0.33494838088726864,0.3273301825236163,0.032581354388998146,0.3177393196873344,0.3518705306927103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,12,8.779166666666558,8.989999999999327,2.5484673052757714,7.5160833333331265,10.209187500000034,21.54375,21.2275,2.7785461576155255,20.22591666666667,23.1435625,-12.764583333333443,-13.040000000000012,3.076624078384914,-14.336291666666703,-11.121697916666967,0.2522547797569171,0.23511695866450955,0.11466859542624687,0.1961737146214128,0.31379559710570737,2.622916666666574,2.689999999999941,0.885195043564601,2.1628229166666046,3.1042187499998666,0.33322317157996206,0.33151246484579816,0.01845216472749506,0.32402087909895566,0.3438343574017823,1.2209974445841714,1.2249678338388015,0.24250150679617707,1.0932273117746505,1.3453489434081878,228.83333333333334,224.5,25.69695182961071,216.66458333333333,243.25833333333333,6.72089487402259,6.855777584708949,1.0428851992189438,6.1284661888213146,7.279309658268173,24.916666666666668,25.0,3.6793856535947396,22.83125,26.916666666666668,0.32271824788078546,0.322129647712885,0.05428930983486843,0.295354209090218,0.3514581319788586,0.39326420489480224,0.39861910993185845,0.02959101776287324,0.3761193060254694,0.40991511189000646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.5,12,7.825833333333484,8.042499999999905,3.861025436881122,5.8674062499999735,9.911052083333534,20.26291666666667,18.805,4.025396907778351,18.398489583333337,22.654229166666664,-12.437083333333184,-10.937500000000096,6.130936625142758,-15.982333333333044,-9.488802083333436,0.21617475459183896,0.21137596870206662,0.11888643730615497,0.15475451141045116,0.28167568669539184,2.6783333333333323,2.19000000000014,1.5285054098297017,1.9453541666667697,3.538281249999926,0.2803520927791889,0.27081908929303977,0.024519805320645047,0.26815108792321146,0.293718036042395,1.2815719850685559,1.2842588423798615,0.17079140013172797,1.1953425719125474,1.3751474278567477,199.41666666666666,187.5,37.75148000309713,181.66458333333333,221.00625,7.462930784824788,7.469157254561251,1.250137741515504,6.864226759339704,8.187592311033884,23.333333333333332,23.5,2.902454551623922,21.833333333333332,24.916666666666668,0.33566526855445433,0.3308630206982708,0.06308841673653867,0.3027871645791524,0.36722772565548645,0.38055515387227823,0.39254845048137565,0.032588280205703014,0.36192020901612687,0.3961146656476581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,1.0,12,6.2845833333337735,6.142500000000382,6.447903978790129,3.0922708333338447,9.85431250000043,18.09625,17.05,3.023105811909335,16.674708333333335,19.841927083333335,-11.811666666666227,-11.292499999999553,7.360615195797669,-15.962843749999562,-8.090927083332884,0.1581885022963238,0.14015950263058116,0.15805630372170526,0.08319476959366466,0.2525051922827479,4.8224999999999865,4.567499999999711,2.929163315227092,3.3194375000001233,6.356708333333203,0.21724537655873724,0.2185148070078441,0.013310218724608809,0.21027506281434663,0.22430613605110594,1.4409548131262964,1.394265356700301,0.2736050247824767,1.3020394509698168,1.5734731377482374,168.25,162.5,21.650635094610966,157.91666666666666,180.75208333333333,9.279467130031856,9.005212858384013,2.399545790848236,8.055035476397336,10.63433789458442,27.333333333333332,27.0,4.618802153517007,24.916666666666668,29.833333333333332,0.43053709379755656,0.40187283477001345,0.11520713656618747,0.371585130690386,0.491354695998184,0.350898204121393,0.3578348304188341,0.02916444928014629,0.3342138018820914,0.36548371055817364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,1.5,12,4.766250000000397,6.95250000000064,5.303492042127249,1.661635416667414,7.301812500000154,16.42833333333333,16.44,4.286003294728579,14.247781250000001,18.668458333333334,-11.662083333332937,-10.087499999999723,5.034792790867002,-14.297687499999478,-9.13231250000004,0.08918707745874142,0.09922135654348646,0.08785836889612467,0.04097837487811435,0.13327812996611563,6.124583333333125,5.749999999999659,2.6572537586537153,4.736552083333244,7.59349999999964,0.18769134699570922,0.18478817109344928,0.026137115295269544,0.17451104461262215,0.20228060451315122,1.4081762494244394,1.4155881815369906,0.13528733195150638,1.3372863186984125,1.4808800807921014,142.08333333333334,138.5,34.66845129439034,125.24583333333334,161.5,11.177309585867361,10.70894874022589,2.6845144154651464,9.776822690414132,12.648615334491748,32.583333333333336,30.5,5.599648257351581,29.664583333333333,35.666666666666664,0.526731175002049,0.5717913412924168,0.12744332931254607,0.45852309884765124,0.5948914845603096,0.3542521900527822,0.36030618834786676,0.03707183662503478,0.3333949966497622,0.37344250383037675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,2.0,12,7.531249999999914,8.059999999999036,4.082038887281104,5.048489583333349,9.599260416666892,15.579583333333334,15.15,4.520621165248972,13.400812499999999,18.161458333333336,-8.048333333333423,-8.930000000000765,4.0927154429507535,-10.099041666666652,-5.718906250000801,0.11988544270340047,0.11733453001913235,0.07283875131632765,0.08084940035698993,0.15712886189956904,5.549583333333445,5.304999999999666,2.6857379706462545,4.228093749999949,7.082250000000433,0.16480472607842445,0.16820386510041682,0.0323447186844354,0.1470819747150453,0.1808556473865084,1.4966353105307524,1.396238107999464,0.48591454006167906,1.2490954403498262,1.765331560630222,125.66666666666667,127.5,31.346547825973765,110.07916666666667,143.08958333333334,12.644656820156385,12.658992180712424,4.828416368736474,10.110188604112366,15.334551476976545,30.666666666666668,32.0,5.0512524699475785,27.83125,33.166666666666664,0.5998288014333181,0.546125839897788,0.1830665120152567,0.5088020540341077,0.7100104973475952,0.3463423629363118,0.34507503364327374,0.04420462443428544,0.3215968249989134,0.3699911940045404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
