gamma,latency_ms,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi
0.0,0.0,12,3.292083333333013,1.2200000000007094,9.566759083204673,-1.6872812499999439,8.499760416666552,26.155,25.4375,2.7342516011116857,24.7553125,27.778625,-22.862916666666987,-22.79749999999929,9.051263211271944,-27.905687499999974,-17.774499999999822,0.039303812200359854,0.010367623730476068,0.09480670309001467,-0.008284836638633783,0.09175274952787958,13.722916666666606,14.732500000002005,5.04138755175238,10.856458333333007,16.267604166666782,0.24950151522604458,0.24896301961642395,0.012555653815794996,0.24295895180350321,0.25612553580101016,1.1756688794620545,1.146806897580288,0.21920247858427983,1.0533413590558256,1.2896321501630663,367.1666666666667,359.5,33.234246666881916,349.9125,386.0854166666667,26.10693599768317,25.200695047784535,6.929298743279997,22.309931581233712,29.49165942658557,50.0,50.0,0.0,50.0,50.0,0.9727884424672176,0.9535167443029315,0.1717072785443681,0.8785112847300822,1.058881882939417,0.17089631433769933,0.17273544835492338,0.009125462035112572,0.1657732612903955,0.17553748019000392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,12,6.5887500000001085,5.630000000001019,11.686172506040537,0.7812291666664541,12.988979166667221,27.0425,26.6025,2.194257484683807,25.93857291666667,28.192281250000008,-20.453749999999893,-21.697499999999565,11.397437336565421,-26.11002083333374,-14.118249999999936,0.05862679966863151,0.05238837808020677,0.10600019571272949,0.006393877272775374,0.1169894025206889,13.006250000000042,13.725000000000477,5.075331214001889,10.131947916666439,15.678802083333416,0.25514335087600093,0.2555233783833024,0.012141433025187843,0.24867473603660226,0.26152012231558375,1.114905367737306,1.1831478980574426,0.17534101603420268,1.0129555886895472,1.1991049886033287,383.25,377.5,28.06202545660724,368.74791666666664,398.66875,26.63046626122213,27.095134665508255,4.398523432799594,24.135762380538665,28.75150955690704,50.0,50.0,0.0,50.0,50.0,0.9700312385443444,0.9678137136662209,0.08264499785981233,0.9266178715976938,1.0134039709114349,0.16995128918927582,0.1691434255947583,0.007736306791175594,0.16570087446438636,0.1739216130170293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,12,5.057916666668035,7.0125000000000455,10.219734798715134,-0.39759374999817965,10.398343750001356,25.249583333333334,24.8,2.3447993307562913,24.11614583333333,26.607197916666664,-20.191666666665302,-20.250000000000973,9.517639922637313,-25.20910416666602,-15.1111458333316,0.06302480964948562,0.06617524852201748,0.11929443297520483,0.003521180460513083,0.1306442603099935,11.56833333333239,10.849999999996157,5.240180571721059,8.800958333331934,14.469416666665026,0.24243678418004097,0.23982977026395308,0.010960392009589794,0.23695973716719926,0.24868298957913154,1.1507461456907973,1.1558631054572457,0.1316010069722639,1.084166997813122,1.2283096207200805,364.3333333333333,356.0,34.66025581748255,348.08124999999995,385.16875,25.891977990153492,25.421372719374457,4.542836087188896,23.55546626122213,28.347594483058213,50.166666666666664,50.0,0.5773502691896257,50.0,50.5,0.8806457990170476,0.9047995137517091,0.15644054215794645,0.7966293082130593,0.9625276113354035,0.17262900044439997,0.17267444071589766,0.008553539898684666,0.1674899447314053,0.17698719777946736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,12,5.244583333334347,4.445000000002608,11.264877729703471,-0.9125520833322133,10.89022916666864,24.27958333333333,23.665,2.785864039570075,22.811510416666668,25.875854166666667,-19.034999999998984,-18.462499999999004,11.649247927344833,-25.251833333332392,-13.273770833332907,0.060287963500897546,0.038431531804679606,0.11235500899344557,0.0023006443983386057,0.11895243747903739,12.256249999999767,10.330000000000837,5.521195985801609,9.521197916666845,15.30920833333265,0.2391485610348936,0.235683224974858,0.01548802267888953,0.23146843204025794,0.24813212267343646,1.1004020862193602,1.1000284907623337,0.15210837966560986,1.015989432720739,1.1746372606066071,358.4166666666667,347.0,34.18255358654426,341.4166666666667,378.1666666666667,26.18056762235737,25.781928757602085,4.725118854947087,23.717908340573416,28.70718578048074,50.5,50.0,1.0,50.083333333333336,51.08541666666667,0.984808605677784,0.8759342003267683,0.34453132625157484,0.8215573579199654,1.2050124918095244,0.17211629202135512,0.1721965279747659,0.01125065563696342,0.16586907942929366,0.17832739596646724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,25.0,12,0.6266666666662104,-0.6525000000026466,10.756722915405039,-4.65502083333423,6.680531250000795,21.980833333333333,22.3,2.345188336431284,20.776229166666663,23.238479166666668,-21.354166666667123,-22.570000000001073,9.975678795162379,-26.439343750000354,-15.765062499999768,0.01705639471833462,-0.0059302088921291286,0.10533598241766434,-0.03239537383156019,0.07727814812039185,14.097083333333188,13.439999999999827,6.441289911166478,10.648864583332811,17.374666666666844,0.22504788804968903,0.22371940813081834,0.012752949750176462,0.21845817668199816,0.23217257464898747,1.1113185069139726,1.0973455479490426,0.12938993340236923,1.0391450705765126,1.1790166129719954,343.25,346.5,32.116619883282745,325.83124999999995,360.6666666666667,27.451563857515207,28.33058210251955,4.772715946010648,24.856226469736463,29.827861642050394,51.833333333333336,52.0,1.5275252316519465,51.083333333333336,52.666666666666664,0.9836038596712635,1.0152510775571844,0.16239022247221435,0.8965999796109172,1.0663120951601772,0.1716221829337797,0.1694794594302611,0.008446581246393163,0.1673112931192385,0.17635140966886692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,50.0,12,-3.6258333333336927,-4.634999999999536,9.806692944879472,-8.57966666666787,1.662979166666393,21.411666666666672,21.832500000000003,2.4595826820208693,20.151885416666666,22.632770833333336,-25.037500000000364,-26.067499999999534,8.984436922710678,-29.523010416666093,-20.263916666666333,-0.02698974942022396,-0.040376249786027135,0.09508380657761742,-0.07390346392992213,0.025870228696550205,15.82250000000017,17.082499999998163,5.817694599629452,12.561406249998937,18.794916666668303,0.2246541758864504,0.22438641702835954,0.01367836995779891,0.21703030604653598,0.2320801043212434,1.1523747702358251,1.204281106222869,0.2542350088497345,1.0061595592177768,1.278656126727946,343.75,353.0,33.653650349080735,324.4166666666667,360.41875,27.189472922096726,26.78149435273675,5.023885111452655,24.490383362293656,29.959453735881844,53.166666666666664,54.0,1.992409839791244,52.083333333333336,54.25,0.9584549369893572,0.9617403518598499,0.1838869528714382,0.8582694608722903,1.0575769798976535,0.1678863942396486,0.16779423388260756,0.0086681120775515,0.16341579156339925,0.17227831066330873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,12,1.5241666666665215,1.3599999999995873,3.51266399379938,-0.306375000000279,3.2184791666664663,26.903333333333336,25.697499999999998,2.9453201194540144,25.384677083333337,28.630677083333328,-25.379166666666816,-26.00999999999957,3.770578586740685,-27.369270833333218,-23.312250000000354,0.06355761077076548,0.03822340032168155,0.10381090117483387,0.011517135947802128,0.11596629227331004,4.4629166666667475,4.020000000000209,2.646780598742413,3.1899791666667037,5.9678854166666575,0.23888958481815556,0.2365558711361631,0.012791145883756214,0.2324402020806177,0.24598926484151826,1.5525097669917878,1.582926222411206,0.17640237560296687,1.455705905724484,1.6407140860929539,399.5,391.0,35.75548273278583,381.4125,419.3375,3.8216044019693016,3.894874022589053,0.32242054339723275,3.6492977121343757,3.99560346075876,23.833333333333332,22.5,6.589707309451796,20.414583333333333,27.66875,0.34302855538114363,0.31606917818087166,0.11606478328873177,0.2852578911509825,0.4087862072814858,0.15149439989945132,0.15331419760650966,0.006470666176795868,0.1477763479506759,0.1550233538781505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1.0,12,3.3341666666666683,4.907500000000965,4.386355825083077,0.9248541666668028,5.7956354166663075,27.10291666666667,26.564999999999998,3.672725306123836,25.285833333333333,29.122979166666667,-23.768749999999997,-23.3174999999996,5.234668577248803,-26.51204166666666,-20.80885416666637,0.13596617684368015,0.14259371616925168,0.14622970677856778,0.06215006157355829,0.223214890339444,4.086666666666706,3.042500000000132,2.9611110732086607,2.612885416666763,5.738510416666792,0.2397580309989341,0.2370090250119115,0.012724218344928763,0.23332441311061775,0.24682674483357386,1.4569120958779553,1.4383304178023677,0.3532196825908877,1.2709594821442993,1.647155344464441,402.25,388.5,44.38493806769057,380.24583333333334,427.0020833333333,4.004271647842455,3.933101650738488,0.5515823428508448,3.7263611352447157,4.307888068346364,24.5,22.5,5.231026320296655,21.75,27.333333333333332,0.3341062282313609,0.29656916924282484,0.15541128108349017,0.2585311580137105,0.4286830965666684,0.15278324336038615,0.152042295612265,0.009728144341838413,0.14751439329789232,0.15783656402285523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,5.0,12,4.598333333332978,5.752499999999515,3.400253555607595,2.7098333333330684,6.4556249999995075,25.894583333333333,25.810000000000002,3.2082751372132354,24.129322916666666,27.686937499999996,-21.296250000000352,-21.192500000000756,3.978224321226601,-23.404250000000545,-19.19356250000039,0.15514265927193513,0.16413248949798437,0.12159773194453719,0.09057703175324401,0.22070439339844758,3.22750000000009,3.052500000000066,1.6953767347488038,2.3170208333334172,4.139604166666824,0.23428266276586118,0.23562269890616883,0.01493076156421766,0.22596232875518207,0.2425443150647915,1.2627912156142993,1.2673959246808926,0.23782945945447573,1.134068878459906,1.3794911919549175,396.3333333333333,389.0,46.099365669730375,371.49791666666664,421.50625,4.087387778743122,4.039965247610773,0.44894449202853143,3.8529322328410083,4.322621633362293,24.666666666666668,22.5,9.306237725636532,20.49791666666667,30.00208333333333,0.3017401068231668,0.28280606594760893,0.0773237755998013,0.26277615459891634,0.345112222758235,0.15367477203850394,0.15396010569332302,0.009668104697221657,0.14828092046395508,0.1588872254625865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,10.0,12,3.2808333333332746,3.3999999999998636,2.5540661283288157,1.8914687500000489,4.606687499999656,26.62375,26.675,3.8266031251323573,24.707874999999998,28.792666666666666,-23.342916666666724,-22.815000000000488,3.8349306372370333,-25.451999999999586,-21.29391666666711,0.09841357403493593,0.09039165681046699,0.07947794755429538,0.05696783337925271,0.1411480582498963,3.9770833333331743,3.6724999999995873,1.6556397532145368,3.094937499999998,4.879635416666469,0.23407605773430554,0.2313498118347931,0.01601867419749038,0.2258855777361537,0.242491406180068,1.3189377315498334,1.2956352647014366,0.22640884039492631,1.1856579624446024,1.4302697533455844,406.8333333333333,391.0,50.04513114694727,381.74791666666664,433.7520833333333,4.658485375036201,4.642484795829713,0.3144361223035953,4.490663915435852,4.838090066608746,27.333333333333332,27.5,4.7354242074224375,24.666666666666668,30.25,0.31916782522558446,0.3053147710882105,0.06624220174957457,0.28377116198702157,0.35400308617176574,0.15377421221314677,0.15378220365715675,0.01024870885517831,0.14844247070887828,0.15949067406908826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
