latency_ms,arm,windows,pnl_gross_bps_mean,pnl_gross_bps_ci_lo,pnl_gross_bps_ci_hi,pnl_net_B_1/2.5bps_bps_mean,pnl_net_B_1/2.5bps_bps_ci_lo,pnl_net_B_1/2.5bps_bps_ci_hi,pnl_gross_usd_mean,pnl_gross_usd_ci_lo,pnl_gross_usd_ci_hi,n_fills_mean,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_btc_mean,inv_abs_mean_btc_ci_lo,inv_abs_mean_btc_ci_hi,eff_half_spread_ticks_mean,eff_half_spread_ticks_ci_lo,eff_half_spread_ticks_ci_hi,postfill_500ms_ticks_mean,postfill_500ms_ticks_ci_lo,postfill_500ms_ticks_ci_hi,sharpe_1s_mean,sharpe_1s_ci_lo,sharpe_1s_ci_hi,killed_mean,killed_ci_lo,killed_ci_hi
0.0,AS_scaled,8,-1.2525271109167155,-1.8638624496903153,-0.6008884900375794,-2.2525271109167155,-2.863862449690315,-1.6008884900375797,-0.3160259029374757,-0.5116358534998966,-0.1357515000890998,39.25,27.875,51.375,0.0045756422990764056,0.00331627287510623,0.005866552264440852,16.392470715911074,14.046865426876417,18.947463614806146,-47.242836497547664,-52.91838700932084,-41.276457546575635,-0.07772250333631858,-0.10703970858844064,-0.041133279235788044,0.0,0.0,0.0
0.0,adaptive_off,8,-1.5487912639374348,-2.2586806038875706,-0.7651044312362014,-2.548791263937435,-3.2586806038875706,-1.7651044312362014,-0.3434838146875059,-0.5328423664625113,-0.1660642370797198,37.25,27.0,49.0,0.004907128162824255,0.0037843082413527235,0.006043979776207855,16.185028497000417,14.048280982000737,18.624389098760137,-47.88247682672387,-54.150258802343664,-42.00200186529065,-0.08037173920194926,-0.10810022186900886,-0.04352024688764522,0.0,0.0,0.0
0.0,adaptive_inventory,8,-1.171806199149895,-1.6402657644853789,-0.7120476769182309,-2.171806199149895,-2.6402657644853793,-1.712047676918231,-0.27746841343748674,-0.4185245304999903,-0.1438806965000179,42.75,29.121875000000003,58.25312500000001,0.002905970853951268,0.002067244473019734,0.003710078453977858,16.357688371346654,13.912935431179367,18.973560133884206,-48.122388341480374,-55.86089977994265,-41.50916017860304,-0.10686567165955704,-0.13104137940317534,-0.07806565420494896,0.0,0.0,0.0
0.0,adaptive_full,8,-1.2526382098832995,-1.861281990642503,-0.6932719997004135,-2.2526382098832993,-2.8612819906425027,-1.6932719997004135,-0.18106160887497813,-0.2991483036640276,-0.0895128711656093,23.875,18.375,29.50312500000001,0.001804206369615043,0.0011873387131429458,0.0025447345336223623,17.475378091410075,12.579535939686615,22.517776343496696,-45.29291086623196,-53.33800113691933,-35.72057178205033,-0.1135399632020536,-0.14931729985830772,-0.07458670991174374,0.0,0.0,0.0
10.0,AS_scaled,8,-1.3263303835034732,-1.9253390910213941,-0.7009372717526852,-2.326330383503473,-2.925339091021394,-1.7009372717526854,-0.2747357695000332,-0.417234295768849,-0.13867542745000377,37.75,28.0,48.25,0.004444902999469077,0.0034607891710965225,0.005509213115230607,12.336251094635237,11.379880818987358,13.341773585576833,-52.992773766798585,-61.119446444252645,-45.2628813485354,-0.07245955884270527,-0.09892156427757837,-0.03969955494610401,0.0,0.0,0.0
10.0,adaptive_off,8,-1.5136733017204151,-2.3245723795646303,-0.7327512933632789,-2.5136733017204147,-3.3245723795646303,-1.7327512933632787,-0.28686814374992586,-0.4532185379999505,-0.13080706709375914,35.375,26.75,45.0,0.00481236386792141,0.0037056609501080087,0.005985134693008385,12.149094843703185,11.121532082619543,13.1522871091539,-52.837999667773474,-61.384268755672636,-44.84184305536661,-0.06938711187340149,-0.09841598889471266,-0.03552633812323336,0.0,0.0,0.0
10.0,adaptive_inventory,8,-1.2757541059321615,-1.6384394156043753,-0.8740693095859823,-2.2757541059321613,-2.6384394156043753,-1.8740693095859822,-0.2525477877499891,-0.3374956176812834,-0.16308918225779595,36.25,27.625,44.375,0.002673416270878216,0.0020916839714459246,0.0032199725315232397,12.146668222430549,11.072047511290243,13.312064612995478,-52.3431099352845,-61.21736847223967,-44.806581799251305,-0.11576488494918763,-0.13415056877159384,-0.09375132481679958,0.0,0.0,0.0
10.0,adaptive_full,8,-1.2211599514769975,-1.9214836278962923,-0.5988677779112996,-2.2211599514769977,-2.9214836278962926,-1.5988677779112996,-0.1544752513749712,-0.24116196666708528,-0.07459690476094394,21.25,16.625,25.875,0.001847842456948276,0.001148846745091595,0.0026166214223527313,13.2914058118917,10.424224925237699,16.295817711575566,-53.02816479046997,-60.93667022676103,-43.707787141428895,-0.08761628691946202,-0.11731818755325202,-0.057896780268695484,0.0,0.0,0.0
