window,latency_ms,arm,n_fills,pnl_gross_usd,notional_usd,killed,pnl_edge_usd,pnl_inventory_usd,inv_abs_mean_btc,inv_max_abs_btc,eff_half_spread_ticks,postfill_500ms_ticks,postfill_100ms_ticks,fill_rate_orders,quote_lifetime_s,sharpe_1s,max_drawdown_usd,touch_fidelity,pnl_net_A_0bps_usd,pnl_net_A_0bps_bps,pnl_net_B_1/2.5bps_usd,pnl_net_B_1/2.5bps_bps,pnl_gross_bps
0,0.0,AS_scaled,54,-0.6330236739996735,3177.9083127900003,0.0,0.07342065,-0.7064443239996735,0.00785712434814815,0.01,18.745882938078367,-58.377815815032726,-47.64361077947663,0.03821656050955414,0.36636626236044656,-0.09092945811465183,0.764915523999548,nan,-0.6330236739996735,-1.9919507162996757,-0.9508145052786736,-2.991950716299676,-1.9919507162996757
0,0.0,adaptive_off,51,-0.6863535029999639,2700.2804327850004,0.0,0.061317377500000006,-0.7476708804999639,0.008261821481481482,0.01,18.424017358738652,-62.33370516465442,-49.941036266098415,0.20454545454545456,1.834307917431193,-0.09300358572898905,0.8408909529999846,nan,-0.6863535029999639,-2.541786011062845,-0.956381546278464,-3.5417860110628454,-2.541786011062845
0,0.0,adaptive_inventory,62,-0.4604459804999408,3350.8311917070005,0.0,0.076240508,-0.5366864884999408,0.004046053281481481,0.00697341,18.46233952413298,-70.02438664104622,-49.879905025166394,0.20363636363636364,1.970545673992674,-0.14507640980414369,0.4837601114999188,nan,-0.4604459804999408,-1.374124669841627,-0.7955290996706408,-2.374124669841627,-1.374124669841627
0,0.0,adaptive_full,25,-0.246802173500015,1399.1329686420002,0.0,0.0371710135,-0.283973187000015,0.0025405495925925926,0.00390483,21.55547382186049,-58.60327933497059,-42.8154612960187,0.07317073170731707,2.207786885245902,-0.1290971758850904,0.28105744200001936,nan,-0.246802173500015,-1.7639651057580426,-0.386715470364215,-2.7639651057580426,-1.7639651057580426
0,10.0,AS_scaled,51,-0.5337243100004798,2926.5170195919995,0.0,0.053478488000000005,-0.5872027980004798,0.007192657362962963,0.01,14.827934533428122,-67.40796494430772,-51.223452865909316,0.02480916030534351,0.3285946210191083,-0.09263488264903687,0.6756889100003036,nan,-0.5337243100004798,-1.8237526261675014,-0.8263760119596798,-2.8237526261675017,-1.8237526261675014
0,10.0,adaptive_off,40,-0.6408750519996147,2036.878520468,0.0,0.035226458,-0.6761015099996147,0.007754192562962963,0.01,14.031359637243124,-74.64935599820278,-57.652563260988025,0.15675675675675677,2.318207863387978,-0.09702718006468906,0.8087750519997599,nan,-0.6408750519996147,-3.1463587325392637,-0.8445629040464147,-4.146358732539263,-3.1463587325392637
0,10.0,adaptive_inventory,47,-0.41054710349999723,2613.1823760420007,0.0,0.049595836000000004,-0.46014293949999724,0.003661804774074074,0.00600706,15.40043913567715,-77.05252254599327,-56.738481693519816,0.16517857142857142,2.4181385090090086,-0.15175439784486286,0.443767671000046,nan,-0.41054710349999723,-1.5710618105492637,-0.6718653411041973,-2.5710618105492635,-1.5710618105492637
0,10.0,adaptive_full,29,-0.33863819799981343,1473.0665106410001,0.0,0.037017315,-0.3756555129998134,0.003886460074074074,0.00550537,20.390563805280777,-57.50166683742661,-40.97727240177723,0.084,2.171273661290323,-0.1157851463064916,0.40948786149988337,nan,-0.33863819799981343,-2.2988656354182955,-0.48594484906391344,-3.2988656354182955,-2.2988656354182955
1,0.0,AS_scaled,40,-0.4873372559999325,2127.751879704,0.0,0.047146712,-0.5344839679999325,0.005336842740740741,0.01,17.976759366868905,-45.060565504787526,-39.7769742641788,0.039149888143176735,0.5369883822869955,-0.10440813431726663,0.6221108560000346,nan,-0.4873372559999325,-2.2903857383396033,-0.7001124439703326,-3.2903857383396033,-2.2903857383396033
1,0.0,adaptive_off,35,-0.5453517040000406,1965.5228635360002,0.0,0.041523112,-0.5868748160000407,0.005440662222222223,0.01,17.139556386235228,-43.551215859670904,-39.13167162542804,0.20125786163522014,2.852545363057325,-0.1106587276828667,0.680340204000089,nan,-0.5453517040000406,-2.7745884523517885,-0.7419039903536406,-3.7745884523517885,-2.7745884523517885
