env,gamma,seed,pnl_net,pnl_gross,fees,pnl_edge,pnl_inventory,pnl_realized,pnl_unrealized,pnl_vol_1s,sharpe_1s,sharpe_ann_247,max_drawdown,pnl_1s_q05,pnl_1s_cvar05,pnl_1s_worst,inv_mean,inv_std,inv_abs_mean,inv_max_abs,inv_q05,inv_q95,inv_final,n_fills,n_maker_fills,n_taker_fills,filled_qty,n_quotes,n_cancels,n_rejects,fill_rate_orders,fill_ratio_qty,cancel_rate,quote_to_trade,quote_lifetime_mean_s,quote_lifetime_median_s,avg_edge_ticks,pnl_per_lot,killed,kill_time_s,sigma_hat_final,n_sigma_clamped,n_offset_clamped,market_trades,mid_max_dev_ticks,diverged,market_spread_mean,guarded,crashed
noise,0.0,4200000,0.7900000000036016,0.7900000000036016,0.0,14.085,-13.2949999999964,2.149869335144267,-1.3598693351406652,0.508168526407854,0.008883442164781269,49.886677755709016,5.209999999998217,-0.7600000000004912,-1.2700000000000324,-2.4299999999993815,3.8663620788121076,34.7337982126768,30.17704169046259,50.0,-50.0,50.0,-42.0,268,268,0,938.0,964,807,0,0.241701244813278,0.20176382017638203,0.8371369294605809,6.608208955223881,0.3366903793045738,0.2,1.501599147121535,0.0008422174840123684,0.0,nan,1.5931475239675965,0.0,0.0,4804.0,9.5,0.0,1.3889206167904056,,
noise,0.0,4200001,-3.8950000000022555,-3.8950000000022555,0.0,14.495000000000001,-18.390000000002257,-2.006797990293183,-1.8882020097090724,0.6643838794287386,-0.03350042580246415,-188.12808320092418,16.075000000001182,-0.9830000000007657,-1.8244444444446546,-4.420000000000982,30.081096516276414,16.240069395360575,31.171901770416905,50.0,-4.0,50.0,41.0,283,283,0,983.0,1023,854,0,0.2512218963831867,0.19782652445159993,0.8347996089931574,6.6325088339222615,0.3270307175543585,0.2,1.4745676500508647,-0.0039623601220775745,0.0,nan,1.994690306148648,0.0,0.0,4944.0,37.5,0.0,1.4111936036550543,,
noise,0.0,4200002,11.10499999999979,11.10499999999979,0.0,14.36,-3.2550000000002086,10.717777777778378,0.38722222222141234,0.19145440663347837,0.33144780510915295,1861.308886759042,2.0900000000006003,-0.15450000000012096,-0.40277777777780305,-1.0799999999999272,-4.348372358652199,12.063876556389431,10.579097658480869,33.0,-24.0,15.0,-9.0,282,282,0,1001.0,1017,860,0,0.2497541789577188,0.1968534906588004,0.8456243854473943,6.656028368794326,0.3431273483270936,0.2,1.4345654345654346,0.011093906093905885,0.0,nan,1.4561695873375862,0.0,0.0,4827.0,20.0,0.0,1.3731428571428572,,
noise,0.0,4200003,10.820000000000164,10.820000000000164,0.0,12.19,-1.3699999999998358,10.692060231765502,0.12793976823466124,0.4331309088907563,0.14274800103025362,801.6288501207597,4.949999999999591,-0.3529999999999745,-1.0594444444447315,-2.605000000000473,-22.135351227869787,13.899840003331521,22.13992004568818,50.0,-43.0,-4.0,-14.0,234,234,0,828.0,926,801,0,0.23110151187904968,0.1814595660749507,0.8650107991360692,7.380341880341881,0.37796202893939396,0.2,1.4722222222222223,0.013067632850241744,0.0,nan,1.3853868606785584,0.0,0.0,4689.0,25.5,0.0,1.348,,
noise,0.0,4200004,0.7450000000008004,0.7450000000008004,0.0,16.29,-15.544999999999199,0.9043196317620634,-0.15931963176126307,0.4758930107025107,0.008945588107846045,50.235670249608305,8.605000000001155,-0.6675000000002,-1.3327777777777152,-3.0,-21.345516847515704,15.12781943282849,22.61336379211879,50.0,-45.0,4.0,-19.0,311,311,0,1089.0,1073,905,0,0.2534948741845294,0.20431519699812384,0.8434296365330848,6.360128617363344,0.3195309449953314,0.2,1.4958677685950412,0.0006841138659327827,0.0,nan,1.7338760474802324,0.0,0.0,4989.0,30.0,0.0,1.459166190748144,,
noise,0.0,4200005,-0.2449999999929986,-0.2449999999929986,0.0,16.245,-16.489999999993,-0.24625000000654668,0.0012500000135480804,0.544193128328133,-0.002572616093593581,-14.447020385753131,12.249999999995907,-0.9739999999998871,-1.4827777777776545,-3.0,27.81781838949172,16.99680629903127,28.661907481439176,50.0,-3.0,50.0,-1.0,302,302,0,1043.0,1108,950,0,0.2490974729241877,0.19300518134715025,0.8574007220216606,6.814569536423841,0.30783731564918626,0.2,1.5575263662511984,-0.00023489932885234764,0.0,nan,1.7249307651412922,0.0,0.0,4931.0,31.5,0.0,1.4231867504283267,,
noise,0.0,4200006,-0.5899999999994634,-0.5899999999994634,0.0,14.795,-15.384999999999463,-0.2892645338894776,-0.3007354661099858,0.6636779740219954,-0.005079916319949727,-28.52724695884132,14.679999999998927,-0.9160000000000763,-2.037777777777592,-3.7349999999996726,-28.013706453455168,18.542150587192552,29.82181610508281,50.0,-50.0,7.0,-16.0,281,281,0,978.0,1026,870,0,0.24561403508771928,0.19470435994425642,0.847953216374269,6.747330960854092,0.3210670792529297,0.2,1.5127811860940694,-0.0006032719836395332,0.0,nan,1.8165447089046485,0.0,0.0,4922.0,29.5,0.0,1.411663807890223,,
noise,0.0,4200007,12.02000000000146,12.02000000000146,0.0,14.950000000000001,-2.9299999999985413,11.93000000000076,0.09000000000069974,0.29356114828645735,0.23397413004632006,1313.9267203278425,2.230000000000018,-0.40949999999974124,-0.6205555555556733,-0.8850000000002183,-14.255282695602514,16.58263988443558,16.732724157624215,50.0,-43.0,8.0,-7.0,294,294,0,995.0,991,844,0,0.26437941473259335,0.20178462786453052,0.851664984863774,6.241496598639456,0.352515285429727,0.2,1.5025125628140703,0.012080402010051719,0.0,nan,1.6283692224054849,0.0,0.0,4764.0,18.5,0.0,1.3820673900628213,,
noise,0.0,4200008,9.920000000002346,9.920000000002346,0.0,14.705,-4.784999999997654,9.673651106728322,0.24634889327402476,0.5220856588143366,0.10857550543422645,609.7266297555565,6.414999999999964,-0.5279999999992924,-1.0550000000002153,-3.274999999999636,-19.913763563677897,20.90603352500854,24.125071387778412,50.0,-50.0,19.0,22.0,283,283,0,970.0,951,792,0,0.26919032597266035,0.2087368194534108,0.832807570977918,6.159010600706714,0.35594138315489987,0.2,1.515979381443299,0.010226804123713759,0.0,nan,1.5495971782592424,0.0,0.0,4746.0,23.0,0.0,1.3689320388349515,,
noise,0.0,4200009,5.1799999999993815,5.1799999999993815,0.0,15.135,-9.955000000000618,4.87410651238928,0.3058934876101018,0.3978131456482698,0.07440679204243185,417.84564908553637,3.2800000000002,-0.5735000000005583,-0.7405555555556274,-0.8349999999995816,24.92575671045117,12.192074748685396,25.244431753283838,49.0,0.0,44.0,22.0,275,275,0,994.0,1014,851,0,0.2445759368836292,0.19706582077716098,0.8392504930966469,6.781818181818182,0.3430046279832015,0.2,1.522635814889336,0.00521126760563318,0.0,nan,1.533338300130679,0.0,0.0,4878.0,24.5,0.0,1.3889206167904056,,
