lambda_inv,c_adverse,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi
0.02,0.0,12,8.43499999999977,8.997499999997956,3.755513522566578,6.491552083333193,10.425968749999804,23.25791666666667,23.1325,2.5046869322907166,21.788833333333336,24.688833333333335,-14.822916666666899,-14.86500000000073,4.060281818663341,-17.124291666666835,-12.752229166666528,0.2128645666038371,0.23451426912692117,0.10698566165294199,0.15913776867942653,0.26790974382567906,3.2829166666665373,2.6250000000001705,1.7387697562214928,2.3849166666665647,4.27510416666633,0.3298914504988106,0.32783067995833953,0.021237953641298248,0.3187185543476914,0.3413659876951187,1.2174938644249427,1.1800447570332482,0.2195563386862123,1.1020612601576458,1.3251365100970514,264.75,269.5,23.14431011953242,251.07291666666669,276.3333333333333,8.761656530553141,8.400086880973067,1.3040173044995937,8.062143426006372,9.520232406602952,29.083333333333332,28.0,4.718596350097295,26.75,31.75,0.3715500534218333,0.3519246753229959,0.06930550424738458,0.3361504037368535,0.41167093789143194,0.3343887153122682,0.33309650475511343,0.023050904494879117,0.3228469148343299,0.3476206424887139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.5,12,7.234583333332883,8.807499999999663,4.474145656553651,4.674145833333091,9.438083333332912,20.552916666666665,21.225,2.3703322152403152,19.13205208333334,21.800854166666667,-13.318333333333785,-13.130000000000518,3.3504330339748263,-14.92214583333366,-11.504156250000444,0.16109580445664823,0.1908392916411882,0.10443941673646144,0.10565229474446285,0.21589644619231615,4.3050000000000255,3.2150000000001455,2.5790555001252793,2.9845104166667324,5.730093749999989,0.267126185840241,0.269534632034632,0.015971895831080156,0.25791582265949375,0.2752310015929332,1.360527677825986,1.374329501915709,0.2788169858291802,1.2132020704110678,1.4979572558761443,215.58333333333334,215.0,22.96027531246615,202.49583333333334,227.66875,10.09064581523313,10.162901824500434,1.9070677222383707,9.05238922675934,11.014179698812628,31.833333333333332,32.0,5.184475660931188,28.99791666666667,34.33541666666667,0.45033016254959385,0.41353378923839457,0.12633619227382506,0.38922383821392326,0.5167990299815641,0.3316100263213652,0.33219006456985295,0.017691441769835982,0.3220321618450587,0.3416492558755391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1.0,12,6.95500000000046,6.119999999999777,5.438120497511333,4.191614583333995,9.913395833333468,19.318333333333335,19.310000000000002,2.7609989408754125,17.93171875,20.864875000000005,-12.363333333332875,-12.402499999999336,4.571980540269532,-14.608802083333135,-9.959197916665667,0.13576236103830291,0.12016606516575792,0.12088852929655958,0.07684836260125459,0.20379526225399916,5.168749999999899,5.359999999999957,1.8447051070069411,4.180729166666479,6.137572916666425,0.22247502709123843,0.21865724105608497,0.018173405458764186,0.21390417636844827,0.23233900214431755,1.4127884953816334,1.4289928156949432,0.28915230398437913,1.2633425697016032,1.565447965930296,183.91666666666666,180.5,22.76144400808818,172.74583333333334,196.83333333333334,11.213220388068345,11.265421372719373,1.9652250352199228,10.066673906747756,12.120797132927889,33.416666666666664,34.5,4.541892543729747,31.0,35.83541666666667,0.4942251578677943,0.5142780633238181,0.10547307683966398,0.43365248874009127,0.5439936063069559,0.31892108307544037,0.3239819943409671,0.022979516467018322,0.30692612007997294,0.3315631228816884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1.5,12,7.0050000000002015,6.735000000000468,6.5822740613092625,4.003177083333989,10.871385416666826,17.28166666666667,17.79,2.8758803658684897,15.480375000000004,18.622614583333334,-10.276666666666465,-10.567499999999118,7.1515650967698035,-13.63423958333318,-6.15705208333338,0.10407351354701873,0.10479974721408776,0.07986639961132064,0.06336579454133978,0.1477743047366901,5.744166666666904,6.077499999999873,2.1534421001707647,4.548135416666961,6.8917187500000665,0.19570784574480246,0.19487262872628724,0.03391857066026963,0.17623735195862225,0.21175928424914103,1.5448928893765472,1.3532933908067444,0.6376569767712291,1.240735931946104,1.8791988684657661,158.75,166.5,30.154526269624174,139.41458333333333,172.41875,13.254561251086015,12.486967854039966,3.333914081236052,11.750698667825079,15.079286128004634,36.583333333333336,36.0,4.521832559590159,33.99791666666667,39.083333333333336,0.5662361966598529,0.5472230638529607,0.12166127757147524,0.5054881017903695,0.6338932205490769,0.32198928754935274,0.32196393336630036,0.020692758977200316,0.3108670800739823,0.3339231974644919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,2.0,12,6.484166666667018,9.33749999999992,8.540546297550668,1.5243750000004224,10.604697916667165,16.657083333333333,16.1525,4.28994885450193,14.417541666666668,18.872572916666666,-10.172916666666316,-9.157499999999532,7.660254107562238,-14.445374999999634,-6.156145833333165,0.10901159970800713,0.15427647470895176,0.09698669665124938,0.055446554879039385,0.155472114604513,7.8474999999998305,4.049999999999841,6.211066187202821,4.802979166666765,11.497989583332831,0.16718806916610016,0.1678722218853279,0.020579088587411632,0.15576866637839967,0.17805847014711196,1.6809045421158275,1.5879041963422575,0.5620412395780321,1.4110893068838264,2.0073958057485557,138.0,137.5,28.793938756115132,122.82916666666667,153.00625,15.555821025195483,13.068201563857516,5.9026004823805565,12.524931219229655,18.669781711555174,34.916666666666664,33.5,6.598323937779865,31.25,38.416666666666664,0.7001906519892637,0.5928487750061999,0.26993288995842246,0.5629542409237451,0.8478968082966944,0.3190087913627247,0.30950510291773703,0.03325786800176165,0.3024077878708443,0.33787820232024945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,12,9.390833333333111,8.894999999999243,2.794570086739024,7.9960312499999215,10.98702083333325,23.906250000000004,23.9325,3.3468995999011057,22.087947916666668,25.663010416666673,-14.515416666666889,-14.7650000000004,3.6906179935398136,-16.54796874999993,-12.597281250000506,0.2459724687036684,0.24524486655004873,0.08677146263600413,0.20251378306729767,0.29151733305429645,2.5995833333332854,2.412499999999966,0.9890249062342038,2.0866458333333533,3.157666666666702,0.3268245161847924,0.3267220410909279,0.019530696878894766,0.31627575266193764,0.3367240272895555,1.2782306950369213,1.2796571026097272,0.23023275927064105,1.1583768144354993,1.3911338287959074,266.5,262.5,34.323328933699145,247.91458333333333,284.66875,6.733058210251954,6.755430060816681,0.6664634161972124,6.351775629887056,7.059403055314221,26.75,26.0,3.910940365878077,24.914583333333333,29.166666666666668,0.345277718431419,0.34092109290076056,0.06154375731260206,0.3109844492900545,0.37600113091105886,0.3319366682049408,0.32804880227741473,0.026185260917852754,0.318278236601066,0.3462666139351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.5,12,7.7424999999997155,8.112500000000466,3.2201598633384316,6.111052083333029,9.375614583333034,20.98125,21.009999999999998,2.825006938849081,19.43040625,22.478135416666667,-13.238750000000282,-12.977500000000532,3.6208042332410466,-15.247447916666793,-11.41665625000033,0.2256770303687465,0.2442110755171554,0.10105718047694112,0.17401472972978532,0.2756258643948385,2.9458333333334443,2.777500000000316,1.3643660421492523,2.2603645833334407,3.6706250000002494,0.2594235786382182,0.260523460905675,0.01102438199670572,0.2534590078434685,0.2649970147969515,1.4975412484771937,1.4008041202153363,0.33836830955854685,1.3342374174007874,1.6891420173825347,216.08333333333334,218.0,25.59281977904006,201.83125,230.42083333333332,6.810671879525049,7.013900955690703,0.7681379104101896,6.41128909643788,7.224833478134956,25.25,25.0,2.70100991213556,23.916666666666668,26.666666666666668,0.3172422486192023,0.30469688721039373,0.06587309199332225,0.28398313270309156,0.3543015556832397,0.31995876216331126,0.3135008967030801,0.024463640077922302,0.30760219928665816,0.33393265506461445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,1.0,12,7.031250000000032,6.127499999999145,3.9483817887838137,4.970572916666767,9.087052083333475,19.479166666666668,18.4125,2.9978930732746094,17.879447916666667,21.16346875,-12.447916666666636,-11.785000000000114,4.836579585133596,-14.960822916666379,-9.960947916666715,0.173365486771637,0.12343674046408433,0.11605897940181067,0.11684229116098914,0.2413535590032192,3.5904166666668167,3.4349999999998886,1.5438859742596425,2.7791666666669044,4.3711041666668,0.21699167016385545,0.2164750782313081,0.021530644253197704,0.20481523731561666,0.2282215695963634,1.649928000022168,1.5799389432319946,0.4187949397846211,1.4431806183884934,1.892752121684057,184.91666666666666,180.0,27.53991593482031,170.1625,199.66875,8.407254561251086,8.618158123370982,1.680369133645892,7.525667897480452,9.255147697654214,26.0,27.0,4.30644337539164,23.74791666666667,28.25,0.389892370238818,0.38912651329968995,0.08073237518691209,0.3450824170700866,0.42957952925782344,0.31515663574551017,0.3196412163090001,0.021894265295573867,0.302505180285483,0.3272887396535012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,1.5,12,8.209999999999958,9.30499999999978,5.451113731072738,5.1103333333334655,10.885093750000099,19.299166666666668,19.64,2.940083357919492,17.61601041666667,20.78022916666667,-11.089166666666708,-11.30249999999999,4.6498909241035475,-13.367145833333185,-8.355083333333335,0.17147015044132194,0.1651372220220338,0.11727117802691052,0.11123284872487005,0.23379434675424376,4.2716666666665475,3.6874999999998863,2.181642764412732,3.195604166666612,5.504791666666535,0.19129621146844433,0.19981920865043562,0.023452549647967204,0.17783213329786096,0.20297393534291605,1.5932264816279373,1.3872547312202483,0.42259482594231634,1.3747660198652571,1.8567149450328782,164.25,169.5,26.95830113341714,147.99791666666667,178.75208333333333,10.329206487112655,10.095134665508255,2.9689136539010015,8.738868375325804,11.978285186794091,28.5,29.5,5.248376372313112,25.745833333333334,31.583333333333332,0.4900001029166356,0.4284189708523781,0.17959965829018307,0.40064494016492624,0.6005685842076836,0.3096973165694645,0.31513539797241197,0.017414003556027895,0.29975252517684337,0.31892938325178527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,2.0,12,7.90666666666669,8.094999999999715,5.740572640636496,4.970447916666451,10.68270833333369,18.146666666666665,18.505,3.5352557663248825,16.162166666666664,19.875364583333337,-10.239999999999977,-9.90249999999966,5.268190132552823,-12.93514583333317,-7.223677083333131,0.13901917964837202,0.14614932402285974,0.09762559785200524,0.08948951301384525,0.18879438319408617,5.245000000000071,4.434999999999832,2.691988957156997,3.8965520833333023,6.75479166666684,0.18031736884014568,0.18297863109652687,0.026908395745925646,0.16524569417853321,0.19385820360970055,1.4996275990575738,1.5226663245011869,0.5838053329302436,1.1944690828143556,1.823456295828576,150.41666666666666,152.5,35.139872026810316,130.9125,169.58541666666667,11.528815522733852,11.065595134665507,2.6647150992350053,10.193295684911671,13.02229401969302,30.333333333333332,30.0,5.15810630038395,27.5,33.166666666666664,0.5618929361112875,0.5693485095027806,0.1300660334269166,0.49409705760022277,0.637797054390235,0.3163509028510358,0.3098154552988172,0.03133262386120325,0.30115018478875055,0.3340131293952792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
