beta_obi_x,c_latency,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi
0.0,0.0,12,7.454583333333463,9.42000000000013,4.487377477858289,4.906437499999934,9.721375000000487,22.145,22.6475,2.9848519073968998,20.453302083333334,23.732125,-14.690416666666536,-13.899999999999906,4.156319098309228,-17.102322916666726,-12.627333333333235,0.19735986341214706,0.20844272169640732,0.13648910724097296,0.1238634142315448,0.27169375785239547,4.044166666666747,3.2475000000000023,2.456334883643957,2.7293020833334274,5.4367187500001615,0.24965295704470694,0.24993477893896843,0.019387008323941093,0.23891495512670716,0.2595617596973929,1.6201293075953211,1.627872010738967,0.3230442691563166,1.4415919726059088,1.7878735879094967,225.0,225.0,24.301141013241633,211.74583333333334,237.58541666666667,7.493990732696207,6.999131190269331,1.6840283895448,6.741784317984361,8.50653417318274,25.666666666666668,26.0,3.7009417310962487,23.666666666666668,27.666666666666668,0.3949272259239132,0.3370213571106945,0.13890841601371373,0.3223862466882243,0.47557097014934296,0.30963654095266896,0.29970272131198183,0.02707926758088646,0.29593077212092916,0.3246634640893379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,12,7.254583333333653,6.11499999999964,4.433832457947973,4.877458333333581,9.620572916666966,20.360000000000003,19.564999999999998,2.4072862880694665,19.189708333333336,21.600406250000006,-13.105416666666349,-13.664999999999552,3.7465969154650094,-15.020583333332993,-11.073229166666337,0.18851653889184927,0.1539567146451326,0.13141721240969934,0.11997845496376697,0.2604716946457813,2.904999999999911,2.5774999999999864,1.1699300678399989,2.28908333333328,3.5863645833332014,0.22195731664240048,0.22066314058402597,0.01777193249000006,0.21241986878269845,0.23116573151815412,1.6854591836248798,1.5182560388354553,0.4342389701622228,1.4832405460626568,1.9628786445535296,199.16666666666666,196.0,24.601675232439444,186.16458333333333,212.92083333333332,6.467274833478136,5.98349261511729,1.1991895367826493,5.855066246741963,7.139087387778742,25.583333333333332,25.5,4.66043956829149,23.083333333333332,28.25,0.3661780923057684,0.3522201426514807,0.08834628560366103,0.3194107835895736,0.4135294958448028,0.3031911173673818,0.3007543523534858,0.02237289268931874,0.2914710918241329,0.3145850708590516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,12,7.738750000000053,8.159999999999997,3.894819475919011,5.598458333333594,9.751395833333287,20.105416666666667,20.575000000000003,2.282507052994513,18.79026041666667,21.294718749999998,-12.366666666666616,-11.790000000000294,3.8679042559675443,-14.454802083333234,-10.31543750000015,0.215414601946327,0.21124964577954802,0.1319312948374772,0.14938478326997146,0.28768298215758026,2.863749999999868,2.6050000000002456,1.1130325589452565,2.3003645833332995,3.4659687499998078,0.22367496473053994,0.22101988645113602,0.016842851204932962,0.21521559735434437,0.2325911050867205,1.4350195520562476,1.3414735558265884,0.4921937356389412,1.178965440558702,1.703883232025787,198.83333333333334,197.5,24.649666541478013,185.66041666666666,212.00208333333333,6.52758470894874,6.5091225021720245,1.479951385799608,5.8076690558934265,7.335369606139588,25.833333333333332,25.0,2.9490625115398448,24.333333333333332,27.416666666666668,0.3584002722202367,0.3591720797732241,0.0965882351728911,0.30352104401719693,0.40985842509872833,0.30214994264494327,0.3001786928637049,0.020158654532698075,0.2917915836276533,0.3137311264713493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,12,9.02208333333316,8.232499999999767,3.847018005920739,7.048927083333209,11.313364583333186,19.516250000000003,19.64,3.6098093156639934,17.486583333333336,21.464302083333333,-10.49416666666684,-9.282500000000072,3.521440713254794,-12.428437500000063,-8.650218750000413,0.2625395761514332,0.22986473757785453,0.12074087193639782,0.20173316142839454,0.3352227128113919,2.6650000000000085,2.005000000000109,1.6057849963632402,1.8318333333334005,3.5741145833331838,0.20512132620887433,0.20019546623288031,0.02445806462080042,0.19088093790728478,0.21844590669792063,1.6762069806935933,1.5642395122120858,0.5978821498565611,1.4103658811556101,2.007008292891072,170.0,163.0,28.793938756115132,154.41666666666666,185.33541666666667,6.000144801621778,5.834491746307559,0.9783770306226908,5.490059368664928,6.544316536345207,23.333333333333332,22.5,4.030189107526375,21.333333333333332,25.75,0.31540071494353966,0.32127143712153994,0.07766961278853624,0.2728047727466862,0.35586016186208624,0.3189729647316562,0.3188743935818745,0.021622558140567478,0.30681380362178556,0.33040803967047916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,12,5.405416666666528,6.192500000000564,5.757294763378633,2.3191249999998487,8.533885416666593,18.741666666666664,19.0175,1.9483610050656952,17.570729166666663,19.733510416666668,-13.33625000000014,-12.772499999999411,4.702260638633139,-15.831770833333634,-10.862718750000047,0.15059165390794046,0.16245757871788227,0.1518907290327512,0.07169501928646366,0.23310871442753828,3.209583333333422,2.2500000000002274,2.0772889438064257,2.232885416666889,4.465812500000101,0.23342890680746645,0.23071775473240475,0.025411213278649876,0.2191128099681694,0.24619774101026745,1.604823764346441,1.5681171418635886,0.3122975287453007,1.4530440319624625,1.795136448202992,190.25,194.0,21.213739115788318,178.33125,200.83333333333334,7.296408919779901,7.304083405734144,1.5739059629955374,6.548168259484506,8.17853677961193,25.5,25.0,4.253340932832576,23.25,27.75,0.3270063326094357,0.3152777620471434,0.06571116289491806,0.2926256113966316,0.3608253472408556,0.33198631800148115,0.32862737395876884,0.019885013100294058,0.32218876781587424,0.3434653288446668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,12,7.675416666666739,7.412500000000136,4.024417777389756,5.31824999999989,9.558885416666909,20.98,21.43,3.3763300409549046,19.01576041666667,22.746406250000003,-13.30458333333326,-12.897499999999877,3.35798062851996,-15.148802083333239,-11.594562499999533,0.21080389998762997,0.22721162171654652,0.097441760943602,0.1553664642697789,0.25838939130776384,2.9291666666666365,2.159999999999627,2.1866961726575322,1.9739999999998905,4.25109374999999,0.23391848694442888,0.2365136315542438,0.021075832169992682,0.221666039985101,0.24473790971845005,1.599686359187503,1.5116360401263922,0.2830076340469214,1.4534509690901531,1.7552718288721547,199.25,201.0,28.07174250510159,183.6625,214.42291666666665,6.7071387199536625,6.184187662901824,1.6980802569256963,5.827001882421082,7.6845858673617125,25.083333333333332,24.0,4.52183255959016,22.833333333333332,27.585416666666664,0.3485325580172542,0.32659975846560724,0.10107746317728215,0.294749606609894,0.40903238296496314,0.31624314353270044,0.3126588921353499,0.023105323362780646,0.3049874979288562,0.33088149340598966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,12,7.294999999999759,8.615000000000336,5.5373188457956966,4.0699374999995594,9.894166666666525,20.502499999999998,19.1875,3.2836533838781676,18.936885416666666,22.276500000000002,-13.20750000000024,-13.172499999999808,5.707087101299849,-16.14547916666718,-10.51451041666649,0.2286609188487004,0.2945092335905518,0.13812459333427768,0.15094148653917133,0.2975461444292137,3.4754166666668787,2.434999999999775,3.6403005984358394,1.9237708333332275,5.582125000000293,0.21739908404612418,0.21217402554544704,0.022535881123986537,0.20715656891562506,0.22951583022461464,1.617153634029352,1.3204941549265619,0.5375874821076331,1.3600299763275203,1.9334182118819405,189.5,179.0,27.487187097727087,177.07708333333335,204.75625,7.095786272806257,6.7871416159860996,1.8283656698212818,6.2770091225021725,8.189909136982335,24.0,23.5,4.972652484064488,21.49791666666667,26.833333333333332,0.35415100473300837,0.31988158855639653,0.16596190983529563,0.285766012941696,0.4533557470668928,0.3076799325163469,0.3149472069696707,0.025208755875794922,0.29341168480397184,0.3212163808936229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2.0,12,6.260416666666729,7.077500000000043,4.977232919794072,3.235145833333188,8.52480208333338,19.042083333333334,20.18,3.1030955646472336,17.201500000000003,20.625625,-12.781666666666604,-13.034999999999915,5.38817279424194,-15.793437500000227,-10.185666666666597,0.19124062954234858,0.20783193426266253,0.1380319876045081,0.11206119885388838,0.25788601455662447,3.137083333333275,2.314999999999884,2.4435587482321606,2.0932395833331903,4.656468750000086,0.1952944909917351,0.2061891403009001,0.020051841162246127,0.18364749056732727,0.2050051996315883,1.7702413800471357,1.698735137102645,0.45950477902512255,1.5310553191631824,2.0099656873668112,163.41666666666666,169.5,27.815817388128234,146.74375,177.16875,6.48023457862728,6.4383145091225025,1.1874036013851041,5.846698523023457,7.103069794381696,21.666666666666668,21.0,3.8924947208076146,19.583333333333332,23.916666666666668,0.3223892734465514,0.3000852841372563,0.07062066462391865,0.2882928235946494,0.3640509638082994,0.32146058400064104,0.31168750559358116,0.02482761131186823,0.3089948141430918,0.33561627943293104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,12,6.069583333333694,6.317499999999825,6.633020516645879,2.2775520833331386,9.480749999999844,20.700833333333335,19.652500000000003,2.871001435461891,19.310322916666664,22.40946875,-14.631249999999639,-13.342499999999877,5.569215353987804,-17.581541666666745,-11.776718749999667,0.1793295174334939,0.18624542988840717,0.13280557286551198,0.10875832968617255,0.24718312488806096,3.5895833333332803,2.637500000000159,3.506218150613977,2.2552291666667346,5.697260416666348,0.2555931793532353,0.25164086780336203,0.022558088934532792,0.24376450857153006,0.2674586805944895,1.4438415483894758,1.4271186776680147,0.2452965413539224,1.319451803612343,1.5696656495111148,212.58333333333334,209.5,28.713184596922886,197.6625,228.67499999999998,7.071966406023747,6.379235447437011,2.0466813396942247,6.13878330437301,8.330629163046627,23.25,22.0,3.467380462644282,21.583333333333332,25.25,0.3590247919470495,0.3098070249791801,0.15172572554265584,0.2981853711673287,0.4490256926685451,0.3300215502633264,0.3243558302472299,0.021808788456185196,0.31784285424075465,0.341440404443275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5,12,7.30916666666645,7.069999999999538,5.374652561004556,4.461958333333364,9.853177083333014,20.025833333333335,20.567500000000003,4.468504851296528,17.523666666666667,22.351208333333336,-12.716666666666884,-11.37000000000014,4.038214239292265,-14.894114583333563,-10.716854166667005,0.21492384949303553,0.223570756637908,0.14943586696938044,0.13793774144611537,0.289907129855272,3.265416666666681,2.144999999999868,2.6658492236681544,2.004843750000051,4.826093749999764,0.22449987489813117,0.22792867551813473,0.03243713085051854,0.20712199055920016,0.24155438083752756,1.5641473159747645,1.5231958398577685,0.30004588982110364,1.409125644007941,1.73656027695449,190.58333333333334,193.0,40.40580141364341,168.16666666666666,211.83541666666667,6.790472053286996,6.574283231972198,1.5158313657273208,5.988033955980308,7.559359614827686,23.833333333333332,24.0,4.895885718610777,21.083333333333332,26.416666666666668,0.3550368590899191,0.31610522959094145,0.12642878537812255,0.2951337203226904,0.4240642454452607,0.3228036749090278,0.3243963110378323,0.03087240275235164,0.307019039933372,0.33988587899343964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
