horizon_s,obi_lo,obi_hi,mean_fwd_move_ticks,ci_lo,ci_hi,mean_fwd_move_bps,mean_samples_per_block,half_spread_bps
1.0,-1.0001,-0.8,-8.302616532086498,-10.804931368694017,-5.946962985640982,-0.10241603350948474,739.2727272727273,0.007045292761869053
1.0,-0.8,-0.4,-0.9015873167901091,-2.2704400752596268,0.6000279103193242,-0.01112143340490969,567.1818181818181,0.007045292761869053
1.0,-0.4,-0.1,-0.9628944374112414,-1.7943363878714982,-0.1318634345538735,-0.011877680799407387,358.27272727272725,0.007045292761869053
1.0,-0.1,0.1,-0.19129277431590072,-2.65756747842359,1.839982571397154,-0.0023596714492047166,167.63636363636363,0.007045292761869053
1.0,0.1,0.4,0.47178086002714287,-0.5138705937153354,1.4377367880674694,0.005819602071581018,242.72727272727272,0.007045292761869053
1.0,0.4,0.8,1.723225921409509,0.5272741945693501,3.2012846627961244,0.021256668067161352,475.72727272727275,0.007045292761869053
1.0,0.8,1.0001,8.688114226575232,6.466019490954812,10.957558620432598,0.10717129886998977,439.1818181818182,0.007045292761869053
5.0,-1.0001,-0.8,-27.172372307344315,-36.994577629177435,-16.699284102552085,-0.3351818769428117,737.7272727272727,0.007045292761869053
5.0,-0.8,-0.4,-0.9872347788808914,-8.37813321648415,7.730177558692658,-0.012177928464460216,558.0,0.007045292761869053
5.0,-0.4,-0.1,-3.1370611541960702,-8.067969411375119,2.077554574975152,-0.038696880561423036,354.45454545454544,0.007045292761869053
5.0,-0.1,0.1,1.9058660340167497,-9.75982002808051,15.13570679657019,0.02350960553821886,165.72727272727272,0.007045292761869053
5.0,0.1,0.4,-3.449459884227551,-9.079936250759536,1.774832055982273,-0.042550441505684086,240.0909090909091,0.007045292761869053
5.0,0.4,0.8,2.6180103611916903,-5.6950437822170015,12.918112704113557,0.03229418531420536,465.54545454545456,0.007045292761869053
5.0,0.8,1.0001,21.255123375704667,12.796385054691072,29.88817731732028,0.26219028898680713,428.45454545454544,0.007045292761869053
