metric,real_mean,real_ci_lo,real_ci_hi,blocks,sim_noise,sim_informed,sim_hawkes,sim_hawkes+meta,n_returns
acf_abs10_0.1s,0.013684582542212498,-0.0027161196889680973,0.034725580252198913,11,0.0406707985265193,0.0448249988231046,0.0447527702953606,0.0532237834160467,
acf_abs10_1s,0.019557008352401924,-0.009546999272102724,0.04918746589445767,11,-0.0185769640238824,0.0006719479492896,0.0003725124478977,-0.0131406809715881,
acf_abs1_0.1s,0.14077019868553434,0.08552871500455932,0.20271579213750396,11,0.2505353157730481,0.2580867833376722,0.2604063755199332,0.2624371531983007,
acf_abs1_1s,0.0865276530282972,0.038766874992506126,0.13871841890791545,11,0.1289764220878378,0.1187862795443459,0.1207543274554306,0.1357512004028467,
acf_ret1_0.1s,0.11492282638452678,0.05324208715361003,0.18110939211696597,11,-0.0515563162595536,-0.0614155055045975,-0.0488621093681454,-0.0637781266957591,
acf_ret1_1s,0.08987025778954628,0.03774055983690372,0.14931729627281734,11,-0.0023684412439307,0.0048189198962559,-0.017006093034133,-0.0039822439904227,
arrival_cv,1.2014150133647046,1.1312535756090054,1.2923465626696906,11,0.9943555096871828,0.9979370672563111,1.0718957115002894,1.077694789895318,
fano_10s,4.45500682394196,1.8951220176866257,8.862860811801138,11,1.0000657871340413,1.134716366533146,2.199390646340813,4.110513720969491,
fano_1s,2.2678876142483855,1.6709656045799903,2.9340712870631545,11,0.9738460732867572,1.0248453067712264,1.678941526890244,2.023764005966344,
hill1_0.1s,3.5272208029260232,2.822765198639696,4.409617803465534,11,3.506856470880051,3.4003541580264987,3.9566571483547817,4.07707934687956,
hill1_1s,3.3281118251984356,1.806053804458277,4.850169845938594,11,3.7205060653236384,4.050496150062415,4.3747061482828276,4.639907296816846,
hill5_0.1s,3.5272208029260232,2.822765198639696,4.409617803465534,11,3.2689985976590625,2.5638935266038416,2.5764465673839805,2.8419303814673835,
hill5_1s,3.3281118251984356,1.806053804458277,4.850169845938594,11,3.014913961955509,3.409027001897062,3.14282973026578,3.146644840002242,
kurt_0.1s,237.65432031072177,175.06124632197483,327.81952335971243,11,25.302639453009284,21.297961492672343,21.803516680046425,16.728578418092972,
kurt_1s,37.119442897749,26.495171834235183,49.1414830514051,11,10.626899677000086,5.77991172311882,6.205152853542971,5.112765210563084,
n_aggressive,180.72727272727272,161.27272727272728,205.8181818181818,11,8890.375,11437.25,11436.5,13183.5625,
sign_acf1,0.14376831102528134,0.08078948802112629,0.19764007515443655,11,-0.0011340761316046,0.0441286328935051,0.0478281475684499,0.0466578494139755,
sign_gamma,0.3290479046059796,0.2135121478963689,0.4467824416144713,11,-0.0125526059419601,0.3180227941672234,0.3933550090677749,0.4076232409161852,
sign_r2,0.12370033159697243,0.06852813887211961,0.18208794369073086,11,0.023330942876709,0.2454115474345615,0.251885534135276,0.3356570096307015,
size_hill5,1.372059699118895,0.9289151649672438,2.034285051783143,11,3.833512754163107,3.826644882531793,3.952248974743597,3.2973018755191887,
spread_mean,1.1408787878787878,1.0659666666666667,1.2431333333333332,11,1.5013374404792952,1.863877282199961,1.930158049284888,2.048493095434252,
spread_median,1.0,1.0,1.0,11,1.0,1.0,1.0,1.6875,
spread_q99,1.0,1.0,1.0,11,5.0,7.0625,7.6875,8.0,
trade_rate_per_s,0.6024242424242424,0.5375757575757576,0.6860606060606059,11,nan,nan,nan,nan,
zero_share_0.1s,0.9787272727272728,0.9759090909090908,0.9817272727272727,11,0.6026890756302521,0.4709243697478992,0.4776890756302521,0.4451995798319327,
zero_share_1s,0.8542424242424244,0.8403030303030302,0.8687878787878788,11,0.2379201680672269,0.142016806722689,0.1378151260504201,0.1228991596638655,
kurt_1s_pooled,39.869896485206304,24.488976256559294,55.06108879836043,11,,,,,3300
hill5_1s_pooled,3.2806442044820465,2.2996782631375847,5.240822317606161,11,,,,,3300
hill10_1s_pooled,2.7270965303193115,2.2377822034855694,3.669669540158027,11,,,,,3300
zero_share_1s_pooled,0.8542424242424242,0.8410378787878788,0.8700151515151515,11,,,,,3300
kurt_10s_pooled,6.166270322271856,1.9544381947414997,14.437680825786837,11,,,,,330
hill5_10s_pooled,3.828514138118735,2.281121372125187,9.14418235843215,11,,,,,330
hill10_10s_pooled,3.499047130784239,2.5592387740882034,5.320895601868359,11,,,,,330
zero_share_10s_pooled,0.28484848484848485,0.22424242424242424,0.34545454545454546,11,,,,,330
kurt_60s_pooled,1.7667350659189092,-0.1910187167584552,4.438224356281281,11,,,,,55
hill5_60s_pooled,2.722962503831466,1.8885563571625499,6.058727307174597,11,,,,,55
hill10_60s_pooled,2.722962503831466,1.861722918062737,6.305843643798708,11,,,,,55
zero_share_60s_pooled,0.0,0.0,0.0,11,,,,,55
real_sigma_1s,22.356308257770046,nan,nan,1,,,,,
real_vr_2,1.0919380913134653,nan,nan,1,,,,,
real_sigma_2s,23.361412466190032,nan,nan,1,,,,,
real_vr_5,1.2218750366780025,nan,nan,1,,,,,
real_sigma_5s,24.712318079914176,nan,nan,1,,,,,
real_vr_10,1.3842752739142807,nan,nan,1,,,,,
real_sigma_10s,26.303365513307348,nan,nan,1,,,,,
real_vr_60,1.9774540119476123,nan,nan,1,,,,,
real_sigma_60s,31.43788242106734,nan,nan,1,,,,,
