gamma,latency_ms,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi
0.0,0.0,12,3.4170833333338635,5.985000000002628,12.539238315697581,-3.5025312499973205,9.662791666667301,27.663333333333338,27.275,3.6742255419793346,25.742125,29.698072916666668,-24.246249999999474,-22.67250000000213,12.252890776724222,-31.248447916666475,-18.29396874999939,0.04452543467150686,0.05493705461033095,0.10238789951366023,-0.011475660810670755,0.09656881463924609,12.096249999999594,10.28249999999963,5.525574887819642,9.462885416666682,15.259583333332058,0.25321434016075,0.2473804724983445,0.019332478154964944,0.24328139748888955,0.26384605243270604,1.1789882985193556,1.147839767899923,0.1664178349002599,1.0885672144723246,1.2643221771661688,392.75,391.5,50.18171525022382,365.1645833333333,419.25625,25.457211120764555,25.736316246741964,3.321835704993421,23.764614103677957,27.100767448595423,50.0,50.0,0.0,50.0,50.0,0.9993612465762598,0.9409726189254979,0.2178682842403543,0.8879651975793834,1.114362539092197,0.16683589727991466,0.1634860289551916,0.010806245851032233,0.16150294159864614,0.17322410399016525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,12,5.565833333333941,8.467499999997472,11.218151248054443,-0.655729166665311,11.400281249999392,27.51166666666667,27.8375,2.830890747493168,25.96991666666667,28.955583333333333,-21.94583333333273,-20.485000000001314,11.30237220340159,-28.34720833333296,-16.16117708333396,0.06386696340644624,0.07212711482386668,0.10527573464259209,0.00935562932757368,0.12055813681882946,11.554166666666026,11.41499999999769,4.686741372954908,9.251989583332376,14.393354166665778,0.25585130009864715,0.2542625783400691,0.015088190607914241,0.24782484504517965,0.2642334710907982,1.1188278575473978,1.1119942518255912,0.11769502402112836,1.047617072366408,1.176205644230486,388.9166666666667,389.0,36.62949217460838,368.98541666666665,408.8395833333333,25.075514045757313,25.131624674196352,4.683666303856678,22.440486533449175,27.497987257457286,50.0,50.0,0.0,50.0,50.0,0.9560572981483059,0.9503599377876776,0.21316220044971715,0.8434314432603814,1.0713858261042841,0.16814238550740365,0.16538480551016246,0.009393240999868012,0.1634353101159198,0.17360091865833924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,12,3.3558333333336114,3.1300000000007344,8.643013687716028,-1.1901145833321212,7.813281250000535,26.242499999999996,27.21,3.768479015585611,24.10288541666667,28.248687500000003,-22.88666666666639,-23.32500000000138,9.776335605878078,-27.93417708333201,-17.992687500000514,0.04288630613692043,0.02885747669300799,0.08829160745906628,-0.0007401876926906101,0.08865617053826949,11.461249999999666,9.89250000000061,5.740327883016542,9.041104166667148,15.149333333332821,0.24415937583254374,0.24329117945361792,0.019759918325217743,0.2330511582721676,0.25475994500286087,1.2258232630390442,1.2201592992719095,0.17100628826646425,1.1253629092655002,1.3071795761394416,376.0833333333333,383.0,49.40640064042739,348.82291666666663,402.5854166666667,25.498189979727773,25.5112945264987,3.774155878593844,23.62132565884738,27.609162322618012,50.083333333333336,50.0,0.2886751345948129,50.0,50.25,0.9518334117355488,0.9349421562038136,0.16194465628440644,0.8678635442623314,1.0391860857051507,0.1689123311111859,0.1633269216936212,0.011885711643975642,0.16295515901469723,0.1757874564230708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,12,0.3941666666666019,1.9300000000005184,9.129871758866745,-4.616145833333797,5.141114583334373,24.704166666666666,24.432499999999997,3.2350950761167985,22.89113541666667,26.417385416666672,-24.310000000000063,-23.452499999998192,10.358106399426264,-29.85156250000112,-18.51187499999975,0.02012221317139642,0.016152280042455995,0.09803607744674982,-0.029595667895886635,0.0766297887568629,13.84958333333328,14.735000000000355,5.778847580275389,10.792031250000246,16.995833333333096,0.2386714954878105,0.2341265017173732,0.01564797872459406,0.23035948696147898,0.24750707522632906,1.1737169591936676,1.177581652302695,0.14376111312736964,1.100114032002643,1.2486453398886008,359.5833333333333,349.5,46.48647571329133,333.99791666666664,385.5,25.002823631624675,23.512163336229364,4.069633116998528,22.87572219808862,27.22164603243556,50.166666666666664,50.0,0.5773502691896257,50.0,50.5,0.9447835181378639,0.9747994151005919,0.21974865502493704,0.8197262782807704,1.054393385755722,0.17271302591809698,0.17270801021902304,0.012478297156531587,0.16671626355717858,0.17973949233202874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,25.0,12,1.4379166666665337,-0.27000000000066393,7.627019094321739,-2.487291666666564,5.375562499999444,23.533333333333335,23.5975,2.750534934197787,21.938625,24.999770833333333,-22.095416666666797,-22.4850000000013,6.95030360956618,-25.678322916666843,-18.345104166667024,0.022207972751302794,-0.0017322577186943055,0.07713453906184728,-0.017873315464098122,0.06258016032989192,13.11791666666671,12.11499999999944,4.6075612057960065,10.908625000000107,15.990718750000216,0.23306552242945466,0.23038941750056502,0.015282528780931597,0.22486215163154405,0.2411076913656622,1.2017154461612687,1.1828510414409954,0.18569728937013064,1.103712666374835,1.3050139658641908,362.6666666666667,362.0,36.765431721890195,342.49583333333334,382.17083333333335,25.769475818129166,26.8627280625543,4.391883856437531,23.389909136982332,27.937349768317404,51.666666666666664,51.0,1.5569978883230462,50.916666666666664,52.50208333333333,0.9610752414599388,0.9555404074979059,0.18798697391097283,0.8564300114156985,1.0597520242210625,0.1686535092701168,0.1660465213569468,0.008341797401999643,0.16447500313994012,0.17346303819037304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,50.0,12,-3.7887500000007037,-1.4475000000044247,7.834363443712121,-8.104593750001015,0.28162500000066004,20.912499999999998,20.8175,2.1332130056027525,19.747843749999998,22.06667708333333,-24.7012500000007,-24.010000000002698,8.227135568293868,-29.23012500000006,-20.28419791666867,-0.024151914116790654,-0.011049860760279551,0.059721831091864616,-0.05731298294448872,0.007585390281873303,14.959166666667045,14.135000000001469,4.249292900178954,12.819656250000053,17.406229166665312,0.21906548404424223,0.2185010071226342,0.01086182105771965,0.2137211032946558,0.22478977470922595,1.2191535812346237,1.1781005560887112,0.16815134457855097,1.132486840047006,1.316492070945742,337.9166666666667,330.0,31.69301136996877,321.575,354.91875,27.932160440196927,27.099044309296264,3.9187024990847337,25.808119750941216,30.047608963220384,53.416666666666664,53.5,2.3532698077098573,52.25,54.75,1.062931845800009,1.0421684777771347,0.2541489105909488,0.926431226436265,1.1988480146839113,0.16697204990908654,0.16549901667273031,0.009081872554800046,0.1622677155405337,0.17201092644580793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,12,2.929583333333474,2.9599999999996953,4.038506957648126,0.6894583333334166,4.802218750000403,27.419583333333335,27.5075,3.297480069781478,25.526958333333337,29.098177083333333,-24.489999999999863,-24.089999999999634,5.2467851628838,-27.464166666666458,-21.83846874999948,0.11600905382661225,0.09856578711606903,0.11406382370297456,0.05759388696267082,0.17588379609921928,3.2991666666665957,2.4200000000000728,2.323676390915564,2.2495104166665714,4.590177083333611,0.23995036153582508,0.24090070040586312,0.014185874124229553,0.2319239160400941,0.2473030883862105,1.5441363709513674,1.5560855364515929,0.20111981004737364,1.4353909162698495,1.6574328014036308,406.5833333333333,409.0,54.34813425472577,375.1645833333333,434.4395833333333,3.7734578627280624,3.762380538662033,0.5602760528467069,3.4669073993628725,4.075532145960034,21.083333333333332,19.5,4.399552318822974,18.75,23.416666666666668,0.2953840108197168,0.26637743886929743,0.1158612323762969,0.24773532913236568,0.361816047716918,0.1515104383688564,0.14736083601241695,0.011916884729563655,0.14570135802624473,0.15886104296701248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1.0,12,4.235416666666759,4.779999999999546,4.573175969386181,1.59013541666668,6.5326875000003835,28.139166666666668,27.932499999999997,3.279688755557962,26.284041666666663,29.85948958333333,-23.903749999999906,-24.15000000000015,4.5510703661088305,-26.34145833333332,-21.350947916666357,0.17481976035660618,0.13966076143677159,0.17678284983308293,0.08237923974068818,0.27245051154135314,2.9174999999999827,2.1949999999999363,2.460810564908243,1.7158020833333552,4.409281250000044,0.24162765229904234,0.24196172779219732,0.014603495740453028,0.23313214438271,0.2494263052336547,1.4910686394482902,1.505560606979948,0.20868487110387007,1.3881491466511744,1.6205145250353834,416.0833333333333,414.5,51.678126783764014,387.56874999999997,443.42291666666665,3.6794816101940335,3.6602953953084274,0.35207088906659595,3.486826672458732,3.8691120040544456,21.583333333333332,21.0,3.8954129979043848,19.58125,23.585416666666664,0.28905204386162003,0.2620080726095739,0.10930040072781366,0.23614310026087829,0.3513550590673674,0.14823217552561974,0.14476340048433725,0.010893619399405297,0.1427376720042583,0.15460948665964455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,5.0,12,2.825416666666771,3.1200000000009283,3.8867773858262087,0.8066562499998716,4.9200937500003254,26.174166666666668,25.43,2.976482696476538,24.614604166666673,27.782020833333334,-23.348749999999896,-23.235000000000134,3.8817575242758258,-25.439708333333034,-21.323635416666505,0.1218235363975579,0.10729703343056923,0.13883642706998162,0.05205984126918026,0.199043285975871,3.6379166666665674,2.837499999999693,2.415799753077646,2.4303854166665517,5.017083333333371,0.23199456802221072,0.23063011814826037,0.012373178747235604,0.2255026853040209,0.2387475767957779,1.5037199633490248,1.483518962475575,0.2553434238207583,1.369426914681041,1.6303753229156102,403.1666666666667,397.5,46.208683429009575,377.99583333333334,429.5020833333333,3.931653634520707,4.000868809730669,0.4234421685277352,3.703192875760209,4.151647118447727,24.833333333333332,24.0,6.3365223231292385,21.664583333333333,28.333333333333332,0.3062223965897532,0.28186398844122557,0.1498352038558512,0.24095117019077014,0.39458058202519464,0.15109947748970234,0.15133889162433845,0.010949875882815959,0.14515278965776154,0.15735045545866247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,10.0,12,4.6195833333333445,4.66999999999895,3.2046631210937084,2.893989583333337,6.275468750000376,25.546666666666667,25.7775,3.247250818582987,23.685052083333336,27.27379166666667,-20.927083333333325,-21.317499999999562,4.846128941711812,-23.531291666666636,-18.098312499999775,0.17491207587364488,0.15915361695092828,0.13151580587413567,0.10893566476827589,0.24482206842193438,2.4750000000001244,2.142500000000382,1.2420895151462383,1.8073645833334682,3.145135416666767,0.22575237223991632,0.23000572042966783,0.014857486607464152,0.21714527006604553,0.23380355751678478,1.3437897186089895,1.3012631361571292,0.2213048135781508,1.222731455948998,1.4657725376669475,387.0833333333333,385.5,51.2754740828814,358.07916666666665,413.5125,4.450984651028092,4.388357949609036,0.3635731074971996,4.241672096727484,4.651987402258905,24.583333333333332,24.5,3.941811612428832,22.5,26.833333333333332,0.2678308901006378,0.26523062358368676,0.06675718559612802,0.2310959761716264,0.3052344040881492,0.15577413102226126,0.15373814120725832,0.011522884505774059,0.1499310707259639,0.16242828819681235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
