env,latency_ms,arm,n,pnl_net_mean,pnl_net_ci_lo,pnl_net_ci_hi,pnl_net_std,pnl_edge_mean,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_edge_std,pnl_inventory_mean,pnl_inventory_ci_lo,pnl_inventory_ci_hi,pnl_inventory_std,pnl_vol_1s_mean,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,pnl_vol_1s_std,sharpe_1s_mean,sharpe_1s_ci_lo,sharpe_1s_ci_hi,sharpe_1s_std,max_drawdown_mean,max_drawdown_ci_lo,max_drawdown_ci_hi,max_drawdown_std,inv_abs_mean_mean,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_abs_mean_std,inv_max_abs_mean,inv_max_abs_ci_lo,inv_max_abs_ci_hi,inv_max_abs_std,n_fills_mean,n_fills_ci_lo,n_fills_ci_hi,n_fills_std,fill_rate_orders_mean,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,fill_rate_orders_std,quote_to_trade_mean,quote_to_trade_ci_lo,quote_to_trade_ci_hi,quote_to_trade_std,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,quote_lifetime_mean_s_std,avg_edge_ticks_mean,avg_edge_ticks_ci_lo,avg_edge_ticks_ci_hi,avg_edge_ticks_std,diverged_mean,diverged_ci_lo,diverged_ci_hi,diverged_std,d_vs_adaptive_off_pnl_net,d_vs_adaptive_off_pnl_net_lo,d_vs_adaptive_off_pnl_net_hi,d_vs_adaptive_off_pnl_edge,d_vs_adaptive_off_pnl_edge_lo,d_vs_adaptive_off_pnl_edge_hi,d_vs_adaptive_off_pnl_inventory,d_vs_adaptive_off_pnl_inventory_lo,d_vs_adaptive_off_pnl_inventory_hi,d_vs_adaptive_off_inv_abs_mean,d_vs_adaptive_off_inv_abs_mean_lo,d_vs_adaptive_off_inv_abs_mean_hi,d_vs_adaptive_off_n_fills,d_vs_adaptive_off_n_fills_lo,d_vs_adaptive_off_n_fills_hi,d_vs_adaptive_off_sharpe_1s,d_vs_adaptive_off_sharpe_1s_lo,d_vs_adaptive_off_sharpe_1s_hi,d_vs_as_gamma0.01_pnl_net,d_vs_as_gamma0.01_pnl_net_lo,d_vs_as_gamma0.01_pnl_net_hi,d_vs_as_gamma0.01_pnl_edge,d_vs_as_gamma0.01_pnl_edge_lo,d_vs_as_gamma0.01_pnl_edge_hi,d_vs_as_gamma0.01_pnl_inventory,d_vs_as_gamma0.01_pnl_inventory_lo,d_vs_as_gamma0.01_pnl_inventory_hi,d_vs_as_gamma0.01_inv_abs_mean,d_vs_as_gamma0.01_inv_abs_mean_lo,d_vs_as_gamma0.01_inv_abs_mean_hi,d_vs_as_gamma0.01_n_fills,d_vs_as_gamma0.01_n_fills_lo,d_vs_as_gamma0.01_n_fills_hi,d_vs_as_gamma0.01_sharpe_1s,d_vs_as_gamma0.01_sharpe_1s_lo,d_vs_as_gamma0.01_sharpe_1s_hi
noise,0.0,as_gamma0.01,24,4.730833333332995,3.6660104166663143,5.694817708333028,2.6009068931176373,15.839791666666668,15.274182291666667,16.39484375,1.4318447201202484,-11.108958333333675,-12.076286458333694,-10.17916666666704,2.367124002173643,0.12642138150591484,0.10859012617399778,0.1465511285924018,0.04937490089370668,0.26249594631285306,0.199634572064998,0.3263999968967777,0.16147028411426656,1.4983333333334201,1.0706197916667113,1.982942708333472,1.1887540670316301,3.3125594898153436,3.153051827527127,3.477330810965163,0.4142608558092751,18.041666666666668,16.75,19.458333333333332,3.5322017602852642,352.625,340.45729166666666,364.79270833333334,31.18780767906085,0.2510746827722266,0.24724851373548598,0.25516008141945284,0.00998925003813479,6.415732068216972,6.295690892850465,6.537258110288446,0.3194063442838882,0.2874814304732565,0.28100291260607313,0.2951335095578709,0.01794628798249652,1.2819345634408341,1.2654437669358094,1.2969759134959034,0.04089668682412534,0.0,0.0,0.0,0.0,-2.271250000001915,-5.026583333334656,0.5560260416634573,0.6545833333333334,0.40998958333333324,0.9075052083333337,-2.925833333335248,-5.594380208335963,-0.15178645833502658,-19.509375594898152,-21.95546354464116,-17.04719386541024,64.70833333333333,58.498958333333334,70.75208333333335,0.1427957788350033,0.08048830418900813,0.2080707013608365,,,,,,,,,,,,,,,,,,
noise,0.0,adaptive_off,24,7.002083333334909,4.174984375001465,9.739296875001347,7.1100336201525565,15.185208333333335,14.617286458333334,15.806942708333333,1.5016320680358497,-8.183124999998425,-11.078015624998192,-5.490828124998555,7.147672289465808,0.46475001939408295,0.39498291679487685,0.5405437512986843,0.1870609168376969,0.11970016747784977,0.07514134452446578,0.1645272557944924,0.11635574426551622,6.315416666666427,4.7324583333332555,8.086958333332763,4.325321781612336,22.8219350847135,20.41330370740529,25.228650295069478,6.109727151585767,49.083333333333336,47.541666666666664,49.958333333333336,3.488074922742725,287.9166666666667,277.2083333333333,300.41875000000005,29.460240954572136,0.25239249819246684,0.24699148831569162,0.2578736144193764,0.01373808356156556,6.5623255928287305,6.406327089307699,6.728034911643981,0.408598199515199,0.33674183315843426,0.32922771179131194,0.344384140028651,0.019895029616240168,1.5110810732451168,1.4983402171283449,1.5234684917515866,0.032974773819658604,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2.271250000001915,-0.5560260416634565,5.026583333334656,-0.6545833333333334,-0.9075052083333336,-0.40998958333333324,2.925833333335248,0.15178645833502777,5.594380208335963,19.509375594898152,17.04719386541024,21.95546354464116,-64.70833333333333,-70.75208333333333,-58.49895833333333,-0.1427957788350033,-0.2080707013608365,-0.08048830418900813
noise,0.0,adaptive_inventory,24,4.747500000000064,4.038713541666713,5.43196354166692,1.7805232499122534,16.449583333333333,15.846749999999998,17.0931875,1.6224846195202316,-11.70208333333327,-12.457385416666595,-11.012656250000035,1.8107018316630872,0.11599463412204343,0.09793814511848185,0.1366160587878097,0.049820517296393786,0.2840607828542476,0.22838055865254966,0.33866658866376703,0.1409331241307566,1.2625000000000195,0.9127031250000471,1.658557291666613,0.9770986332660354,2.887135922330097,2.805467708928232,2.9676440843327625,0.2071018044676528,14.333333333333334,13.416666666666666,15.25,2.3895909540204223,367.0833333333333,354.0416666666667,381.16770833333334,35.37367808765828,0.2672912270772613,0.2616242640503195,0.2730391675297311,0.014509971294704169,5.968391816661636,5.811154763656785,6.117836239938368,0.3818162033568957,0.29607882710800704,0.28962996415740677,0.3026026249565832,0.017119735092984596,1.247269518213697,1.2379062721032175,1.2565550114857353,0.023835985786699817,0.0,0.0,0.0,0.0,-2.2545833333348457,-5.044838541667931,0.6678229166641878,1.264375,0.9626770833333335,1.576875,-3.518958333334846,-6.179536458334329,-0.7377031250020505,-19.934799162383403,-22.328947744146205,-17.535288763563674,79.16666666666667,71.375,87.41666666666667,0.16436061537639776,0.10281455463772549,0.22781221224560594,0.016666666667069546,-0.5256614583331972,0.5588020833336951,0.6097916666666666,0.284786458333333,0.9141770833333333,-0.5931249999995971,-1.0408958333331342,-0.13330208333275995,-0.42542356748524646,-0.5860722444317532,-0.2676089853417095,14.458333333333334,8.708333333333334,20.75,0.02156483654139445,-0.010519264090664348,0.05028352893700812
noise,0.0,adaptive_full,24,5.909791666666551,5.1020052083334,6.727312500000043,2.1417802830349837,12.120833333333332,11.574791666666668,12.686671875,1.432874631691457,-6.211041666666783,-6.948989583333355,-5.500598958333478,1.8619619031073955,0.1414872598858663,0.12350513757473729,0.16817953613656053,0.060421373182798166,0.2688353286112241,0.22447991585560342,0.31523980106646987,0.11735602799083575,1.433333333333363,1.067286458333341,1.9106770833333848,1.1152380002051492,4.892061679040548,4.551032743194365,5.251832286312583,0.9041444418664092,17.875,16.833333333333332,19.0,2.739604858845285,195.16666666666666,186.83333333333334,203.58437500000002,21.694853460363973,0.254528738793878,0.24685421517495876,0.26226105974658764,0.019813354698700464,6.3796312433621125,6.141171259010217,6.617961986883007,0.6249482605901218,0.5232727531054419,0.5100650484124798,0.5360616305599456,0.0335548521475048,1.7383330171940827,1.6984592961458365,1.7772586484503314,0.10171197186569672,0.0,0.0,0.0,0.0,-1.0922916666683584,-3.952156250001569,1.7666354166648002,-3.064375,-3.4388020833333335,-2.7130885416666666,1.9720833333316417,-0.8082239583347486,4.796322916664817,-17.92987340567295,-20.34669474585951,-15.534312535693891,-92.75,-101.91666666666667,-84.33333333333333,0.1491351611333743,0.09067181620553037,0.2071456343473942,1.1789583333335567,0.5130572916669056,1.8312656250002541,-3.718958333333333,-4.113130208333334,-3.3606197916666667,4.89791666666689,4.271437499999893,5.4848020833335465,1.5795021892252048,1.1978512278697886,1.9590299590710074,-157.45833333333334,-166.875,-147.83333333333334,0.006339382298371002,-0.04026063688398369,0.050137729462743225
noise,5.0,as_gamma0.01,24,4.709791666666583,3.671869791666359,5.628989583333316,2.522275749142319,15.488541666666668,14.911427083333335,16.083166666666667,1.5070915548533024,-10.778750000000082,-11.79858854166687,-9.829328125000064,2.5175644933669017,0.1274086997873546,0.10623817079893824,0.15344304372132442,0.0614712385529929,0.26861291756146116,0.2074113437250315,0.3307825868594919,0.15809447833544008,1.468541666666703,0.9830833333333897,2.0264739583333156,1.3469002086648698,3.503735960403579,3.382495121835142,3.6249083856843707,0.3171703325238045,18.916666666666668,17.875,20.041666666666668,2.7962189792128487,348.4583333333333,335.79062500000003,361.875,33.2290851732225,0.2483557149782556,0.2433445474287713,0.253628319909894,0.013034520984288357,6.392472290498574,6.22677938454207,6.557358008487327,0.4166188751985037,0.28977977371088354,0.28346422466618487,0.2966321728533055,0.017052917489388603,1.2748222665530111,1.2567790646500692,1.2926965166244446,0.04594051919804485,0.0,0.0,0.0,0.0,-1.605625000001228,-4.3733854166679285,1.4286458333326342,0.5602083333333335,0.3197812500000002,0.802088541666667,-2.1658333333345614,-4.855015625001962,0.7909062499987146,-17.734651627641348,-20.386804564058636,-14.997431824671615,60.958333333333336,53.290625,69.0,0.14212776458087,0.06836682829020595,0.21549003676211909,,,,,,,,,,,,,,,,,,
noise,5.0,adaptive_off,24,6.315416666667811,3.4919739583340386,8.736385416667371,6.730783744768653,14.928333333333333,14.386119791666665,15.490833333333333,1.4143808498441277,-8.612916666665521,-11.512953124999855,-6.0231406249995505,7.102528777571567,0.4389706223076881,0.36745138768943997,0.5176146966666934,0.18934866543457765,0.12648515298059118,0.07824710710987706,0.1811165600539734,0.13120517535043838,5.893333333333061,4.1874427083329016,7.819609375000217,4.659343270262976,21.238387588044926,18.501038097277746,23.84805111364934,6.847353853306104,46.666666666666664,43.916666666666664,48.875,6.397463265379806,287.5,276.79062500000003,298.875,28.0217306978771,0.2495257149913621,0.2438705884339672,0.2550830612005979,0.01392823987969701,6.541422866796388,6.363237205676145,6.7279200639781225,0.45828483493795735,0.33712992752535276,0.3304193014729747,0.3440074377732905,0.017687792383907067,1.4915716954437623,1.4784463265768595,1.5046230036679333,0.034949328426444486,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.605625000001228,-1.428645833332633,4.3733854166679285,-0.5602083333333335,-0.8020885416666669,-0.3197812500000002,2.1658333333345614,-0.7909062499987143,4.855015625001963,17.734651627641348,14.997431824671617,20.386804564058636,-60.958333333333336,-69.0,-53.29062499999999,-0.14212776458087,-0.21549003676211909,-0.06836682829020595
noise,5.0,adaptive_inventory,24,4.845625000000142,4.194723958333339,5.48171354166694,1.6435567955557706,16.033541666666668,15.468932291666667,16.61566666666667,1.4749646120785607,-11.187916666666524,-11.792739583333097,-10.551458333333194,1.5904319324899838,0.10439168384761498,0.0903814938682424,0.12070116606117622,0.04064785787498873,0.3101066693832188,0.25202264042248573,0.3677942661039705,0.14956613341797628,1.0943750000000392,0.7825000000000041,1.4337708333334223,0.8605601215639888,2.9508138206739005,2.8647415762421478,3.0398724538359034,0.21686492825847142,13.791666666666666,12.916666666666666,14.708333333333334,2.358687303798757,367.7916666666667,355.9166666666667,380.4583333333333,31.537388668974657,0.2648985215434269,0.26062401566980564,0.26944934262140524,0.01139935517140507,5.91630593482063,5.793529453145457,6.033209218456149,0.3031122673868172,0.29571535555036127,0.2896651384147138,0.30192461607935245,0.016034548501398013,1.2251241615356037,1.2151828790746524,1.235008272458336,0.025780180801525665,0.0,0.0,0.0,0.0,-1.4697916666676687,-4.098364583334255,1.5343906249989583,1.1052083333333338,0.8418593750000009,1.3762604166666672,-2.5750000000010025,-5.078135416667357,0.33281770833203933,-18.28757376737103,-20.925729345136116,-15.57318913002094,80.29166666666667,74.16666666666667,86.58333333333333,0.18362151640262758,0.1075757392702984,0.2594025620095603,0.13583333333355915,-0.3754166666664586,0.7120989583337091,0.5450000000000003,0.33144791666666656,0.7750052083333338,-0.4091666666664411,-0.9491927083332432,0.22881770833381762,-0.5529221397296783,-0.6846516276413477,-0.4262135922330096,19.333333333333332,12.290625,25.875,0.041493751821757574,0.010503329822714711,0.07070512411842632
noise,5.0,adaptive_full,24,5.47041666666676,4.595364583333391,6.304192708333468,2.2113108038028546,11.582083333333335,11.092072916666666,12.042088541666665,1.2182408170824837,-6.111666666666575,-6.810046875000003,-5.434614583333039,1.8103390666480503,0.14109595227844093,0.12485156110162424,0.1643111203613173,0.0536327122330423,0.2468404467012887,0.2034032889997684,0.290709648352331,0.11259889973262811,1.4741666666666984,1.1147864583333593,1.9146197916666918,1.051651565154926,4.811893203883495,4.5246609080525415,5.124624024367029,0.7740328173320424,18.0,17.0,19.0,2.5875958289333063,182.45833333333334,173.66666666666666,190.41770833333334,21.56885670846151,0.23783930411070378,0.2296214543973319,0.24538654615122055,0.02048658104413194,6.761566548759693,6.469626761116318,7.132015335932854,0.8532871955916562,0.5306005196341254,0.5171238275143157,0.5438121773317528,0.03532794273471453,1.79605988827408,1.757408677504937,1.8362466204666543,0.10190007942554753,0.0,0.0,0.0,0.0,-0.8450000000010517,-3.578765625001145,2.1265104166663007,-3.34625,-3.7306718749999996,-2.9520572916666663,2.5012499999989486,-0.1496510416666283,5.426932291666106,-16.426494384161433,-19.022681086997906,-13.73472955929945,-105.04166666666667,-113.834375,-96.04166666666667,0.12035529372069755,0.055839349064890895,0.1825517831971504,0.7606250000001763,0.03853645833357729,1.469177083333716,-3.906458333333333,-4.266046875000001,-3.51165625,4.667083333333509,3.982442708333591,5.317968750000356,1.308157243479916,0.9912365553017322,1.6560144203312392,-166.0,-176.79166666666666,-155.45833333333334,-0.021772470860172467,-0.07166057565301372,0.024837525759788037
informed,0.0,as_gamma0.01,24,1.3183333333333824,-0.6827083333335184,3.1179635416669242,5.01566365340219,38.534375000000004,37.03236458333333,40.010296875,3.7497777651540205,-37.21604166666662,-40.09834895833322,-34.45696354166652,7.329401923991286,0.25519833044175405,0.22069087259165168,0.29092773870181754,0.08913516649653976,0.06249361729305597,0.010370731466895437,0.11265552666099393,0.1357686363538542,5.006458333333324,3.5943697916666335,6.524380208333371,3.762014226669969,2.4077431943651244,2.3161955073291454,2.5012135922330097,0.2325906501441361,19.625,17.791666666666668,21.625,4.950296433811686,631.3333333333334,606.2083333333334,655.2104166666667,63.314032146647136,0.23582628558088567,0.23164058544096963,0.23981746160922873,0.010429134339927518,7.215833462920571,7.076564723648142,7.370413848848076,0.3760539831657973,0.144134273491806,0.14038838111421686,0.1482132081037989,0.010268839811287322,1.7201801729671076,1.7051538477852373,1.735859010444372,0.04079296907688064,0.0,0.0,0.0,0.0,-10.097083333332394,-14.468984374999309,-5.784885416665251,-1.1289583333333326,-2.471578124999999,0.19254166666666642,-8.96812499999906,-13.453041666666119,-4.450062499999405,-21.872096897011232,-23.397710237007423,-20.289959308966303,73.0,53.248958333333334,92.875,-0.020518786691087167,-0.0813183588254854,0.04187538936446704,,,,,,,,,,,,,,,,,,
informed,0.0,adaptive_off,24,11.415416666665777,7.490947916665229,15.209166666665572,9.975426755246444,39.663333333333334,38.13946875,41.025078125,3.7179013676683437,-28.24791666666756,-32.21927604166801,-24.453755208334442,10.069154460925763,0.8598061737483986,0.8066481491916304,0.912350510798778,0.1399844933292432,0.08301240398414314,0.05435057378908061,0.11430393250733957,0.07633041386011445,12.84166666666686,10.561036458332657,15.229817708333133,5.855072432379073,24.279840091376357,22.69414679706834,25.781934727774605,3.9734479153346047,50.0,50.0,50.0,0.0,558.3333333333334,538.790625,576.2510416666667,48.08838480988094,0.24566951926451877,0.24005481041204751,0.25086860894071644,0.013559288797221642,6.527176335992169,6.361897554416747,6.712260427323122,0.44158211105031187,0.17341457096088023,0.17069627544297045,0.17641484509468092,0.007261005492040223,2.0802033749432827,2.068434962980159,2.0916540154939733,0.030089600898702686,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,10.097083333332394,5.784885416665253,14.468984374999309,1.1289583333333326,-0.19254166666666625,2.471578125,8.96812499999906,4.450062499999407,13.45304166666612,21.872096897011232,20.289959308966303,23.397710237007423,-73.0,-92.875,-53.24895833333333,0.020518786691087167,-0.04187538936446702,0.0813183588254854
informed,0.0,adaptive_inventory,24,10.561666666666675,9.59372395833349,11.537942708333349,2.4878236807830265,40.855,39.50601041666667,42.121260416666665,3.366379489832544,-30.293333333333326,-31.630020833333013,-28.98995833333364,3.370345314093217,0.20905053284056282,0.1956510262410496,0.22374555679160427,0.03564851046770774,0.2994603589520967,0.2641185594447837,0.33343230417746034,0.09022029161799831,1.7697916666666238,1.5306197916667068,2.0295885416666506,0.6492277673054809,3.4684466019417477,3.3703764515514942,3.5669296116504854,0.2548271599635995,17.708333333333332,16.875,18.625,2.2356628560221465,597.75,578.9145833333333,616.1666666666666,47.71769337331348,0.2458524674684719,0.24125814655513206,0.2504327400441567,0.011729619544657668,6.836710977909206,6.7023122600415395,6.974251447534619,0.34981371769713676,0.15972720953179578,0.15699317643362845,0.1626840077131361,0.007553263850490939,1.9053153634877187,1.893541976009208,1.9178187264998687,0.030735316985150755,0.0,0.0,0.0,0.0,-0.8537499999991027,-4.5502343749998095,2.8261562500016617,1.1916666666666669,0.15325000000000133,2.245260416666667,-2.0454166666657696,-5.48029687499944,1.3483593750012575,-20.81139348943461,-22.30341947458595,-19.235033552255857,39.416666666666664,26.498958333333334,53.00104166666667,0.21644795496795358,0.1747105765470887,0.25441563953953944,9.243333333333291,7.165312499999731,11.412755208333207,2.3206249999999993,1.3138802083333339,3.388140625,6.922708333333291,4.503427083333486,9.462937500000141,1.0607034075766228,0.9255264848657909,1.1972450266514372,-33.583333333333336,-49.501041666666666,-16.958333333333332,0.23696674165904075,0.1788905860336852,0.29498631550055826
informed,0.0,adaptive_full,24,11.733749999999759,10.127072916666444,13.259463541666385,4.068798094619953,32.814166666666665,31.233671875,34.423187500000004,4.149006079686479,-21.08041666666691,-23.017328125000084,-19.225098958333344,4.878753386004424,0.3611633606065538,0.33331184327530605,0.3896663570073522,0.07308496723129188,0.1989680535182544,0.16560436988892815,0.23334633915880215,0.08753345687640617,3.8045833333334875,3.1260416666667408,4.619604166666881,1.9355360546476357,7.190986103179135,6.834701004188083,7.588496454407006,0.977005224208288,26.75,25.625,27.958333333333332,2.8930200858948947,317.25,302.87395833333335,332.16770833333334,37.29232349028882,0.27332680498914724,0.2642287808792062,0.2833712161799195,0.023994139390066945,5.879020975293777,5.646279490422199,6.105086278341747,0.5779835504603104,0.3459826768019303,0.3368353545565631,0.3564637958780941,0.025931852386799552,2.977798338600327,2.9131054311198126,3.0415932271215413,0.16759543693138634,0.0,0.0,0.0,0.0,0.3183333333339835,-3.1488229166657145,3.712333333334744,-6.849166666666668,-8.24171875,-5.431031250000001,7.167500000000651,3.8339218749999326,10.433380208334519,-17.08885398819722,-18.620400842375783,-15.504796663811156,-241.08333333333334,-256.2916666666667,-226.04166666666666,0.11595564953411126,0.07938029534997593,0.15069509485103524,10.415416666666378,7.754161458332877,13.083432291666302,-5.720208333333335,-6.808177083333334,-4.535197916666668,16.135624999999713,13.234374999999696,18.876463541666585,4.783242908814011,4.4029179754426035,5.211959237578527,-314.0833333333333,-332.37604166666665,-295.625,0.13647443622519842,0.07509460239546777,0.19754865820945386
informed,5.0,as_gamma0.01,24,2.285000000000098,0.3249895833334631,4.104031249999853,4.853547559573578,37.87041666666667,36.272625,39.360828125000005,3.920243702680459,-35.58541666666657,-38.23585416666649,-33.120614583333165,6.63098489580575,0.2863192847236731,0.23547166741315734,0.34461792637392985,0.14050918081788888,0.08874156310252447,0.042297036615363555,0.13902800242754226,0.12141702125475734,5.0450000000000355,3.630656250000007,6.669744791666733,3.8912401622105013,2.587616600038073,2.479248762611841,2.6969695888063963,0.2800567383603172,20.166666666666668,18.625,21.916666666666668,4.197998142662417,617.8333333333334,594.915625,640.9583333333334,58.4128236863661,0.22861002129997057,0.2252477722006204,0.23186438510481036,0.008508535987793903,7.181320039655078,7.061505285850668,7.308825871160368,0.31534076191504395,0.1461503304778062,0.14277421506231247,0.14971304005662303,0.00888097288162209,1.7531979607958093,1.729623428584193,1.778232143456353,0.061725859733375306,0.0,0.0,0.0,0.0,-5.3081249999990225,-9.404395833331709,-0.9555260416657548,0.3602083333333341,-0.5518177083333318,1.3579218750000002,-5.668333333332356,-9.713869791664733,-1.5578802083339276,-23.204882924043403,-24.780261874167145,-21.70267228250523,79.16666666666667,64.58229166666666,94.83541666666667,0.03223527982320922,-0.02025910334904099,0.08720593127891724,,,,,,,,,,,,,,,,,,
