env,latency_ms,arm,seed,pnl_net,pnl_gross,fees,pnl_edge,pnl_inventory,pnl_realized,pnl_unrealized,pnl_vol_1s,sharpe_1s,sharpe_ann_247,max_drawdown,pnl_1s_q05,pnl_1s_cvar05,pnl_1s_worst,inv_mean,inv_std,inv_abs_mean,inv_max_abs,inv_q05,inv_q95,inv_final,n_fills,n_maker_fills,n_taker_fills,filled_qty,n_quotes,n_cancels,n_rejects,fill_rate_orders,fill_ratio_qty,cancel_rate,quote_to_trade,quote_lifetime_mean_s,quote_lifetime_median_s,avg_edge_ticks,pnl_per_lot,killed,kill_time_s,sigma_hat_final,n_sigma_clamped,n_offset_clamped,market_trades,mid_max_dev_ticks,diverged,market_spread_mean,mean_abs_inv,mean_abs_obi,mean_abs_ret,mean_abs_adverse,mean_abs_latency,mean_abs_h0,n_kept_by_queue,n_adverse_measured,ack_latency_ms
noise,0.0,as_gamma0.01,4200010,1.704999999998961,1.704999999998961,0.0,14.115,-12.41000000000104,1.6600000000002364,0.044999999998724505,0.15043258368179172,0.0647656039961406,363.70370361823365,2.0850000000002638,-0.09999999999998295,-0.3900000000000874,-1.5450000000005275,0.38720731010850945,4.368745325476514,3.310108509423187,22.0,-7.0,7.0,5.0,305,305,0,1115.0,1184,1017,0,0.23479729729729729,0.1883445945945946,0.8589527027027027,7.216393442622951,0.29603717040609134,0.1743596425,1.2659192825112107,0.0015291479820618483,0.0,nan,1.6175439305085757,0.0,0.0,4678.0,15.5,0.0,1.335237007424329,,,,,,,,,
noise,0.0,as_gamma0.01,4200011,9.159999999999627,9.159999999999627,0.0,19.615000000000002,-10.455000000000375,9.159999999999666,-3.907985046680551e-14,0.1127513648660049,0.46423258117593436,2606.9873311766073,0.8050000000000068,-0.0659999999999968,-0.20555555555555965,-0.4500000000001023,-0.1307824100513992,3.7566655649415943,2.6299257567104513,17.0,-6.0,6.0,0.0,436,436,0,1520.0,1376,1147,0,0.27834302325581395,0.22093023255813954,0.8335755813953488,5.786697247706422,0.2539844410967977,0.133342801,1.2904605263157896,0.006026315789473439,0.0,nan,2.1447856842350794,0.0,0.0,4988.0,47.0,0.0,1.4176201372997712,,,,,,,,,
noise,0.0,as_gamma0.01,4200012,3.3999999999998636,3.3999999999998636,0.0,15.65,-12.250000000000137,3.4300000000002884,-0.030000000000424798,0.12445843273089784,0.15610490187176643,876.6370953184605,1.1600000000001955,-0.17300000000007001,-0.3505555555555715,-0.57000000000005,0.2592804111936037,4.947946443832291,3.68703597944032,15.0,-8.0,10.0,-8.0,348,348,0,1202.0,1177,992,0,0.2548853016142736,0.2042480883602379,0.842820730671198,6.232758620689655,0.2977152745846809,0.143193272,1.3019966722129783,0.00282861896838591,0.0,nan,1.664644492680835,0.0,0.0,4737.0,38.5,0.0,1.3478012564249,,,,,,,,,
noise,0.0,as_gamma0.01,4200013,5.569999999999425,5.569999999999425,0.0,14.86,-9.290000000000575,5.569999999999651,-2.2648549702353193e-13,0.0915845459891417,0.3475321200188266,1951.6334501362148,0.75,-0.06449999999999817,-0.18833333333331678,-0.7099999999998943,0.2781267846944603,4.000539102438474,3.0045688178183894,16.0,-6.0,7.0,-4.0,347,347,0,1152.0,1190,1016,0,0.24789915966386555,0.19361344537815126,0.853781512605042,6.357348703170029,0.29435365360016835,0.1697140955,1.2899305555555556,0.004835069444443945,0.0,nan,1.9334581534157236,0.0,0.0,4824.0,20.0,0.0,1.3417142857142856,,,,,,,,,
noise,0.0,as_gamma0.01,4200014,3.0449999999995043,3.0449999999995043,0.0,14.98,-11.935000000000496,2.966249999999783,0.07874999999972143,0.2675999329931246,0.06502243780623151,365.1460032677515,3.8349999999998374,-0.0799999999999443,-0.5149999999999785,-3.2199999999999136,-0.5276984580239863,4.486441699524889,3.337521416333524,20.0,-8.0,6.5,-3.0,326,326,0,1137.0,1161,979,0,0.24031007751937986,0.1958656330749354,0.843238587424634,6.564417177914111,0.30195052359102675,0.160475857,1.3175021987686895,0.002678100263851807,0.0,nan,2.3364983573878173,0.0,0.0,4647.0,26.5,0.0,1.3540833809251855,,,,,,,,,
noise,0.0,as_gamma0.01,4200015,6.515000000000327,6.515000000000327,0.0,16.445,-9.929999999999673,6.530000000000213,-0.014999999999885993,0.08319520243210013,0.4474845945468724,2512.935791635627,0.5599999999998317,-0.06300000000008196,-0.139444444444455,-0.29999999999984084,0.010850942318675044,4.040966251059533,3.0902341519131924,14.0,-6.0,6.0,-3.0,358,358,0,1273.0,1265,1066,0,0.2482213438735178,0.20126482213438734,0.8426877470355731,6.511173184357542,0.2766821854711006,0.147288442,1.2918303220738414,0.005117831893166007,0.0,nan,1.5094258148606976,0.0,0.0,4929.0,40.5,0.0,1.38,,,,,,,,,
noise,0.0,as_gamma0.01,4200016,3.3099999999995475,3.3099999999995475,0.0,16.19,-12.880000000000454,3.2799999999997986,0.029999999999748894,0.13090300248319098,0.1444908470813103,811.4161372684794,2.0550000000001774,-0.11449999999999248,-0.30611111111112954,-1.2250000000001364,0.4328954882924043,3.633547071039686,2.689891490576813,13.0,-5.0,6.0,-2.0,364,364,0,1240.0,1204,1008,0,0.25664451827242524,0.2059800664451827,0.8372093023255814,6.076923076923077,0.2906744360549085,0.150060247,1.3056451612903226,0.0026693548387093126,0.0,nan,2.447632993748667,0.0,0.0,4863.0,67.5,0.0,1.364363221016562,,,,,,,,,
noise,0.0,as_gamma0.01,4200017,3.8800000000003365,3.8800000000003365,0.0,17.150000000000002,-13.269999999999666,3.879415584415728,0.000584415584608422,0.15535692788239314,0.14271284115642724,801.4314030880698,2.240000000000407,-0.11800000000000209,-0.45111111111113344,-1.070000000000391,-0.3672187321530554,5.331762006752093,4.055396916047973,22.0,-10.0,7.0,-9.0,385,385,0,1369.0,1277,1062,0,0.2615505090054816,0.2144087705559906,0.831636648394675,6.0753246753246755,0.2741543267827451,0.173414724,1.2527392257121988,0.0028341855368884854,0.0,nan,1.9468805871325692,0.0,0.0,4758.0,40.5,0.0,1.352974828375286,,,,,,,,,
noise,0.0,as_gamma0.01,4200018,6.899999999998499,6.899999999998499,0.0,17.185,-10.2850000000015,6.902589285714349,-0.0025892857158495985,0.13004183361260538,0.30319913471860577,1702.6730459824319,1.1599999999999682,-0.07600000000004455,-0.26833333333336085,-1.0150000000001285,-0.18789263278126786,5.097517526845983,3.903483723586522,19.0,-9.0,8.0,-8.0,355,355,0,1326.0,1259,1050,0,0.25178713264495634,0.21064336775218429,0.8339952343129468,6.504225352112676,0.27838923649482894,0.164482298,1.296003016591252,0.005203619909501131,0.0,nan,2.1150603695863377,0.0,0.0,4892.0,15.5,0.0,1.3746430611079383,,,,,,,,,
noise,0.0,as_gamma0.01,4200019,8.529999999999745,8.529999999999745,0.0,14.6,-6.070000000000254,8.708680555555551,-0.17868055555580575,0.08604574527043475,0.5664760876863913,3181.155403337011,0.37000000000000455,-0.06150000000000659,-0.09555555555551286,-0.14000000000007162,-0.402627070245574,4.602357546208169,3.5619645916619076,18.0,-8.0,8.0,-12.0,309,309,0,1072.0,1101,937,0,0.24613987284287012,0.1947320617620345,0.8510445049954587,6.5954692556634305,0.3184056334067334,0.188538296,1.3619402985074627,0.007957089552238568,0.0,nan,1.6878799572234577,0.0,0.0,4815.0,20.0,0.0,1.350085665334095,,,,,,,,,
noise,0.0,as_gamma0.01,4200020,5.119999999999493,5.119999999999493,0.0,16.225,-11.105000000000508,5.1500000000001265,-0.03000000000063352,0.10276223613613031,0.28470714493194454,1598.8277213394313,1.2099999999999227,-0.13100000000008546,-0.25944444444445164,-0.5000000000000568,0.08280982295830953,3.9604694712505517,2.9097658480868076,14.0,-7.0,6.0,-4.0,342,342,0,1218.0,1217,1025,0,0.2465078060805259,0.20016433853738702,0.8422350041084634,6.555555555555555,0.2880658436213992,0.14446626,1.3321018062397372,0.004203612479474132,0.0,nan,1.8753625470848938,0.0,0.0,4821.0,24.0,0.0,1.3575099942889777,,,,,,,,,
noise,0.0,as_gamma0.01,4200021,3.7700000000005502,3.7700000000005502,0.0,16.12,-12.34999999999945,3.7700000000002896,2.6068036618198676e-13,0.17783392466542045,0.12114031213893164,680.2867180088956,2.7950000000000728,-0.13149999999999834,-0.4416666666666739,-1.8899999999999864,-0.03997715591090805,3.988361251270688,3.0177041690462594,19.0,-7.0,6.0,0.0,347,347,0,1250.0,1285,1085,0,0.23268482490272374,0.19455252918287938,0.8443579766536965,6.829971181556196,0.2725691842681216,0.14805861,1.2896,0.00301600000000044,0.0,nan,2.2970714467592614,0.0,0.0,4665.0,24.5,0.0,1.379211878926328,,,,,,,,,
noise,0.0,as_gamma0.01,4200022,4.860000000000696,4.860000000000696,0.0,16.54,-11.679999999999303,4.859999999999615,1.0809131367750524e-12,0.11966982491452106,0.23206709453506258,1303.2173956928532,1.2000000000001592,-0.05299999999995179,-0.29055555555553286,-0.9399999999998414,-0.34837235865219873,4.218577719918893,3.0611079383209594,18.0,-7.5,6.0,0.0,371,371,0,1270.0,1253,1057,0,0.2569832402234637,0.20271348762968874,0.8435754189944135,6.226415094339623,0.27953637090327743,0.156295005,1.3023622047244094,0.003826771653543855,0.0,nan,1.69412474899268,0.0,0.0,4867.0,27.5,0.0,1.362649914334666,,,,,,,,,
noise,0.0,as_gamma0.01,4200023,-3.660000000000764,-3.660000000000764,0.0,14.33,-17.990000000000762,-3.697142857142755,0.03714285714199095,0.2522525385115971,-0.08291010999411037,-465.5976662249609,5.345000000000596,-0.15300000000001432,-0.7877777777777497,-2.6149999999997817,1.5608223872073101,3.821194345043731,2.874357509994289,17.0,-4.0,9.5,4.0,352,352,0,1256.0,1272,1091,0,0.24842767295597484,0.19748427672955976,0.8577044025157232,6.713068181818182,0.27552662767322833,0.1328548465,1.140923566878981,-0.0029140127388541113,0.0,nan,2.25082362001925,2.0,6.0,4676.0,54.0,0.0,1.3209594517418617,,,,,,,,,
noise,0.0,adaptive_off,4200000,0.7900000000036016,0.7900000000036016,0.0,14.085,-13.2949999999964,2.149869335144267,-1.3598693351406652,0.508168526407854,0.008883442164781269,49.886677755709016,5.209999999998217,-0.7600000000004912,-1.2700000000000324,-2.4299999999993815,3.8663620788121076,34.7337982126768,30.17704169046259,50.0,-50.0,50.0,-42.0,268,268,0,938.0,964,807,0,0.241701244813278,0.20176382017638203,0.8371369294605809,6.608208955223881,0.3366903793045738,0.2,1.501599147121535,0.0008422174840123684,0.0,nan,1.5931475239675965,0.0,0.0,4804.0,9.5,0.0,1.3889206167904056,0.0,0.0,0.0,0.0,0.0,1.0651749404753967,0.0,268.0,0.0
noise,0.0,adaptive_off,4200001,-3.8950000000022555,-3.8950000000022555,0.0,14.495000000000001,-18.390000000002257,-2.006797990293183,-1.8882020097090724,0.6643838794287386,-0.03350042580246415,-188.12808320092418,16.075000000001182,-0.9830000000007657,-1.8244444444446546,-4.420000000000982,30.081096516276414,16.240069395360575,31.171901770416905,50.0,-4.0,50.0,41.0,283,283,0,983.0,1023,854,0,0.2512218963831867,0.19782652445159993,0.8347996089931574,6.6325088339222615,0.3270307175543585,0.2,1.4745676500508647,-0.0039623601220775745,0.0,nan,1.994690306148648,0.0,0.0,4944.0,37.5,0.0,1.4111936036550543,0.0,0.0,0.0,0.0,0.0,1.0651749404753978,0.0,283.0,0.0
noise,0.0,adaptive_off,4200002,11.10499999999979,11.10499999999979,0.0,14.36,-3.2550000000002086,10.717777777778378,0.38722222222141234,0.19145440663347837,0.33144780510915295,1861.308886759042,2.0900000000006003,-0.15450000000012096,-0.40277777777780305,-1.0799999999999272,-4.348372358652199,12.063876556389431,10.579097658480869,33.0,-24.0,15.0,-9.0,282,282,0,1001.0,1017,860,0,0.2497541789577188,0.1968534906588004,0.8456243854473943,6.656028368794326,0.3431273483270936,0.2,1.4345654345654346,0.011093906093905885,0.0,nan,1.4561695873375862,0.0,0.0,4827.0,20.0,0.0,1.3731428571428572,0.0,0.0,0.0,0.0,0.0,1.0651749404753976,0.0,282.0,0.0
noise,0.0,adaptive_off,4200003,10.820000000000164,10.820000000000164,0.0,12.19,-1.3699999999998358,10.692060231765502,0.12793976823466124,0.4331309088907563,0.14274800103025362,801.6288501207597,4.949999999999591,-0.3529999999999745,-1.0594444444447315,-2.605000000000473,-22.135351227869787,13.899840003331521,22.13992004568818,50.0,-43.0,-4.0,-14.0,234,234,0,828.0,926,801,0,0.23110151187904968,0.1814595660749507,0.8650107991360692,7.380341880341881,0.37796202893939396,0.2,1.4722222222222223,0.013067632850241744,0.0,nan,1.3853868606785584,0.0,0.0,4689.0,25.5,0.0,1.348,0.0,0.0,0.0,0.0,0.0,1.0651749404753934,0.0,234.0,0.0
noise,0.0,adaptive_off,4200004,0.7450000000008004,0.7450000000008004,0.0,16.29,-15.544999999999199,0.9043196317620634,-0.15931963176126307,0.4758930107025107,0.008945588107846045,50.235670249608305,8.605000000001155,-0.6675000000002,-1.3327777777777152,-3.0,-21.345516847515704,15.12781943282849,22.61336379211879,50.0,-45.0,4.0,-19.0,311,311,0,1089.0,1073,905,0,0.2534948741845294,0.20431519699812384,0.8434296365330848,6.360128617363344,0.3195309449953314,0.2,1.4958677685950412,0.0006841138659327827,0.0,nan,1.7338760474802324,0.0,0.0,4989.0,30.0,0.0,1.459166190748144,0.0,0.0,0.0,0.0,0.0,1.0651749404754003,0.0,311.0,0.0
noise,0.0,adaptive_off,4200005,-0.2449999999929986,-0.2449999999929986,0.0,16.245,-16.489999999993,-0.24625000000654668,0.0012500000135480804,0.544193128328133,-0.002572616093593581,-14.447020385753131,12.249999999995907,-0.9739999999998871,-1.4827777777776545,-3.0,27.81781838949172,16.99680629903127,28.661907481439176,50.0,-3.0,50.0,-1.0,302,302,0,1043.0,1108,950,0,0.2490974729241877,0.19300518134715025,0.8574007220216606,6.814569536423841,0.30783731564918626,0.2,1.5575263662511984,-0.00023489932885234764,0.0,nan,1.7249307651412922,0.0,0.0,4931.0,31.5,0.0,1.4231867504283267,0.0,0.0,0.0,0.0,0.0,1.0651749404753994,0.0,302.0,0.0
noise,0.0,adaptive_off,4200006,-0.5899999999994634,-0.5899999999994634,0.0,14.795,-15.384999999999463,-0.2892645338894776,-0.3007354661099858,0.6636779740219954,-0.005079916319949727,-28.52724695884132,14.679999999998927,-0.9160000000000763,-2.037777777777592,-3.7349999999996726,-28.013706453455168,18.542150587192552,29.82181610508281,50.0,-50.0,7.0,-16.0,281,281,0,978.0,1026,870,0,0.24561403508771928,0.19470435994425642,0.847953216374269,6.747330960854092,0.3210670792529297,0.2,1.5127811860940694,-0.0006032719836395332,0.0,nan,1.8165447089046485,0.0,0.0,4922.0,29.5,0.0,1.411663807890223,0.0,0.0,0.0,0.0,0.0,1.0651749404753976,0.0,280.0,0.0
noise,0.0,adaptive_off,4200007,12.02000000000146,12.02000000000146,0.0,14.950000000000001,-2.9299999999985413,11.93000000000076,0.09000000000069974,0.29356114828645735,0.23397413004632006,1313.9267203278425,2.230000000000018,-0.40949999999974124,-0.6205555555556733,-0.8850000000002183,-14.255282695602514,16.58263988443558,16.732724157624215,50.0,-43.0,8.0,-7.0,294,294,0,995.0,991,844,0,0.26437941473259335,0.20178462786453052,0.851664984863774,6.241496598639456,0.352515285429727,0.2,1.5025125628140703,0.012080402010051719,0.0,nan,1.6283692224054849,0.0,0.0,4764.0,18.5,0.0,1.3820673900628213,0.0,0.0,0.0,0.0,0.0,1.0651749404753987,0.0,293.0,0.0
