gamma,quote_size,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi
0.0,1,12,3.113749999998962,2.719999999997981,4.037431747242018,0.9305312499985567,5.269333333332332,8.400833333333335,8.1425,0.657916246857294,8.075135416666667,8.773458333333336,-5.287083333334372,-5.727500000003447,4.110758312223697,-7.475583333334572,-3.102291666668,0.0801458841475818,0.0392601663925521,0.09280138659638777,0.030196584652010423,0.1328483185653067,5.512500000000268,4.445000000000164,5.6197409759143495,3.2070104166667197,8.923187500000724,0.2649074836991477,0.260837128442619,0.012678861348420502,0.25847586677759565,0.27193615449143876,1.2384348886894243,1.262757731958763,0.15573837129848617,1.1524901771744969,1.314184656363846,403.75,392.0,32.93278278278624,386.99375,422.67291666666665,12.225311323486823,11.195482189400522,6.738893511975844,9.27613850275123,16.24635280915146,28.583333333333332,31.0,11.040901917484602,22.74791666666667,34.5,0.4728254101435128,0.44308199698223055,0.23678525911857343,0.35658139472267375,0.6099811352724952,0.14965329315226722,0.14926388754550252,0.00657626347851308,0.1459783554800287,0.15335863516239912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,12,3.893333333332388,7.137499999999591,8.556266532179878,-1.0315625000011241,8.021645833331906,14.996666666666668,15.0375,1.5762892750976514,14.087020833333334,15.83003125,-11.103333333334279,-9.322500000000103,8.846573639071684,-15.899677083334817,-6.508489583334107,0.08665644985141957,0.07396417949535156,0.14035592662643373,0.016637730540461894,0.16905392827764865,9.35833333333341,7.604999999998654,6.750439828543804,5.933437500000208,13.1063541666668,0.2592215144062599,0.25882276090186007,0.013597277551069773,0.25151168113323824,0.26673916416566495,1.175378957819091,1.171136310971012,0.12326250721058539,1.1090463625006615,1.240482180844696,398.5,402.0,38.03706326490232,376.32916666666665,418.5854166666667,19.525412684622065,18.495221546481318,6.414333861436798,15.954257167680279,22.971535621198953,42.916666666666664,47.0,9.209267400863439,37.25,47.418749999999996,0.7555556418975252,0.7244854359018035,0.28361048501157665,0.6068976995322001,0.9134123996027212,0.15392358004711884,0.15150411346319692,0.008601545032049844,0.14966337456653625,0.15901884086639018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,12,8.06249999999981,8.037500000000023,7.34792595969038,4.389489583333828,11.999249999999115,25.637083333333337,25.785000000000004,2.9430190577436672,23.924427083333335,27.115416666666665,-17.574583333333525,-17.747500000000407,9.002658813911586,-22.283666666667234,-12.602666666667258,0.0939696530822675,0.07997415694058026,0.09040390650154494,0.04704765700452634,0.14217382505205106,9.58375000000035,9.36000000000081,4.910409224290468,7.16936458333349,12.33330208333329,0.2422361319791633,0.23917736320250577,0.017440008665012618,0.2325238332503134,0.25116966593396456,1.1865820604261932,1.11392226294989,0.24705713553397124,1.0724620703632957,1.3263353728346055,362.75,350.0,42.836104143372076,338.83124999999995,385.50416666666666,23.221039675644366,21.913119026933103,5.111155499737178,20.4155372140168,25.872675933970463,49.75,50.0,0.8660254037844386,49.25,50.0,0.866215598539124,0.8830247908597484,0.1790463493657465,0.7590395714143398,0.953458072976742,0.17368753996558986,0.17058944058443132,0.008367995225462395,0.16960301605601316,0.178657393323104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10,12,7.172500000000455,9.627499999996644,6.706542429870204,3.4038437499984657,10.465802083334028,33.87333333333334,33.445,3.202191247861188,32.062197916666676,35.74781250000001,-26.70083333333288,-26.02750000000384,6.6338580004180026,-30.46104166666676,-23.24383333333329,0.078361415601977,0.09291240808785894,0.06948464956630579,0.03971053993039171,0.11443617567963221,9.060833333333411,7.942500000000109,4.040262048957935,7.013562499999517,11.39852083333411,0.2280033615629771,0.22417452307104374,0.01382610973991861,0.220616753011678,0.235557424871853,1.0483200712581437,1.043891804406169,0.10476492723404272,0.9903711383004596,1.0986888968198836,341.0,335.5,34.53325143315431,321.9916666666667,360.6770833333333,25.63582392122792,25.973935708079928,2.384532696196839,24.38558137851144,26.871550101361137,50.0,50.0,0.0,50.0,50.0,0.9069551375558632,0.8866404044798991,0.19885583684969924,0.8030028905605102,1.0237275691513463,0.1865207333944974,0.18525694976652543,0.009867641092790244,0.18133377479178128,0.19232082174518028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20,12,10.792916666666477,9.882499999999482,13.767784607277425,4.54829166666673,18.33519791666642,38.410833333333336,37.6375,4.840140321657351,35.853822916666665,40.949312500000005,-27.617916666666858,-28.244999999999,11.94230856666697,-33.641625,-21.079604166667952,0.11653548447937945,0.10601805373628567,0.14730751156391436,0.04901110067551297,0.1981669675878041,9.035833333333377,8.615000000003079,3.7749869556266855,7.1508020833332715,11.199531249999923,0.21717847361844,0.22016726201799441,0.015970850657929206,0.20871713563043717,0.22540132556699802,1.0243777974713046,1.0511829125389731,0.19874581876735564,0.9150211375423353,1.1328133450424756,324.75,331.5,46.68097724302306,299.0833333333333,348.66875,27.58514335360556,29.019113814074718,4.183017789472876,25.35436395887634,29.718594338256594,50.0,50.0,0.0,50.0,50.0,0.9164505439380174,0.8338043075515902,0.17937885877363877,0.8293408267510463,1.0212206581234706,0.19659863957611978,0.19254924153976868,0.013377686682139926,0.19011082284778402,0.2040982719081587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1,12,2.5483333333331886,2.474999999999767,0.938703974379071,2.017874999999867,3.0117083333330443,8.52625,8.715,0.8762967663567365,8.022895833333333,8.9669375,-5.977916666666811,-6.090000000000209,0.6799714510495498,-6.302937500000086,-5.593239583333577,0.2500158360110629,0.2708762327446861,0.09404281587126802,0.2010477922832456,0.29661302592385824,0.6804166666666861,0.6174999999999855,0.2400327471344964,0.5579062500000485,0.8166770833333251,0.26144779609837426,0.2615117591039095,0.01353463033653118,0.2537540593727282,0.2685535978018716,1.2811706583298947,1.305254749080317,0.15775886040067522,1.1971631778231888,1.3615177061610506,415.75,422.0,43.049918171181865,390.4916666666667,437.425,1.7608601216333624,1.7536924413553432,0.23960085696722522,1.642911960613959,1.8779539530842742,7.833333333333333,7.5,1.6422453217986943,7.0,8.75,0.09250664883359494,0.09394300287319363,0.016230664313690846,0.0831805567062191,0.10097565379896555,0.1442027632283733,0.14041763120025477,0.00904006851011667,0.13973532920444034,0.14967417422386609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,2,12,4.007083333333271,4.142499999999657,1.9747122440925917,2.9790624999999413,5.095031249999849,14.735833333333332,14.91,1.572116166962302,13.802072916666667,15.553020833333333,-10.728750000000062,-10.660000000000142,1.9298317460807763,-11.79466666666663,-9.686479166666818,0.2669813338671671,0.30632829990092003,0.13409283975101494,0.19815076033701406,0.3338424600679555,1.070416666666669,0.8150000000000261,0.6827433243684115,0.7466458333333491,1.434291666666705,0.25229270517518565,0.25207034770378245,0.01340918746183858,0.24506203913923066,0.26002842619207084,1.4097218504015399,1.3690917556547697,0.1891914379042048,1.3157464297878128,1.5074067211968207,406.4166666666667,418.5,39.82109612968605,383.1625,426.8354166666667,2.3572256009267307,2.3609904430929625,0.2309765160216274,2.235657399362873,2.485664639443962,11.916666666666666,12.0,1.5642792899510296,11.083333333333334,12.75,0.1441472167034254,0.13611371244707013,0.03654396188597818,0.1260381128999346,0.16304888854762734,0.14673897577471337,0.1449593818854676,0.008775452532216703,0.14227042076418084,0.15167347037154894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,5,12,2.5400000000002705,3.437500000000284,3.122002562458975,0.8290000000002775,4.091364583333611,27.181250000000002,26.8525,3.005954034760164,25.574333333333332,28.877104166666665,-24.64124999999973,-24.672499999999594,4.130083162821165,-26.6964166666665,-22.18451041666637,0.10741730405840542,0.11763776871096629,0.11241172012455158,0.05308879779826707,0.17311793098290243,3.5612500000000615,3.170000000000101,2.4538208842167455,2.485406250000118,5.044822916666724,0.24383160898717693,0.24413751323710398,0.01292130059560474,0.23703642541640083,0.251066983845806,1.577621565513082,1.550052083141173,0.17485003597287227,1.4823288566672197,1.6636989517458087,418.3333333333333,409.5,44.65694150120924,394.3270833333333,442.09375,3.662757022878656,3.869244135534318,0.42712112287501186,3.432498913987836,3.9089976107732403,22.583333333333332,22.0,4.5016831868926,20.416666666666668,25.333333333333332,0.31009051921513375,0.2784865079864947,0.16420095879208826,0.24284078474979837,0.40660200680696834,0.14861105248949644,0.14806035217689267,0.009796757470498947,0.14360732478162477,0.15432066799473657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,10,12,-1.336250000000047,1.7850000000006858,10.568516737117367,-7.2074791666668006,3.7305833333335037,34.18208333333334,34.5675,3.269754966030144,32.30067708333333,35.83805208333333,-35.51833333333339,-32.737500000000765,10.10492506682093,-41.06257291666689,-30.38936458333309,0.056894530204078454,0.031209777094709172,0.16302422639214867,-0.02536743985301184,0.1457335339164697,8.00374999999981,5.142499999999686,8.18009950067274,4.148177083333421,12.561072916666275,0.2303699367173054,0.23232572648671806,0.010189175675090034,0.22458935122345847,0.2353466193788856,1.627713265253668,1.5178190436021541,0.4195294024018088,1.413267265255017,1.8761467754026044,396.5,406.5,32.19683778939112,378.5770833333333,412.50625,4.58123370981755,4.503475238922675,0.30474591306944093,4.426647118447726,4.754439979727772,30.75,30.5,4.882715339942427,28.33125,33.666666666666664,0.5645204964290708,0.4377312770613893,0.4965377304303093,0.3607372480083712,0.8517096218276872,0.15765948427946166,0.15530091119320466,0.007769166287635262,0.15357758523446352,0.16207210031346775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,20,12,0.762499999999528,3.442499999999825,7.7492570025074645,-3.978062500000596,4.46279166666642,39.97708333333333,40.542500000000004,4.0461111847917595,37.689947916666675,42.043343750000005,-39.214583333333806,-36.422499999999914,10.142581583317273,-45.42323958333369,-34.269645833333335,0.04545671442428697,0.06163656547751892,0.10683820230197517,-0.018974031317606787,0.10067499535884979,7.4404166666666285,5.374999999999943,5.388985171091548,4.773624999999866,10.760927083333497,0.22185971395702278,0.22591748527846275,0.01263540786241054,0.2143401431188946,0.2283955087605904,1.5247776739132013,1.4567918217266391,0.24863052163799015,1.401315723241406,1.6690274788444923,394.5,405.0,50.14615003802748,367.5833333333333,421.5083333333333,5.819287576020852,5.75716768027802,0.8331599936769208,5.419200695047786,6.299113090066609,39.916666666666664,40.5,7.292067088572515,36.083333333333336,43.75208333333333,0.5237192785625724,0.46099174697181294,0.19701471937602844,0.4256145823423491,0.647130356993507,0.16345618353036365,0.16434426652226608,0.012216266104059232,0.15673168780930544,0.1699458414853584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
