env,dt_s,k,q_bin,n_rows,p_fill,ci_lo,ci_hi
informed,0.5,all,41+,1771,0.13099943534726144,0.11399919351341253,0.1479776952308894
informed,1.0,all,0,22276,0.35459687556114206,0.3460719418077692,0.3656228307521679
informed,1.0,all,1-2,10969,0.41261737624213696,0.3952249536930382,0.43297309896307073
informed,1.0,all,3-5,9911,0.4671577035616991,0.45122697991663513,0.4840322704477174
informed,1.0,all,6-10,11676,0.43610825625214117,0.4220409220748898,0.4517790985099048
informed,1.0,all,11-20,11372,0.4257826239887443,0.4100458216698758,0.44307438982734443
informed,1.0,all,21-40,6773,0.4070574339288351,0.3910693562125983,0.4227400537106809
informed,1.0,all,41+,1757,0.3386454183266932,0.3083817417919144,0.3759009686545931
informed,2.0,all,0,10140,0.5884615384615385,0.5725598109502834,0.6052950395069053
informed,2.0,all,1-2,6319,0.638075644880519,0.6198756068136266,0.6563349260944421
informed,2.0,all,3-5,7040,0.6572443181818182,0.6413088182848897,0.6743125136262038
informed,2.0,all,6-10,8815,0.6287010777084515,0.6108366833067729,0.6454468927541072
informed,2.0,all,11-20,9369,0.6046536449994663,0.587759541143821,0.623429374544898
informed,2.0,all,21-40,5922,0.6028368794326241,0.5842931432973806,0.620202747661477
informed,2.0,all,41+,1617,0.5800865800865801,0.5362031642329539,0.6212795241937503
informed,0.5,d0,0,964,0.8993775933609959,0.8822913027578415,0.917759171622737
informed,0.5,d0,1-2,1105,0.8633484162895928,0.8433644742308618,0.8823179442595178
informed,0.5,d0,3-5,1472,0.8362771739130435,0.8147881637219494,0.8570551292452125
informed,0.5,d0,6-10,1707,0.7703573520796719,0.7485342288736627,0.7900359320997524
informed,0.5,d0,11-20,1817,0.6466703357182169,0.6221586948444174,0.6712718340007522
informed,0.5,d0,21-40,1219,0.5159967186218212,0.4823379132674968,0.5525657064760302
informed,0.5,d0,41+,357,0.2913165266106443,0.2434013716271781,0.3548411987256073
informed,1.0,d0,0,931,0.9334049409237379,0.9201202669445031,0.9468069927271706
informed,1.0,d0,1-2,1089,0.9164370982552801,0.8993194221406133,0.9316450639204545
informed,1.0,d0,3-5,1463,0.9022556390977443,0.8875156411346656,0.916334791035801
informed,1.0,d0,6-10,1703,0.8637698179682912,0.8461493920092646,0.8791483922899535
informed,1.0,d0,11-20,1810,0.8132596685082873,0.7953390199432535,0.8351129665379766
informed,1.0,d0,21-40,1216,0.7138157894736842,0.6797809209890853,0.7461325085872889
informed,1.0,d0,41+,354,0.6016949152542372,0.5386730623100304,0.6609307406598207
informed,0.5,d1,0,4129,0.521675950593364,0.5049638985415427,0.537508244151319
informed,0.5,d1,1-2,2285,0.5194748358862145,0.49627414167122846,0.540457138451088
informed,0.5,d1,3-5,2245,0.5002227171492205,0.47461086172043104,0.5277135631675953
informed,0.5,d1,6-10,2913,0.4260212838997597,0.39852608649584176,0.4513713149975004
informed,0.5,d1,11-20,3043,0.36608609924416696,0.343201346308329,0.38821279838539874
informed,0.5,d1,21-40,1996,0.25200400801603207,0.2356260277631239,0.2737230174960236
informed,0.5,d1,41+,533,0.1575984990619137,0.12795909464773914,0.18767088646691138
informed,1.0,d1,0,3662,0.6832332058984162,0.6681648104832595,0.7000675396509248
informed,1.0,d1,1-2,2149,0.6775244299674267,0.649306749181167,0.7024711550725539
informed,1.0,d1,3-5,2196,0.6830601092896175,0.6642018587660933,0.7031526521665111
informed,1.0,d1,6-10,2856,0.615546218487395,0.584767540759629,0.6397934319833338
informed,1.0,d1,11-20,3010,0.5661129568106312,0.5400283836406523,0.5894589825697046
informed,1.0,d1,21-40,1986,0.4989929506545821,0.4720142490018815,0.5286706818461618
informed,1.0,d1,41+,531,0.4256120527306968,0.3685085916086865,0.4843813573688969
informed,0.5,d2+,0,23764,0.1348257869045615,0.12888769513079643,0.1414335461285104
informed,0.5,d2+,1-2,9257,0.14518742573187857,0.13400661716786186,0.15705700401189698
informed,0.5,d2+,3-5,6772,0.15726520968694624,0.14422474389402704,0.16934487832596767
informed,0.5,d2+,6-10,7678,0.13766605886949726,0.12547664160335148,0.15111922157905414
informed,0.5,d2+,11-20,6836,0.11673493270918665,0.10701348852483564,0.12860195279343759
informed,0.5,d2+,21-40,3666,0.09519912711402073,0.08216749641495222,0.10824005840063353
informed,0.5,d2+,41+,881,0.049943246311010214,0.033783580021517295,0.0691918944931457
informed,1.0,d2+,0,17683,0.25606514731663177,0.24366428733817438,0.26753999903985043
informed,1.0,d2+,1-2,7731,0.2680119001422843,0.25134638118290636,0.2875859650624036
informed,1.0,d2+,3-5,6252,0.2895073576455534,0.27400539107361505,0.30709583547201785
informed,1.0,d2+,6-10,7117,0.2617675987073205,0.24166421467120097,0.2808261471046162
informed,1.0,d2+,11-20,6552,0.25427350427350426,0.2360750724297171,0.2732132704988081
informed,1.0,d2+,21-40,3571,0.25147017642117053,0.23415214490649944,0.27047825359002603
informed,1.0,d2+,41+,872,0.17889908256880735,0.14956462435911488,0.20943449048152293
