env,step,versus,d_pnl_net_A_0bps,d_pnl_net_A_0bps_lo,d_pnl_net_A_0bps_hi,d_pnl_net_A_0bps_p,d_pnl_net_B_0.5/2bps,d_pnl_net_B_0.5/2bps_lo,d_pnl_net_B_0.5/2bps_hi,d_pnl_net_B_0.5/2bps_p,d_pnl_net_C_1/4bps,d_pnl_net_C_1/4bps_lo,d_pnl_net_C_1/4bps_hi,d_pnl_net_C_1/4bps_p,d_sharpe_1s,d_sharpe_1s_lo,d_sharpe_1s_hi,d_sharpe_1s_p,d_inv_abs_mean,d_inv_abs_mean_lo,d_inv_abs_mean_hi,d_inv_abs_mean_p,d_n_fills,d_n_fills_lo,d_n_fills_hi,d_n_fills_p,d_adverse_cost_500ms,d_adverse_cost_500ms_lo,d_adverse_cost_500ms_hi,d_adverse_cost_500ms_p,d_eff_half_spread_ticks,d_eff_half_spread_ticks_lo,d_eff_half_spread_ticks_hi,d_eff_half_spread_ticks_p,d_fill_rate_orders,d_fill_rate_orders_lo,d_fill_rate_orders_hi,d_fill_rate_orders_p,d_n_cancels,d_n_cancels_lo,d_n_cancels_hi,d_n_cancels_p,d_quote_surv_250ms,d_quote_surv_250ms_lo,d_quote_surv_250ms_hi,d_quote_surv_250ms_p,d_max_drawdown,d_max_drawdown_lo,d_max_drawdown_hi,d_max_drawdown_p,d_pnl_vol_1s,d_pnl_vol_1s_lo,d_pnl_vol_1s_hi,d_pnl_vol_1s_p,primary_p_holm
noise,L1_inventory,L0_symmetric,-1.606875000000122,-3.373590624999864,0.2521687499999847,0.089,-3.094940775000122,-4.847074593437219,-1.274978184688081,0.0005,-4.583006550000123,-6.311162645000045,-2.786981335626071,0.00025,0.20576905597568476,0.1611312780090615,0.24975365996958282,0.00025,-19.62929754426042,-21.662514634494574,-17.55303576527698,0.00025,78.1,71.875,84.3,0.00025,0.043585776041934934,0.016199807520908487,0.06884805179322553,0.0015,-0.25807430553776717,-0.2673326844490281,-0.24863792140737254,0.00025,0.013161543967994238,0.009693483072285207,0.0165340958433109,0.00025,128.025,119.625,136.575625,0.00025,-0.03512602521243643,-0.03909888746761788,-0.03131616036725001,0.00025,-4.387249999999883,-5.509290624999529,-3.3742281250000543,0.00025,-0.3447545115898019,-0.38950311740923654,-0.30266153436861215,0.00025,0.006
noise,L2_obi,L1_inventory,0.5928749999999023,0.24749375000011872,0.9342562499999858,0.0005,0.824052099999902,0.5046782171872649,1.1455539887498436,0.00025,1.055229199999902,0.7405105443749606,1.3660615687499837,0.00025,0.0478255638094046,0.016908483655747392,0.07961577304937695,0.0025,-0.29888635065676755,-0.34370395488292405,-0.2525414049114792,0.00025,-14.6,-18.625,-10.775,0.00025,-0.020570687967039158,-0.04277139026812653,0.0014333627687347452,0.065,0.02713715822276499,0.020655679723307823,0.03352728333064017,0.00025,-0.00702791232727964,-0.01007552536789778,-0.00406120256823334,0.00025,12.375,3.549375,21.275,0.0075,0.02085880573505624,0.016064445202969922,0.02587403331238709,0.00025,0.07625000000003546,-0.07300624999992784,0.23602187500003205,0.342,0.005029471471997733,-0.002492633695004585,0.013391879242501091,0.2055,0.00375
noise,L3_adverse,L2_obi,-2.209749999999917,-2.8626593749997693,-1.611853124999808,0.00025,0.8809394125000832,0.23371020843739457,1.4750582106252499,0.0105,3.9716288250000837,3.3018666174998685,4.605236141250168,0.00025,-0.186414776714328,-0.22151923974748466,-0.1514765043676938,0.00025,2.3818960593946317,2.075618575099943,2.69324957167333,0.00025,-176.825,-185.275,-168.32437499999997,0.00025,0.16484678075769715,0.12012689828340879,0.21070148664981955,0.00025,0.39328960569583166,0.36258985638591235,0.4244081096391922,0.00025,-0.11937006954564797,-0.12400652653338476,-0.11442191348158816,0.00025,63.5,52.7,74.700625,0.00025,-0.002757191359577531,-0.007742038090014868,0.002353293410678434,0.2895,0.6738750000000472,0.29399375000009587,1.131887500000014,0.00025,0.03648563262845859,0.020045677388870413,0.0546745800563744,0.00025,0.10500000000000001
noise,L4_queue,L3_adverse,1.9993750000001866,1.4239812500002766,2.604762500000324,0.00025,1.5601858625001868,1.0095644878126135,2.14121460781285,0.00025,1.1209967250001867,0.561718906875154,1.7106876012502927,0.00025,0.07940952275501327,0.049662626330663734,0.10836654453326486,0.00025,-0.05476870359794397,-0.290139206167904,0.1715501856082241,0.635,29.275,24.325,34.500625,0.00025,-0.12528037258464952,-0.17195756500467585,-0.07513849112909017,0.00025,0.047552264280048995,0.02084843762115154,0.07209019329277265,0.0005,0.11288357269157241,0.10711172036532815,0.11872326678679679,0.00025,-472.375,-485.50125,-460.39937499999996,0.00025,0.12210924327596588,0.11503864618720118,0.1293653194681414,0.00025,-0.21212500000008064,-0.6633875000000818,0.1897531249999298,0.342,0.0018009566481479093,-0.015333239265131046,0.018169924267671313,0.7635,0.00375
noise,L5_latency(full),L4_queue,-0.2681250000001185,-0.6506312500003407,0.1097624999999916,0.1695,0.1836678249998816,-0.17211462937518018,0.545094006562384,0.299,0.6354606499998818,0.298978268750078,0.989246697499871,0.0005,-0.01594202809272186,-0.03580062148209825,0.0035711286109914634,0.1055,-0.09828669331810401,-0.23872073101085095,0.05061464877213019,0.181,-27.225,-31.45,-23.025,0.00025,0.05316071887922108,0.015703225927636646,0.09208762485744253,0.0055,0.10395877831067568,0.08811540280059442,0.1211567256293697,0.00025,-0.018322041632022876,-0.023360447485066143,-0.013572626001616251,0.00025,-20.45,-28.650624999999998,-11.85,0.00025,0.01060692691833894,0.003582925356606513,0.017244360510077873,0.005,-0.015250000000014197,-0.15437812499997874,0.1282562499999922,0.8255,-0.0006712433628757442,-0.00814008801636222,0.006897462414223702,0.8115,0.6855
noise,L1_inventory,AS_gamma0.01,0.13100000000011355,-0.28442187500012045,0.5632625000002297,0.5775,-0.33225474999988647,-0.7574798231251304,0.11990226125035659,0.1395,-0.7955094999998865,-1.239379821249716,-0.3180203531248584,0.002,0.03477282837438422,0.008452391656090592,0.06001569830458381,0.006,-0.6856082238720731,-0.7933416619074816,-0.5782074528840663,0.00025,19.55,14.724375,24.200625000000002,0.00025,-0.018440645788685366,-0.043127389509875706,0.005317059910646846,0.1345,-0.05187456390208892,-0.05961831350466357,-0.043947422695766895,0.00025,0.014248308295368833,0.011322556542526379,0.017173008669712136,0.00025,-17.825,-29.725,-6.024374999999998,0.003,-0.004294450097340847,-0.008746546209852917,0.0002128405587756157,0.0645,-0.309250000000025,-0.521015625000054,-0.09723125000001169,0.0015,-0.020934682696338674,-0.029804088973678672,-0.012590857907671,0.00025,
noise,L5_latency(full),AS_gamma0.01,0.24537500000016693,-0.2590124999997477,0.7458812500002562,0.3625,3.116590450000167,2.593353822500202,3.6250779850001806,0.00025,5.9878059000001675,5.392096425000138,6.565583078750042,0.00025,-0.040348889868247764,-0.07246081111653076,-0.007394413680059293,0.016,1.244346087949743,0.8815790976584807,1.6145456167904055,0.00025,-169.825,-180.175625,-159.874375,0.00025,0.05371579329654421,0.002304259322726959,0.1130215144484555,0.0385,0.5200632426072325,0.48572714227279895,0.5545572976397186,0.00025,-0.017588142518009255,-0.024157647114688013,-0.011062416766448296,0.00025,-434.775,-449.275,-420.45,0.00025,0.14652333447244267,0.13906816755245766,0.15379823005852103,0.00025,0.21349999999996286,-0.01702187500001255,0.442124999999901,0.0715,0.02171013468938981,0.011612144957505002,0.03135910182061577,0.0005,
informed,L1_inventory,L0_symmetric,3.1646249999997176,-0.3381812500003622,6.900387499999508,0.077,1.9822470124997178,-1.4427725631260016,5.73631053843741,0.265,0.7998690249997178,-2.5399242287522052,4.46518546937498,0.636,0.2202021138643572,0.18734489771761542,0.2556944689659981,0.00025,-21.314477441462024,-22.61091233580811,-20.04217268703598,0.00025,51.275,38.59875,64.525,0.00025,0.0803047906080965,0.03033559348136422,0.1280030050767937,0.001,-0.1699340245171785,-0.18252556192796612,-0.1573118098818211,0.00025,-0.00034808649099607946,-0.003166462139187864,0.0025716108904067993,0.8115,188.5,168.12375,210.600625,0.00025,-0.013763547292787717,-0.01749912865080095,-0.010025855925919999,0.00025,-12.047000000000377,-14.172893750000316,-10.051850000000243,0.00025,-0.701055844488255,-0.7529664992985187,-0.6460929894732236,0.00025,0.6855
informed,L2_obi,L1_inventory,1.1232499999998855,0.26482499999983117,2.0356624999999573,0.0155,1.3312195499998851,0.5072238790628314,2.205226684374987,0.003,1.539189099999885,0.6967997356250606,2.3999594356247846,0.001,0.035881475590855784,0.0005184950790085778,0.07290585492845032,0.0485,-0.06439177612792688,-0.148773201027984,0.01799007709880076,0.1155,-19.65,-30.550625,-8.525,0.0005,-0.042244055185933695,-0.089518393804177,0.005228879819904667,0.0795,0.044767273636378654,0.03111806774576132,0.058894992152984306,0.00025,-0.005664962911404593,-0.008288828987015743,-0.0029792024954076422,0.00025,32.2,12.374375,51.87812500000001,0.0025,0.0012766031851465208,-0.002711620544418025,0.00523392297633383,0.529,-0.13975000000000365,-0.4751750000000162,0.16302187499995335,0.3695,-0.002949807372706765,-0.016217963513372673,0.009917684932028882,0.64,0.033
informed,L3_adverse,L2_obi,-2.68,-4.027390625000106,-1.4209000000001184,0.00025,1.4683018750000003,0.09926859250012843,2.764016474374999,0.037,5.61660375,4.208526020625303,6.935378975624812,0.00025,-0.16008141943534332,-0.19664105973167134,-0.12329183388015909,0.00025,3.140691033695031,2.775672115933752,3.5105800256996003,0.00025,-234.7,-244.55,-224.799375,0.00025,0.32335513636342783,0.25374095292135407,0.39266177196402957,0.00025,0.7560629005798593,0.7172250915890245,0.795975968923661,0.00025,-0.08609157126736819,-0.08902186496690934,-0.08317322252015998,0.00025,27.475,7.574375000000001,47.350625,0.003,0.005688339180162192,0.0015779348801674498,0.009471617816885556,0.006,2.4992499999998725,1.8393593750000472,3.2798968749997965,0.00025,0.14465741394358972,0.12158444534457478,0.16890183900215158,0.00025,0.259
