env,arm,n,pnl_net_A_0bps_mean,pnl_net_A_0bps_ci_lo,pnl_net_A_0bps_ci_hi,pnl_net_A_0bps_std,pnl_net_B_0.5/2bps_mean,pnl_net_B_0.5/2bps_ci_lo,pnl_net_B_0.5/2bps_ci_hi,pnl_net_B_0.5/2bps_std,pnl_net_C_1/4bps_mean,pnl_net_C_1/4bps_ci_lo,pnl_net_C_1/4bps_ci_hi,pnl_net_C_1/4bps_std,sharpe_1s_mean,sharpe_1s_ci_lo,sharpe_1s_ci_hi,sharpe_1s_std,inv_abs_mean_mean,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_abs_mean_std,n_fills_mean,n_fills_ci_lo,n_fills_ci_hi,n_fills_std,adverse_cost_500ms_mean,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,adverse_cost_500ms_std,eff_half_spread_ticks_mean,eff_half_spread_ticks_ci_lo,eff_half_spread_ticks_ci_hi,eff_half_spread_ticks_std,fill_rate_orders_mean,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,fill_rate_orders_std,n_cancels_mean,n_cancels_ci_lo,n_cancels_ci_hi,n_cancels_std,quote_surv_250ms_mean,quote_surv_250ms_ci_lo,quote_surv_250ms_ci_hi,quote_surv_250ms_std,max_drawdown_mean,max_drawdown_ci_lo,max_drawdown_ci_hi,max_drawdown_std,pnl_vol_1s_mean,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,pnl_vol_1s_std
noise,L0_symmetric,40,6.796000000000086,4.982668750000061,8.52870312500059,5.815252954349762,1.7772783250000856,-0.04825347062461179,3.4927943456242785,5.846300218944632,-3.2414433499999147,-5.081377304375239,-1.4967166443757527,5.926608262909328,0.11178775724135596,0.0796996974001894,0.14489439975428875,0.10936854592755602,22.59717304397487,20.527340091376356,24.638778555111365,6.631479794228214,290.775,281.025,301.2,33.91806681416641,0.708695372719965,0.6674655530073171,0.7497646594361657,0.13444783818746736,1.4736759948538851,1.462996612833052,1.4850694234839181,0.0353010734436591,0.24975258911577428,0.2449908534385668,0.254583078365082,0.016067640638430112,844.975,829.224375,861.35125,52.47636219998095,0.38390091773545654,0.37765679970224225,0.38989888746343204,0.020100049030129026,5.502749999999841,4.4183593749998,6.6770593749997635,3.6765179927863127,0.4520023350838618,0.40410224705941256,0.5041364300143584,0.16409977725008842
noise,L1_inventory,40,5.189124999999963,4.6610281250001115,5.687646874999921,1.7302663525135031,-1.3176624500000365,-1.81795745187501,-0.8573206393751284,1.5792044468041941,-7.824449900000036,-8.371786840000139,-7.329857958124988,1.6949835560644213,0.3175568132170407,0.2745589087924,0.3588908298321918,0.13920171833536973,2.9678754997144488,2.922869074814392,3.0150374785836664,0.14934025748071889,368.875,358.2,379.62625,34.96165481913446,0.7522811487618999,0.7250043977864459,0.7813418694879593,0.09213835593662459,1.2156016893161177,1.207162822400342,1.2237352632946228,0.02701914151502181,0.2629141330837685,0.2588756322705541,0.2667169146457661,0.012768688644322151,973.0,957.823125,989.275,51.11174284262137,0.3487748925230202,0.34257481187419025,0.3551307431209178,0.020341740019248353,1.1154999999999586,0.877868749999959,1.3780093749999673,0.8263852395236604,0.10724782349405988,0.09567940314887814,0.12044294879098844,0.04091505607071934
noise,L2_obi,40,5.781999999999866,5.1567500000000015,6.354656249999814,1.9587033911133116,-0.4936103500001344,-1.1028569550000542,0.0521731584374111,1.883776927671188,-6.769220700000136,-7.423751575000126,-6.18376586687521,1.9981211665431517,0.3653823770264453,0.31256797427292765,0.41755469706622045,0.17365532932388605,2.668989149057681,2.625082452884066,2.7134812250142777,0.1463152029047404,354.275,344.049375,365.12625,34.068548921857904,0.7317104607948608,0.6947731062557168,0.7687396155158506,0.1216015482623796,1.2427388475388828,1.233303014367952,1.2524401695324738,0.030994156340925567,0.2558862207564888,0.25188452542628775,0.26002095838007705,0.013128480192679412,985.375,969.449375,1001.676875,52.12395851508259,0.3696336982580764,0.3625360670086659,0.37687172723412726,0.023203090325817962,1.191749999999994,0.8736218750000112,1.5653874999999917,1.1365267321187313,0.11227729496605761,0.09584535268367712,0.13118103533216843,0.05912924748815847
noise,L3_adverse,40,3.5722499999999484,2.786728124999817,4.275956250000114,2.377169980330677,0.3873290624999487,-0.3351136225000187,1.0277254546874706,2.2134993041376143,-2.7975918750000517,-3.4953264487502174,-2.1913397275000337,2.1134043201188293,0.1789676003121173,0.14230795701020008,0.21709348649982246,0.11991716420779805,5.050885208452312,4.735625356938892,5.370366219303255,1.0262725384104892,177.45,170.899375,184.475,21.920544163187564,0.8965572415525578,0.8334188178163604,0.9612556467466477,0.20293545070359,1.6360284532347145,1.6037837500134862,1.6694336170650563,0.10391433263195807,0.13651615121084087,0.13284406051398273,0.140607639257005,0.012738418329781127,1048.875,1031.5,1067.275625,59.57808386414485,0.3668765068984989,0.35892584325852506,0.37460939171442986,0.025880996248511163,1.8656250000000412,1.4024968750000402,2.421628125000009,1.6384252866310376,0.1487629275945162,0.12846372310656648,0.1725477256064964,0.07334715839306925
noise,L4_queue,40,5.571625000000135,4.800865625000119,6.300509375000265,2.4681934085324864,1.9475149250001351,1.2663310268750723,2.5926158934376935,2.2226238618092777,-1.676595149999865,-2.3019563524998854,-1.0824552387498942,2.0463306167230555,0.2583771230671306,0.21381110110205917,0.3050154493252642,0.15266273272470374,4.996116504854369,4.683193889206168,5.3187596373500865,1.0535606407976084,206.725,198.9,214.725,25.947666759391108,0.7712768689679084,0.7046892546282874,0.8397733948367959,0.2186773178493296,1.6835807175147637,1.6504867218659933,1.7151338809928025,0.10430743736502848,0.24939972390241327,0.24200401392151075,0.2571699707887722,0.025152562246687937,576.5,563.149375,590.800625,44.85932427443568,0.48898575017446466,0.4806462248625474,0.4980039591999861,0.028604233057524617,1.6534999999999607,1.2994999999999342,2.086424999999956,1.2786517338236372,0.15056388424266412,0.1325816700846149,0.1737094611870705,0.06771461571138648
noise,L5_latency(full),40,5.3035000000000165,4.6391656249999835,5.942771875000136,2.2003368623218496,2.131182750000017,1.530322678125053,2.688424728750031,1.9242396206935348,-1.041134499999983,-1.5865420875001044,-0.5404821187499822,1.7140331672889668,0.24243509497440874,0.20114292363874497,0.2860383509077075,0.13879912268047132,4.897829811536265,4.5728237435751,5.2449871501998855,1.105721680710519,179.5,172.399375,186.95,23.912232681095922,0.8244375878471295,0.753029249482535,0.9001401356729418,0.23765716134477854,1.787539495825439,1.7531329143115628,1.8222145920232002,0.11266666349588969,0.23107768227039038,0.22444384237198442,0.23792048332573026,0.022252407774036507,556.05,544.824375,568.10125,38.138714431159556,0.4995926770928037,0.4922578246645351,0.5074029384429751,0.025007912123014807,1.6382499999999465,1.294743750000001,2.036374999999927,1.1901904340191656,0.14989264087978835,0.13363857934212223,0.16973822982314138,0.059665195264771806
noise,full-inventory,40,7.84887499999972,5.914731249998971,9.7529749999998,6.26605348413413,5.008989274999719,3.080626745312233,6.903059803750011,6.226192655250191,2.1691035499997193,0.24981954312435095,4.05763363374972,6.227880325272037,0.08707440315813719,0.06488587871875547,0.11019765039784517,0.07538490718942954,27.555197030268413,25.703441961736154,29.403868503712165,6.039721981305002,169.425,160.3,178.700625,29.957138184498334,0.7746908098119661,0.7034879392543744,0.8502786833032563,0.24218148409918988,1.8554586498187178,1.82213661793724,1.8871826867302555,0.10512495853928235,0.2397223522043228,0.23193960090514265,0.24738040152099922,0.025704280337392707,497.5,481.049375,513.5275,54.448281741625095,0.5082476209913757,0.5010515193857952,0.5151061211101284,0.022817131927175383,6.692750000000312,5.835718750000445,7.541184375000418,2.8255995392856184,0.5398170606460266,0.49717981571030956,0.584504299111156,0.14779373615899696
noise,full-obi,40,5.201874999999985,4.502915625000002,5.86450937499993,2.25314642891414,1.9273969624999847,1.2833561228123689,2.5259189200000596,2.0438958879677305,-1.3470810750000155,-1.9309247481249583,-0.7983487000000045,1.8679834058487619,0.24916366394655487,0.20823528291171153,0.29058541530575677,0.13426600543676567,4.699328954882924,4.442713449457454,4.963790691033695,0.8504693840666716,186.025,179.899375,192.175,20.478240484312447,0.8174775726312553,0.7577830486192159,0.8829926444083697,0.20425663206802763,1.7511423092906697,1.7221682283931192,1.7797746421112257,0.09449146726298112,0.22071194656839968,0.21628924787737175,0.225052148002534,0.014337264315536126,610.45,597.1743749999999,624.000625,43.63658192447344,0.4647025213710513,0.45763955087064256,0.47166013129355944,0.023114138853898146,1.5808749999999983,1.2329843750000014,1.9727562500000586,1.2110436733851777,0.1417066040083094,0.1256267402839293,0.16234045400428546,0.05991843217990109
noise,full-adverse,40,6.9886249999999634,6.378737499999929,7.582753125000141,1.9845683466276514,2.1189880624999624,1.539873125312344,2.672901477187453,1.8493336358283772,-2.7506488750000377,-3.3238105437500933,-2.211498020624969,1.8086067985717214,0.3652591808539281,0.3177817838540364,0.4120004280648212,0.1535399614716634,3.4099229011993146,3.3225074957167338,3.4976549114791546,0.28760201530210455,283.05,275.55,290.725,24.733398990859012,0.6993784890712119,0.6582996752082273,0.7410546685799977,0.13678797931047196,1.5112301198322042,1.4953392828975216,1.5277066674069253,0.05346969554155156,0.3279575893439296,0.32409826725971225,0.33194328266922923,0.012723375808257479,538.15,525.874375,551.375,41.492384225517206,0.4973677588595608,0.48849108895642523,0.5065777110728777,0.029205855231587002,1.261250000000007,1.0229968750000102,1.5194718750000356,0.8066643489053384,0.12388702673783447,0.11229086114358577,0.13728328115999294,0.041308936601819814
noise,full-queue,40,3.2077500000000283,2.601231250000115,3.8064156249999708,2.0228939507292583,0.7989464750000279,0.26701652468740167,1.329965048124957,1.774078450317128,-1.6098570499999725,-2.0803013068749987,-1.1369338450000355,1.575749405417475,0.15843295610113156,0.12568212409823165,0.19284313182206364,0.11165395584582392,4.749428897772701,4.434273272415763,5.0848422330097085,1.076543750028176,132.725,126.25,139.05062500000003,21.33131500869086,1.0378167947960084,0.9589724652597823,1.1229809741624652,0.2713207234113063,1.8653797039518345,1.830190155420839,1.9002329766332404,0.11297324656186428,0.10584820413098558,0.10177166084579707,0.10973979192583422,0.013218680254841656,1049.875,1033.67375,1066.000625,53.65998724160518,0.3675377973061448,0.3608099308140261,0.37405844173029945,0.021842359350436567,1.639874999999974,1.3336218749999138,1.954418750000029,1.0240038858975715,0.13926945209340796,0.12485384440904845,0.15526924499788336,0.04952136247509968
