gamma,quote_size,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi
0.01,1,12,2.399583333333274,2.740000000000393,1.0952115991760514,1.8026249999999895,2.961343750000002,8.128333333333332,7.61,1.1213999637898509,7.544010416666667,8.709197916666668,-5.728750000000058,-5.4950000000000445,1.2846030957601324,-6.437979166666762,-5.060781250000209,0.2786359534854426,0.31093561075945375,0.14220069329955642,0.20203055679929,0.35463257824779704,0.7554166666666985,0.44000000000001904,0.4499366537905678,0.5099791666666821,1.0121250000000372,0.24729781847812451,0.2453204391817258,0.014548896947954188,0.2397356081522293,0.25524315599489844,1.445619378210009,1.3549480767916924,0.3443994636616683,1.25951071065133,1.6364502287334646,388.4166666666667,379.0,45.12902378601589,364.1666666666667,413.0875,1.2072111207645526,1.1624674196351,0.14407317495822206,1.1303359397625252,1.2929572111207646,6.25,6.0,1.2880570286640687,5.666666666666667,7.002083333333331,0.0791119794252223,0.07859942530997108,0.011737006693754815,0.07267825526287035,0.0854188025191969,0.14621950450782192,0.1472883335508805,0.009772223721350013,0.1406745692126326,0.1516749725278063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2,12,4.333333333333111,4.417499999999933,0.8313005509805471,3.865822916666362,4.740145833333038,13.995833333333335,13.787500000000001,1.5937275250940557,13.197843749999999,14.938260416666665,-9.662500000000223,-9.577499999999793,1.6259689418927794,-10.572208333333421,-8.776968750000318,0.3578615350259449,0.3682893662411001,0.08952171607374172,0.3082832657967757,0.4001883133747671,0.8658333333333795,0.8000000000001037,0.4042773200603436,0.6653750000000297,1.1012708333334156,0.24148092621452874,0.24185020542870614,0.01387873764698063,0.23438433811562145,0.2490884186290421,1.297080879374031,1.2647839341583378,0.16501309836589179,1.2120816790912756,1.382881140059971,387.0833333333333,382.0,39.66096852375676,366.6645833333333,409.8333333333333,1.6284390385172312,1.650304083405734,0.11887453921352914,1.5647064147118448,1.6895507529684335,9.0,8.5,1.7580981459830651,8.083333333333334,10.0,0.10792247045628485,0.10831104317824455,0.015566830967442347,0.09990455064274018,0.11740262008609956,0.14698298917533845,0.14813267081172976,0.008271165033160343,0.14220062540675832,0.1512922081369241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,5,12,2.367916666666678,3.2324999999999022,3.599903697154772,0.48422916666713933,4.3075937499997865,24.463333333333335,24.73,3.2857580648316245,22.726864583333338,26.238,-22.095416666666654,-22.45500000000017,3.9849543503335534,-24.016312499999554,-19.992177083333438,0.12741399030919592,0.1417855933253836,0.1511886132138349,0.05018496382943561,0.2139053060509447,2.730833333333456,1.8474999999998545,2.0419429621333993,1.639916666666784,3.912177083333435,0.22909170732225423,0.22963536163459397,0.01454296760920612,0.22171380693715306,0.23680374645031904,1.540635055104893,1.4711096920545081,0.31687514857481075,1.3846632706255957,1.7122617007620635,395.3333333333333,400.0,54.128354749417504,366.99791666666664,425.175,2.467998841587026,2.5603822762814943,0.26556093461543084,2.314481972198089,2.597478641760788,16.333333333333332,16.5,2.2696949467968492,14.997916666666667,17.416666666666668,0.23275050490435392,0.20431763597402763,0.07679547185938558,0.19385493189178252,0.27799274119724365,0.1481180138582485,0.14596300942930646,0.01096214701539089,0.1422681627979655,0.1538113254149676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,10,12,-6.2200000000001445,-1.9250000000003382,11.327231267252342,-12.541375000000272,-0.1578333333331255,34.63375,34.099999999999994,4.5187564283872295,32.3438125,36.998385416666665,-40.85375000000014,-34.747500000001736,14.758361439752218,-48.96602083333341,-33.16157291666673,-0.025285973223921853,-0.03763231143459875,0.16918233335852878,-0.10489772768795691,0.06982927229211987,10.896666666666613,7.35249999999931,9.530261689942716,6.0270624999999045,16.118270833333494,0.23254961304407196,0.23351469607508255,0.012784367110167642,0.2255365394452366,0.2391844721208824,1.7858663084934827,1.6127556053846548,0.46618146327861787,1.5374132128564633,2.0287994625757215,435.6666666666667,429.5,59.348482914413445,407.07916666666665,468.8666666666666,3.2353026353895165,3.1429192006950477,0.4295507699683944,3.0209582247321167,3.4821350999131186,25.166666666666668,24.0,4.108380201343089,23.164583333333333,27.666666666666668,0.5502504962043546,0.4286615431687778,0.33559292326688783,0.37935281709604524,0.7234771886880217,0.1481958514579273,0.1527961208455157,0.012071253119809918,0.1414212671783332,0.15434906162135603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,20,12,-19.035416666666816,-11.947500000000247,22.926678530631854,-31.716822916665922,-7.542062500000663,40.71291666666667,39.2025,6.825906019893934,37.29561458333333,44.41651041666666,-59.74833333333348,-48.935000000001665,28.24743611320609,-75.10187499999945,-45.637604166666776,-0.08915898882411283,-0.09751638425925344,0.10729217978303589,-0.1393929460640641,-0.02997037913587138,23.56999999999991,17.60999999999956,21.747475820091083,12.575374999999735,35.7865312499995,0.22256673471004806,0.22116065109695682,0.011973996623279701,0.2161874849478069,0.22887989070164652,2.2158950580712546,1.7141884980514486,1.0489191280205228,1.7065345159266796,2.8075321145313725,436.5,425.0,50.6332625131669,411.8270833333333,464.5083333333333,4.138937156096148,4.2280625543006085,0.4373677424526655,3.919521068635968,4.3751954821894,34.083333333333336,33.5,7.064100448855123,30.49791666666667,37.583333333333336,1.1732178062794005,0.7271230840644872,0.9647777407478649,0.683703950920621,1.7324788604795864,0.15080715395083585,0.1527608910193467,0.010615343344620607,0.14501833995892408,0.15604020127441648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1,12,2.2200000000000464,2.180000000000028,0.5122499389946626,1.9512291666666832,2.493000000000071,7.428333333333335,7.032500000000001,1.0067145784303724,6.918708333333334,7.964635416666667,-5.208333333333287,-5.1625000000000245,0.7342786606698503,-5.606156249999895,-4.8348854166666815,0.33026545984242756,0.33378133909126917,0.09125464775501965,0.282101544965339,0.3778099594668941,0.4216666666666728,0.37500000000004974,0.18042038452323855,0.3341666666666677,0.5296250000000097,0.22737258106471334,0.22098333059443676,0.013006493372486605,0.22068801586685557,0.23418612421355114,1.4166252139037108,1.4326590851886598,0.1594619616784527,1.3350435877280706,1.501918165747106,353.1666666666667,333.0,39.970064555940624,333.0708333333333,375.0020833333333,0.7788879235447436,0.7258905299739358,0.14611392288588138,0.7090501013611352,0.8593306545033303,5.0,5.0,1.2792042981336627,4.333333333333333,5.666666666666667,0.0600312613346177,0.05947224771712867,0.010025877438189598,0.05471765734607519,0.06543595968273572,0.14767056444408155,0.14887643465134823,0.009267859681438553,0.14247513584329358,0.15258146823186342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,2,12,2.268333333333478,2.602500000000333,1.5243766734058206,1.3478437500003817,3.014729166666781,13.537916666666666,13.5625,1.356706336438853,12.798281249999999,14.299489583333337,-11.26958333333319,-10.772500000000244,2.6524383793144177,-12.793385416666505,-9.948593749999853,0.2079515275319098,0.17201472412851188,0.167588015907719,0.1198269282412789,0.29888831753138634,1.2591666666666324,1.1699999999999733,0.8283879013792118,0.8395833333333143,1.7246041666666296,0.22960388559242786,0.23094189123230663,0.008418913551195329,0.22494473090993505,0.23415262916460297,1.5742763247439227,1.5324313912454932,0.29531467260719785,1.4326896845851418,1.7382072488096094,384.25,380.5,36.981875167561356,364.3333333333333,405.4166666666667,1.0156385751520418,0.9956559513466551,0.0982191749738628,0.9656820156385751,1.0651136692730958,7.833333333333333,7.5,1.6422453217986943,7.0,8.75,0.12015128943289483,0.10977494235469101,0.04020306736941464,0.09860059565920667,0.14181923157236004,0.14070048543665004,0.14148902812370034,0.008818127546067549,0.13570043960650022,0.14553033803031096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,5,12,-3.8475000000001125,-1.814999999999813,5.906082958195777,-7.079010416666883,-0.8338645833335621,23.78708333333333,23.3475,2.8356115729105493,22.288281250000004,25.3275625,-27.63458333333345,-24.267500000000283,7.5502391468245635,-31.592552083333455,-23.680281249999897,-0.06943557387161124,-0.07621239548090743,0.12278682923035818,-0.13367167376655908,-7.745629231794279e-05,6.113750000000107,4.122500000000144,5.688323017375206,3.2321145833333547,9.269218750000208,0.23041374330407371,0.2311079407359667,0.00969239187613272,0.22533008701291213,0.2353747911628218,1.8332005770764281,1.6926428215400442,0.3791563761993695,1.6299915721702158,2.051911920417946,421.4166666666667,422.0,42.726313657837125,398.33124999999995,443.4270833333333,1.6592817839559801,1.6542137271937447,0.20534236431119618,1.5491529105125976,1.7731700695047785,13.583333333333334,14.0,2.0207259421636903,12.416666666666666,14.666666666666666,0.32469780267464915,0.2008412673027535,0.31104146684929274,0.19332178775251277,0.5109692253616527,0.1388505771225421,0.13810097688403533,0.009508792919100473,0.13399367132295678,0.1440218805052729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,10,12,-14.747083333333284,-13.377500000000978,9.273299760439567,-19.56045833333343,-9.984875000000027,32.28791666666667,31.26,3.875822762115592,30.498583333333332,34.61146874999999,-47.03499999999995,-45.58500000000098,11.182522280123392,-53.474104166666415,-41.59530208333307,-0.1842720454413264,-0.19159278240211114,0.10545049772502642,-0.24097649959854725,-0.12940637359913582,16.456666666666674,14.992499999999929,8.363819085619262,12.066562500000021,20.696552083333188,0.2247856719727838,0.2204831591753151,0.01604639750202681,0.21680665104619204,0.23344189571750484,2.07606865712404,2.058082091237579,0.38351279638228475,1.8674070703269239,2.267235786458138,455.3333333333333,434.5,63.277646970005186,424.75,491.1958333333333,2.311395887633941,2.298436142484796,0.36068523427153454,2.137691862148856,2.5296752823631627,22.666666666666668,22.0,5.836146507808561,19.75,26.085416666666664,0.6841813941453835,0.6924617049982211,0.31025660597734567,0.517178477256289,0.8520251981683529,0.1375031487269854,0.14015181491258338,0.009723412971839674,0.13203039110255113,0.14260668417661074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,20,12,-19.39291666666681,-18.16500000000002,17.56289987682382,-28.84096875000022,-10.76086458333345,36.750416666666666,34.754999999999995,5.947857314091175,34.00172916666667,40.15851041666667,-56.143333333333466,-52.20500000000002,20.688083233562157,-67.21884374999999,-45.89632291666641,-0.14414527736461677,-0.15497301337366137,0.05715308642014787,-0.1737048640385896,-0.11083652225966946,21.334166666666686,19.039999999999495,16.80663949338516,13.207093750000059,30.44751041666682,0.21748426036937865,0.21547699446925858,0.011227311271440886,0.21170339308397654,0.22351275014012667,2.113499858508764,1.8717463674964838,0.9040160243675597,1.6781355945780088,2.589123569161338,455.5833333333333,455.5,45.595969385927354,432.07916666666665,481.75,3.355849985519838,3.335794960903562,0.22519972939949967,3.2386964233999422,3.4782399362872862,30.416666666666668,29.5,6.374071530724132,27.166666666666668,34.083333333333336,1.0532151773688005,0.7927192258332867,0.9275521551219316,0.630484383082749,1.596363517201696,0.1455727696941619,0.14354926941013674,0.009356165956338007,0.14061940500544906,0.15073248409271392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
