env,group,impact,bin,q_lo,q_hi,n,mean_q,mean_impact,se
noise,noise,I_1s,8,32,50,828,37.92270531400966,1.1998792270531402,0.08965852018966206
noise,noise,I_1s,9,50,10000,194,63.396907216494846,1.652061855670103,0.21660307648444566
noise,noise,I_5s,0,1,2,12975,1.0,0.019421965317919076,0.03662756692187516
noise,noise,I_5s,1,2,3,14223,2.0,0.05680939323630739,0.035185572700446054
noise,noise,I_5s,2,3,4,13230,3.0,0.06073318216175359,0.03581952691090759
noise,noise,I_5s,3,4,6,21007,4.448707573665921,0.09361165325843766,0.029488187858752235
noise,noise,I_5s,4,6,9,18615,6.857587966693527,0.2521085146387322,0.03108772400320285
noise,noise,I_5s,5,9,14,13699,10.63654281334404,0.33090006569822616,0.03715434963510595
noise,noise,I_5s,6,14,21,6349,16.312647661048985,0.5063789573161128,0.053309140678335545
noise,noise,I_5s,7,21,32,2783,24.647862019403522,0.7019403521379806,0.08652113134190369
noise,noise,I_5s,8,32,50,820,37.93658536585366,1.4414634146341463,0.16776468181668688
noise,noise,I_5s,9,50,10000,188,63.25,1.7819148936170213,0.3409885018651027
noise,noise,slippage,0,1,2,13184,1.0,0.7556507888349514,0.0042685684989291605
noise,noise,slippage,1,2,3,14500,2.0,0.7687586206896552,0.004042666415713667
noise,noise,slippage,2,3,4,13468,3.0,0.7984357984358008,0.0044024362408621
noise,noise,slippage,3,4,6,21349,4.448405077521195,0.8359103470888581,0.0037813979277610977
noise,noise,slippage,4,6,9,18929,6.85841829996302,0.9052417681109066,0.004334023680770837
noise,noise,slippage,5,9,14,13934,10.637218314913161,1.0099695043645125,0.0061176341460953175
noise,noise,slippage,6,14,21,6434,16.313179981349084,1.1459865725244112,0.009281095318197376
noise,noise,slippage,7,21,32,2837,24.655974621078606,1.3835049405503033,0.01723606591917754
noise,noise,slippage,8,32,50,829,37.91556091676719,1.7887025947568054,0.045915176606961344
noise,noise,slippage,9,50,10000,196,63.454081632653065,2.322796175563827,0.08935808184040323
informed,all,I_0,0,1,2,20035,1.0,0.04304966308959321,0.0013258548794482128
informed,all,I_0,1,2,3,21725,2.0,0.09219792865362486,0.0019133323390391678
informed,all,I_0,2,3,4,20459,3.0,0.14345764700131972,0.002614849849360968
informed,all,I_0,3,4,6,31964,4.449443123513953,0.21497622325115756,0.002523077026505266
informed,all,I_0,4,6,9,28483,6.85679177052979,0.3326896745427097,0.0033369730115688874
informed,all,I_0,5,9,14,20689,10.630721639518585,0.5042534680264875,0.00491511755587192
informed,all,I_0,6,14,21,9654,16.30381189144396,0.7599958566397348,0.0093480823683848
informed,all,I_0,7,21,32,4078,24.628984796468856,1.0294261893084846,0.017001546703479864
informed,all,I_0,8,32,50,1149,37.798085291557875,1.5687554395126198,0.042481774838609904
informed,all,I_0,9,50,10000,240,61.69583333333333,2.1083333333333334,0.13038293848563218
informed,all,I_0.1s,0,1,2,20027,1.0,0.14358116542667398,0.009442922622802797
informed,all,I_0.1s,1,2,3,21719,2.0,0.1876928035360744,0.009224124674877267
informed,all,I_0.1s,2,3,4,20451,3.0,0.24084396851009732,0.009856909814413322
informed,all,I_0.1s,3,4,6,31953,4.449503958939693,0.3020530153663193,0.00814690471874735
informed,all,I_0.1s,4,6,9,28474,6.856781625342418,0.4164500948233476,0.008737075586961225
informed,all,I_0.1s,5,9,14,20683,10.630856258763236,0.5706618962432916,0.011093090759243826
informed,all,I_0.1s,6,14,21,9653,16.30342898580752,0.8483891018336268,0.018198610928587954
informed,all,I_0.1s,7,21,32,4076,24.629048086359177,1.0842737978410206,0.03049737203246993
informed,all,I_0.1s,8,32,50,1149,37.798085291557875,1.7201914708442123,0.07183079057082449
informed,all,I_0.1s,9,50,10000,240,61.69583333333333,1.8375,0.18704400570305496
informed,all,I_1s,0,1,2,19971,1.0,0.6773822041960843,0.02500234909321818
informed,all,I_1s,1,2,3,21631,2.0,0.6187878507697286,0.02380016421516534
informed,all,I_1s,2,3,4,20404,3.0,0.7406390903744364,0.02487284981475628
informed,all,I_1s,3,4,6,31859,4.449731629994664,0.7662042123104931,0.02027493332819657
informed,all,I_1s,4,6,9,28387,6.85634269207736,0.8795047028569416,0.021638699407980598
informed,all,I_1s,5,9,14,20624,10.631448797517455,0.9306875484871994,0.02525713843648218
informed,all,I_1s,6,14,21,9632,16.302740863787374,1.1247923588039868,0.03849350805609371
informed,all,I_1s,7,21,32,4064,24.62869094488189,1.2730068897637796,0.060504407496546043
informed,all,I_1s,8,32,50,1148,37.80313588850174,1.6193379790940767,0.11453014772219472
informed,all,I_1s,9,50,10000,238,61.634453781512605,1.6701680672268908,0.2860804065886356
informed,all,I_5s,0,1,2,19704,1.0,1.429303694681283,0.05279238428608315
informed,all,I_5s,1,2,3,21348,2.0,1.2799559677721566,0.050170626115198
informed,all,I_5s,2,3,4,20106,3.0,1.4971401571670149,0.05189482625237847
informed,all,I_5s,3,4,6,31450,4.44972972972973,1.401033386327504,0.04205310991397993
informed,all,I_5s,4,6,9,28029,6.855863569874059,1.518498697777302,0.04448646927156046
informed,all,I_5s,5,9,14,20350,10.63090909090909,1.4136117936117936,0.05203428015042764
informed,all,I_5s,6,14,21,9514,16.30302711793147,1.6169854950599116,0.07669690101259813
informed,all,I_5s,7,21,32,4002,24.61794102948526,1.525112443778111,0.11699803812202529
informed,all,I_5s,8,32,50,1140,37.79912280701755,1.731140350877193,0.2203995932388816
informed,all,I_5s,9,50,10000,233,61.63090128755365,1.5171673819742488,0.4658665598004582
informed,all,slippage,0,1,2,20035,1.0,1.135687546793112,0.006456387037845518
informed,all,slippage,1,2,3,21725,2.0,1.1620713463751438,0.006287651073801877
informed,all,slippage,2,3,4,20459,3.0,1.2129543640125828,0.006735381271651784
informed,all,slippage,3,4,6,31964,4.449443123513953,1.2884495056939085,0.005790505692384531
informed,all,slippage,4,6,9,28483,6.85679177052979,1.406328210812464,0.006627197059980871
informed,all,slippage,5,9,14,20689,10.630721639518585,1.582714633930255,0.008605456793280387
informed,all,slippage,6,14,21,9654,16.30381189144396,1.8365383789128924,0.014379666923693508
informed,all,slippage,7,21,32,4078,24.628984796468856,2.1323511683185337,0.02432894385901545
informed,all,slippage,8,32,50,1149,37.798085291557875,2.705034376405736,0.053073974436823323
informed,all,slippage,9,50,10000,240,61.69583333333333,3.37509734382971,0.1421138787515138
informed,noise,I_0,0,1,2,13169,1.0,0.041726782595489405,0.0016415530138012798
informed,noise,I_0,1,2,3,14407,2.0,0.08808218227250642,0.0022558197783477123
informed,noise,I_0,2,3,4,13396,3.0,0.13806360107494775,0.0031793013577606135
informed,noise,I_0,3,4,6,21173,4.448542955651065,0.20323052944788172,0.002898011048830905
informed,noise,I_0,4,6,9,18749,6.860099205290949,0.3235639234092485,0.004014534946911338
informed,noise,I_0,5,9,14,13718,10.635515381250912,0.48658696603003354,0.00591904706638255
informed,noise,I_0,6,14,21,6337,16.304244910841092,0.7282625848193152,0.010952927861234146
informed,noise,I_0,7,21,32,2726,24.651504035216433,1.016507703595011,0.02043704095536709
informed,noise,I_0,8,32,50,782,37.79923273657289,1.473145780051151,0.05095769237268905
informed,noise,I_0,9,50,10000,170,61.811764705882354,1.9147058823529413,0.1292797769831797
informed,noise,I_0.1s,0,1,2,13162,1.0,0.03855796991338702,0.011626776834626007
informed,noise,I_0.1s,1,2,3,14404,2.0,0.07810330463760067,0.011187393010543745
informed,noise,I_0.1s,2,3,4,13391,3.0,0.13206631319542977,0.01212741746672594
informed,noise,I_0.1s,3,4,6,21165,4.448570753602646,0.1781951334750768,0.009799188478238534
informed,noise,I_0.1s,4,6,9,18745,6.860122699386503,0.30632168578287544,0.0105180095743428
informed,noise,I_0.1s,5,9,14,13712,10.635720536756127,0.4575918903150525,0.01324930029856058
informed,noise,I_0.1s,6,14,21,6336,16.303661616161616,0.7215119949494949,0.021755618603358586
informed,noise,I_0.1s,7,21,32,2724,24.651615271659324,0.9537444933920705,0.037033587189539745
informed,noise,I_0.1s,8,32,50,782,37.79923273657289,1.5569053708439897,0.0828069812617924
informed,noise,I_0.1s,9,50,10000,170,61.811764705882354,1.5529411764705883,0.1884670934364022
informed,noise,I_1s,0,1,2,13126,1.0,0.03477830260551577,0.030545576316285256
informed,noise,I_1s,1,2,3,14344,2.0,-0.010596765197992191,0.02907647813391894
informed,noise,I_1s,2,3,4,13356,3.0,0.08621593291404613,0.03055269906306242
informed,noise,I_1s,3,4,6,21091,4.4489592717272775,0.11879474657436821,0.024672434814073267
informed,noise,I_1s,4,6,9,18680,6.859421841541756,0.22789079229122056,0.026316279924346802
informed,noise,I_1s,5,9,14,13672,10.63662960795787,0.3186439438267993,0.031010353842546017
informed,noise,I_1s,6,14,21,6320,16.302056962025315,0.4617879746835443,0.04673564830920934
informed,noise,I_1s,7,21,32,2716,24.652430044182623,0.6294182621502209,0.07347160896592259
informed,noise,I_1s,8,32,50,781,37.80665813060179,0.8649167733674776,0.13299012959921974
informed,noise,I_1s,9,50,10000,168,61.726190476190474,0.6696428571428571,0.3051090365493595
informed,noise,I_5s,0,1,2,12961,1.0,-0.0010801635676259548,0.06499943716512932
informed,noise,I_5s,1,2,3,14134,2.0,-0.11486486486486487,0.06122542768397348
informed,noise,I_5s,2,3,4,13160,3.0,0.027051671732522795,0.06371544839545494
informed,noise,I_5s,3,4,6,20833,4.448807180914895,-0.018192291076657225,0.05130744600986255
informed,noise,I_5s,4,6,9,18437,6.8593046591094,0.13600368823561318,0.05507182071383338
informed,noise,I_5s,5,9,14,13483,10.634502707112661,0.002521693985018171,0.06368306002563762
informed,noise,I_5s,6,14,21,6251,16.30299152135658,0.25347944328907374,0.09353566904572161
informed,noise,I_5s,7,21,32,2672,24.64258982035928,0.1437125748502994,0.14297059385853514
informed,noise,I_5s,8,32,50,775,37.81935483870968,0.30516129032258066,0.2629729315225641
informed,noise,I_5s,9,50,10000,163,61.7239263803681,0.2361963190184049,0.5574610168123435
informed,noise,slippage,0,1,2,13169,1.0,1.1404814336699824,0.008057837527444245
informed,noise,slippage,1,2,3,14407,2.0,1.1523564933712778,0.007691156153964416
informed,noise,slippage,2,3,4,13396,3.0,1.20356822932219,0.008195020951834884
informed,noise,slippage,3,4,6,21173,4.448542955651065,1.2741156189486633,0.006984620332383895
informed,noise,slippage,4,6,9,18749,6.860099205290949,1.3949328091148965,0.008113505623933455
informed,noise,slippage,5,9,14,13718,10.635515381250912,1.5583097650272162,0.010332534372651865
informed,noise,slippage,6,14,21,6337,16.304244910841092,1.7972655261590262,0.01719285404852746
informed,noise,slippage,7,21,32,2726,24.651504035216433,2.100938982611434,0.029397673909299246
informed,noise,slippage,8,32,50,782,37.79923273657289,2.6254988312407,0.06429857787719281
informed,noise,slippage,9,50,10000,170,61.811764705882354,3.205517407574895,0.13304449605378507
informed,informed,I_0,0,1,2,6866,1.0,0.04558695018933877,0.0022479963263842277
informed,informed,I_0,1,2,3,7318,2.0,0.10030062858704564,0.003539401277501068
informed,informed,I_0,2,3,4,7063,3.0,0.15368823446127708,0.004581079587058354
informed,informed,I_0,3,4,6,10791,4.451209341117598,0.23802242609582058,0.004842287843793038
informed,informed,I_0,4,6,9,9734,6.850421204027121,0.3502671049928087,0.0059585086627673796
informed,informed,I_0,5,9,14,6971,10.621288193946349,0.539018792138861,0.00876685137734951
informed,informed,I_0,6,14,21,3317,16.302984624660837,0.8206210431112451,0.017340234660326626
informed,informed,I_0,7,21,32,1352,24.583579881656803,1.055473372781065,0.03051283831602352
informed,informed,I_0,8,32,50,367,37.79564032697548,1.7724795640326976,0.07572049927120146
