env,arm,n,pnl_net_A_0bps_mean,pnl_net_A_0bps_ci_lo,pnl_net_A_0bps_ci_hi,pnl_net_A_0bps_std,pnl_net_B_0.5/2bps_mean,pnl_net_B_0.5/2bps_ci_lo,pnl_net_B_0.5/2bps_ci_hi,pnl_net_B_0.5/2bps_std,pnl_net_C_1/4bps_mean,pnl_net_C_1/4bps_ci_lo,pnl_net_C_1/4bps_ci_hi,pnl_net_C_1/4bps_std,sharpe_1s_mean,sharpe_1s_ci_lo,sharpe_1s_ci_hi,sharpe_1s_std,inv_abs_mean_mean,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_abs_mean_std,n_fills_mean,n_fills_ci_lo,n_fills_ci_hi,n_fills_std,adverse_cost_500ms_mean,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,adverse_cost_500ms_std,eff_half_spread_ticks_mean,eff_half_spread_ticks_ci_lo,eff_half_spread_ticks_ci_hi,eff_half_spread_ticks_std,fill_rate_orders_mean,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,fill_rate_orders_std,n_cancels_mean,n_cancels_ci_lo,n_cancels_ci_hi,n_cancels_std,quote_surv_250ms_mean,quote_surv_250ms_ci_lo,quote_surv_250ms_ci_hi,quote_surv_250ms_std,max_drawdown_mean,max_drawdown_ci_lo,max_drawdown_ci_hi,max_drawdown_std,pnl_vol_1s_mean,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,pnl_vol_1s_std
noise,L0_symmetric,40,6.132874999999542,4.215687499998837,8.10912187499967,6.349323695814354,1.1442721124995419,-0.7502916481255822,3.0827706462494344,6.227750848699673,-3.8443307750004587,-5.718622016250219,-1.9402466368751614,6.149261050414591,0.11593204442923608,0.07793230420290734,0.1553134076356242,0.12666135591813985,22.98068246716162,20.66155839520274,25.21797437178755,7.345757499292014,288.35,279.2,298.025625,30.738391596645357,0.6462594735685837,0.6166490465756231,0.6787705311459604,0.10146749991088073,1.4766777205193264,1.466395369976506,1.4871294844084768,0.033870408692384925,0.250213239242861,0.2451657200533905,0.2549382438848604,0.015810124770557016,847.875,832.35,862.776875,51.11835813542468,0.3808263318492357,0.3749657476293915,0.3868563879757745,0.020064866731335937,6.172375000000298,5.064337500000317,7.336659375000335,3.68504183386141,0.42957027972408995,0.3846299788835278,0.47409174506343293,0.14520725970516943
noise,L1_inventory,40,5.654624999999834,5.152618749999832,6.1096406249998685,1.5649716911915663,-0.16949537500016662,-0.713189335937772,0.30369857406240147,1.6131978342369102,-5.993615750000167,-6.6001081075000885,-5.450334372500098,1.8488640120687094,0.3551031510567536,0.3102920286868816,0.39668085405422776,0.1379983843527028,3.03390919474586,2.983693603655054,3.0857256567675617,0.17031557459512608,328.3,317.975,338.2,32.557011139829385,0.7608695894771185,0.7205655402107272,0.802541746754639,0.1323314751783108,1.3074009889119256,1.2967931343899801,1.3186817333362588,0.03541705081957457,0.24011807193350174,0.23592745960354977,0.2441146831288148,0.013201363325010087,985.125,966.6743749999999,1002.275,58.73198032435577,0.3450768050614849,0.3389983430306209,0.35124554446749034,0.020042136534327893,0.9027500000000138,0.747243750000025,1.080749999999996,0.5473548865177603,0.10054116352535444,0.09157785201522856,0.11165986234546332,0.03302031970454827
noise,L2_obi,40,6.541624999999888,6.059331249999894,6.987378124999876,1.535888779485381,0.5887029624998869,0.12403373874993827,0.9928788334372854,1.4196965187248383,-5.364219075000113,-5.870555338125143,-4.906137063125175,1.5782165541408613,0.41968615789193714,0.3762795422682352,0.4603485904079047,0.13871176020082482,2.690933752141633,2.6399757281553393,2.742819103369503,0.16932143913954095,334.475,323.949375,344.825625,33.88516618196652,0.7079499287846751,0.6691269622557223,0.7496075854057587,0.13099483744860466,1.287423165748661,1.2760228402503526,1.2982219361389782,0.036690878417914734,0.2399288923547916,0.23569985933301696,0.24417460374229968,0.01367488808328348,1014.375,998.34875,1030.575,53.30978045638241,0.3591692638751092,0.3527312622784076,0.3657429403665399,0.02146037238744119,0.8247500000000286,0.67461875000002,0.9872499999999967,0.5067087743973826,0.09645185392209378,0.08813390307944716,0.10631952782646566,0.029648540795776612
noise,L3_adverse,40,4.366000000000062,3.5822187500001323,5.055378125000088,2.502350484787879,1.256020900000062,0.5302513628124962,1.876179196875138,2.258341094445089,-1.8539581999999384,-2.539606120625033,-1.2799201868749635,2.099994993987065,0.23634479414101445,0.19592626079716807,0.27460732458469544,0.13322244300412917,4.7646916047972585,4.383048258138207,5.170562535693889,1.2998652746361183,172.9,164.373125,181.175,27.38125879745731,0.8889359332819222,0.8002344948162358,0.9936580492365564,0.32175509931371066,1.675441687415431,1.637669455394623,1.7150232615014391,0.1264073623683116,0.1320378990805547,0.12659099353536427,0.13721660994227178,0.017538012114163986,1063.4,1045.74875,1080.201875,56.16769762425959,0.3580520875439578,0.35165402002661045,0.36466932295941135,0.02164096435063737,1.3593750000000475,1.0099968750000372,1.8108906250000663,1.3422728464179077,0.12529575046806601,0.11335180037263534,0.13925589010000072,0.04310743234000298
noise,L4_queue,40,6.211000000000027,5.332337499999993,6.995393750000022,2.7418195811148354,2.486480587500027,1.6862872306249501,3.1732352874999985,2.4439342438399128,-1.2380388249999728,-1.9610720293750568,-0.6124803875001111,2.199165224697742,0.3237895828479066,0.27680922898490873,0.3678950247293486,0.14981955516946738,4.662549971444889,4.3946294974300395,4.976233580810965,0.9427261701026648,212.725,204.649375,220.625625,25.900190574489443,0.7185071476129913,0.6443162735871457,0.8038453341633038,0.2673187291758978,1.6585640286740024,1.6290100733046813,1.689995258397879,0.10101074329229566,0.2468526512228136,0.23961498373912413,0.25395494010396363,0.023426876828864757,612.275,600.675,623.475,37.37542556142252,0.4875637054284138,0.47954496379542966,0.49584022027356717,0.02642838911152884,1.2307500000000111,0.8934843749999825,1.686400000000027,1.3101421678581733,0.1257848257603324,0.11366034586281558,0.14164265422663147,0.04649786389675457
noise,L5_latency(full),40,6.1510000000001925,5.393228125000234,6.8295062500002075,2.385129733610829,2.767275512500192,2.0957672806252083,3.3731888556251626,2.1219472145216995,-0.6164489749998078,-1.216515398749869,-0.07360466812487658,1.9146217801615784,0.3146543077586035,0.2734331361118436,0.3528614543364224,0.12904075106805987,4.512007424328955,4.276988863506568,4.773527984009139,0.8126170573254763,192.475,185.049375,200.1,24.183049265857104,0.7602118573124267,0.688347188690043,0.8357142469595763,0.24344007791527034,1.7671002265495517,1.7376712797634057,1.7982410510321885,0.10110415534203755,0.23696964127959746,0.23088236599273784,0.24340162038493932,0.02082800969229839,585.525,574.124375,597.225625,37.82482396115424,0.4949318794324952,0.48710667884537534,0.502794545086385,0.025459338574360064,1.1472499999999968,0.8798593750000154,1.526168750000004,1.076226164154364,0.12339278206065736,0.1126219238734234,0.13810194474508686,0.04270229587940743
noise,full-inventory,40,5.003874999999549,2.4468812499996133,7.500521874999509,8.024134068426486,1.9530704874995481,-0.5550106315634288,4.368029508749511,7.859733173730028,-1.097734025000452,-3.5276704968760226,1.2767176337499861,7.718027039482039,0.062268486029905736,0.035210386969962156,0.08903176274251534,0.08638941674085412,25.651641918903483,23.987773058252426,27.392591376356368,5.607638272314676,179.175,170.574375,187.45,27.384149916816234,0.6821689319833675,0.6128666997187242,0.755630880780558,0.2354795608106115,1.835221614044522,1.8085925188442245,1.8616171042611576,0.0879745305015346,0.24534966331404323,0.23750620868190558,0.25259370923642555,0.02438263021558494,520.0,506.625,533.05,42.56397899271528,0.5114122497217649,0.5032000602852693,0.5197597344439866,0.027034614780878704,8.322249999999965,6.890865624999867,10.032271874999617,5.134513427875047,0.5415991013484377,0.48358536562431154,0.6100649555182379,0.21064446252162722
noise,full-obi,40,5.928875000000062,5.136921874999905,6.694012500000189,2.5345622409413653,2.5299142500000613,1.8566764596875127,3.194753259687586,2.2005635936116326,-0.8690464999999387,-1.4596987150001346,-0.290349717499838,1.919782669700772,0.2998122605999665,0.2534041971409344,0.34496774900286936,0.15048415682720293,4.631167904054825,4.343901342090234,4.945326599086237,0.9940174098095317,192.95,184.549375,201.35125,27.491677062200257,0.7951504671292364,0.723697523369108,0.871774265281012,0.24303504718178268,1.7499807154419624,1.7219177606352507,1.7775544803183967,0.09303257269946186,0.22144545005856386,0.21381750620073853,0.22861154586747287,0.024688124556830043,636.55,624.5,648.875,39.97688434647305,0.4574588716524731,0.45217718304840354,0.46273311710818144,0.017533164476720275,1.2113749999999974,0.9236156249999724,1.5206281249999989,0.9812622610699491,0.12825992498841224,0.1164915069509308,0.14159688852218416,0.04120596454873752
noise,full-adverse,40,7.974750000000023,7.44606874999989,8.458378125000003,1.6450566781599762,3.0873920875000236,2.5818745259375433,3.537353694062627,1.5524246471256729,-1.7999658249999773,-2.307425328749773,-1.3450015168748484,1.5668534495887483,0.45039877418529956,0.40854514162598915,0.4880894354366659,0.1281003028092847,3.3689748715019987,3.3054144060536834,3.432710237007425,0.20685144811520484,278.45,270.974375,286.050625,24.871928363374252,0.6453321122595487,0.6025593804619196,0.6891532037017642,0.14112778383026298,1.518394580544291,1.5017115974587079,1.5342846699163746,0.05348794091904524,0.3128375973744297,0.3075170834930139,0.3178860605003064,0.01716335673062674,577.675,564.949375,590.675,41.20890338202071,0.495350087374402,0.48618767324455875,0.5041948284311766,0.029321611987423207,0.8334999999999912,0.6766187499999795,1.0281437500000088,0.5857191503416188,0.10865224825015689,0.09962208320569386,0.12158005774621229,0.03616663760741011
noise,full-queue,40,3.9518750000000153,3.180981250000004,4.619462499999943,2.404453583510586,1.5629461000000155,0.8364711874999217,2.1891184778126314,2.2391052153763553,-0.8259827999999846,-1.5088489125000348,-0.23593790999997147,2.1188229812977117,0.20617988038520033,0.17053123216083718,0.23990082727865816,0.1149498512933692,4.525228440890919,4.220696744717304,4.847776627641348,1.0354424782069167,130.875,124.84875,136.80125,19.567355729796766,0.9903260109306814,0.9049816379014085,1.0903333528978716,0.3028058485478199,1.8942170980966229,1.8560750367069703,1.9319137193167828,0.12414821246303506,0.10439492741229953,0.1000665507680763,0.10884027318636964,0.014191324048126671,1066.95,1048.973125,1084.7256249999998,59.53148272886739,0.3624253437161283,0.35611928724518044,0.36906385317353146,0.021260749206753828,1.408250000000033,1.0742406250000585,1.8196312500000125,1.2453830375657169,0.12401944070254052,0.11294587097566085,0.13730635132534613,0.04013857205701916
