half_spread_ticks,quote_size,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi
0.5,1,12,-6.472083333330612,-3.654999999997699,7.46236937096975,-10.354510416660691,-2.5286562499952354,9.15875,9.195,0.5683313894039446,8.84621875,9.461833333333333,-15.630833333330612,-12.9699999999977,7.516530520167285,-19.534302083333408,-11.592614583331358,-0.060713570815151885,-0.036378147397256616,0.07750227233255359,-0.10164903755058279,-0.018254080703021,12.209999999999434,10.914999999992574,7.024608368250856,8.502010416665488,15.955416666666885,0.6119866878763823,0.6121630549682875,0.006104273715747311,0.6087649421599005,0.6154476283433548,0.7020575671571612,0.6996213867088394,0.03937339192008407,0.6806609916341173,0.724851412222474,1403.1666666666667,1398.0,74.61151913665066,1362.33125,1444.4208333333333,21.48798146539242,23.11424847958297,6.709503461166815,17.79680712423979,25.019790761656534,45.0,50.0,6.564366617649345,41.333333333333336,48.333333333333336,0.7777516843084341,0.8037003625041299,0.3489717289132874,0.6157111990458707,0.9850536777045927,0.09858702838468376,0.09856276745997625,0.005749733355090471,0.09540557153713071,0.10184997491162515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2,12,-12.945416666664736,-8.935000000001764,9.467675259036522,-17.785364583331333,-7.956218750000367,15.636249999999999,15.5775,0.9322068756938607,15.136562499999998,16.13459375,-28.581666666664734,-24.992499999997854,9.52999149415918,-33.57129166666205,-23.668375000000374,-0.11444903035685772,-0.1019102689372432,0.06829040608341148,-0.14938851829003572,-0.07894549885167909,16.962499999996968,12.735000000004504,8.610302892992383,12.617822916662613,21.436427083329125,0.639978735333281,0.6393940027612411,0.0081118904552132,0.6355956291354615,0.6445350426163131,0.6431047471577164,0.6724884470299062,0.07151938495161649,0.6048028772099479,0.6789751305287064,1371.9166666666667,1372.5,71.67788848012822,1332.4916666666666,1409.9208333333333,26.868592528236316,26.068201563857514,4.023079877947644,24.899525774688673,29.023135679119605,50.0,50.0,0.0,50.0,50.0,0.9012306349965166,0.8023431144298874,0.19149077107788795,0.800037690241262,0.9982438347142655,0.11630563695115193,0.11677166881134596,0.007422805129609993,0.11245731948205105,0.12032085159942067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,5,12,-19.784999999996973,-18.63999999999953,7.6636411355510665,-23.85764583332768,-15.697312499997139,27.174583333333334,27.505,1.7732590160150852,26.17405208333333,28.09771875,-46.95958333333031,-45.27249999999953,8.504004794086269,-51.606843749994354,-42.574916666662716,-0.17838518733623396,-0.18253713890951195,0.06572471434365217,-0.21209817412888524,-0.1454489687508963,22.86083333333096,21.30499999999529,7.70398681714623,18.80185416666838,27.07056249999589,0.7036172443481158,0.701370803086546,0.010692202098036643,0.6976820469253814,0.7095795227260429,0.5345326546015378,0.529953303998659,0.04481798101846195,0.5110521536282026,0.5570843204132354,1404.1666666666667,1404.5,63.95287090482879,1369.6666666666667,1438.91875,29.201057051838983,29.936576889661165,1.8996657361729625,28.186468288444832,30.1483184911671,50.0,50.0,0.0,50.0,50.0,0.9804976100266223,0.9902948023128992,0.21597887616855477,0.8793315479969799,1.093478694386805,0.16570541827219323,0.1648235978872108,0.010924427925580061,0.15996700483825455,0.17171788835065668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,10,12,-23.653749999998766,-22.59999999999502,8.166683182578154,-27.790031249999565,-19.221999999996935,35.53916666666667,36.18,2.2077279902170646,34.25522916666666,36.71638541666666,-59.19291666666544,-59.15999999999762,9.243693048468044,-63.89723958333545,-54.07149999999472,-0.21509733952991772,-0.22402687810485147,0.059127626304481117,-0.24593690540728258,-0.18244255721017757,26.09291666666654,24.072499999995443,8.201672074076166,21.721635416664643,30.26410416666695,0.7531775261013651,0.7537095088819227,0.013138044755119168,0.7460914669820026,0.760532957008569,0.41649824327927853,0.4258177994447869,0.052704627268194935,0.3857408886589602,0.44287365000577533,1467.9166666666667,1470.5,66.49601263962899,1433.3666666666668,1504.59375,29.66782507964089,29.554300608166812,2.195760121951668,28.447719374456995,30.83974080509702,50.0,50.0,0.0,50.0,50.0,0.9406000206977044,0.9361390603573478,0.17642580191957044,0.8398502396504196,1.0313962052712016,0.2323238328591062,0.22786046182541306,0.014448980543753489,0.22515184420513593,0.24097586985877087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,12,-1.0220833333338308,1.800000000001603,6.1424715407399315,-4.13469791666732,2.1074270833334245,10.030833333333332,10.035,0.7360392570228761,9.641979166666667,10.434604166666668,-11.052916666667164,-7.992499999998397,6.360322482653439,-14.323322916669948,-7.704104166668135,0.019694961843431644,0.03638893979477019,0.09689186714261448,-0.029182914784467356,0.07182395795622762,8.094583333334308,4.235000000000014,6.773588903145707,4.654281250000516,11.981770833335844,0.44603925188436633,0.4460077904282426,0.012223087926917404,0.4395995698245387,0.452561486606076,0.9316657347771217,0.9049930869783811,0.11795420191874137,0.8716701130208564,1.0048640667680664,841.0833333333334,842.0,56.813024008317825,810.6416666666667,872.6687499999999,15.66724587315378,16.642484795829713,5.609892400641336,12.573101288734435,18.544374456993914,36.666666666666664,34.0,10.51694159944138,31.0,42.00208333333333,0.5732195173557463,0.4968698542744194,0.24236282690520805,0.4423583233875589,0.6939434075914086,0.12075368697039801,0.12142849268684713,0.006005253138527566,0.11745844525086495,0.12406220062435483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2,12,-2.2908333333342674,-0.11500000000739874,8.727416787794834,-6.9449687500013715,2.6826041666674354,17.020416666666666,16.7225,1.5470344920837964,16.150364583333335,17.84941666666667,-19.311250000000936,-17.747500000008454,9.452753597137491,-24.372510416668057,-13.949687500000119,-0.0037762155019919886,-0.0010442156076236036,0.09935114430344714,-0.053938632748792244,0.05524919550281554,12.774999999999617,12.915000000001896,6.816431351053809,9.261416666665763,16.582552083332892,0.44438416139368303,0.44314597011169254,0.014619428900348412,0.4370591634088504,0.4527764207623976,0.8874932538405607,0.8637230330728782,0.15558140478348031,0.8055121750003827,0.9685229801266659,802.8333333333334,796.0,68.56030302963335,764.4958333333333,840.0229166666667,24.9323776426296,25.55516941789748,5.333417587031431,21.86407109759629,27.571830654503334,49.083333333333336,50.0,2.8749176536296677,47.333333333333336,50.0,0.8649851500619001,0.8934395961147312,0.1939706594437971,0.7517833531692039,0.9640066842762014,0.13507499923164137,0.13483416470249826,0.01003227538610428,0.1300232300093386,0.14098286536381244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5,12,-5.155416666665133,-5.20499999999538,9.636038996281796,-10.690739583331455,-0.291687499998072,30.10083333333333,30.049999999999997,2.865825942609449,28.516718750000003,31.66377083333333,-35.25624999999847,-35.49999999999528,10.236522430848567,-41.149812500002206,-29.996239583332496,-0.03713285979911993,-0.04267922930054396,0.08120184689876603,-0.08174496881142711,0.005460107639313074,14.716249999999308,13.212500000000318,6.855720943786246,11.398052083332743,18.844989583331067,0.4436548674502168,0.4374677049518134,0.0170659317738271,0.4349099159708143,0.45371872658427415,0.7836256976384721,0.7684959089256804,0.09371802215579163,0.7325396923381401,0.8318977168980176,786.9166666666666,797.0,62.75994428025415,752.3312500000001,821.5854166666667,27.015855777584708,27.466985230234577,4.19473365356767,24.886135244714744,29.2154195626991,50.0,50.0,0.0,50.0,50.0,0.9732226666717626,0.9061844480542495,0.24683735256711156,0.8512972100303533,1.1252415007473264,0.16773884052589713,0.16697847829576318,0.01084594070004365,0.16215394897652452,0.17387488989953587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10,12,-6.706249999999964,-4.9275000000002365,8.595373524327847,-11.437520833332135,-2.3596562500015708,38.95041666666667,38.795,3.383005292725103,37.12197916666667,40.744989583333336,-45.65666666666663,-42.59999999999956,8.028385248414677,-50.00996875000005,-41.58385416666486,-0.06181327124607289,-0.05157918220851125,0.07859804848861085,-0.10332041848901072,-0.020460605796908286,15.08208333333358,13.6700000000003,5.979383693663795,12.112031250000003,18.448031249999985,0.42745394572978174,0.4277923770456779,0.021987249795041564,0.41700578414789197,0.43979189911535643,0.7558050287857926,0.7134130143975894,0.1208370452423995,0.6953364530946002,0.8211121367651251,772.0,768.5,65.89799279602873,737.6624999999999,807.3354166666667,28.139950767448592,27.918331885317116,2.9454385680876567,26.612492759918908,29.79652295105705,50.0,50.0,0.0,50.0,50.0,0.9137805473368364,0.9189204392028396,0.11626677265469068,0.8444627978153881,0.9757327046808593,0.20544672719922377,0.20450673747208625,0.008461156643144197,0.20098162593998567,0.2102048045047275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1,12,1.869583333333324,2.295000000002574,3.1108457329547066,0.2279062500007109,3.405697916667579,9.820416666666667,9.98,1.0070985740625331,9.225624999999999,10.354916666666668,-7.9508333333333425,-8.077499999996617,3.4904602674702585,-9.829322916666456,-6.130854166665311,0.03807996824459772,0.030462867217015917,0.061861247702369,0.007375068123431693,0.07343493222843117,6.191249999999317,4.5824999999993,4.315072487012044,4.174583333333247,8.829697916666081,0.36886559637041233,0.3703906568134634,0.016412310049943733,0.3595260075101046,0.3770978624802566,1.0552038978889329,1.0094820419022281,0.13019527747575055,0.9905807153978362,1.1260010299812768,619.6666666666666,629.0,64.2117708457843,581.4124999999999,653.8333333333334,15.01252534028381,14.132927888792356,5.683450448232456,12.321736533449174,18.356177599189106,35.75,35.5,9.526279441628825,30.829166666666666,41.0,0.5550443880970931,0.5276692749933847,0.21910490650860587,0.450372342731852,0.6862015604373828,0.1361121685635807,0.13402640284984302,0.009615560265139309,0.13111989152346684,0.14177425179712091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,2,12,2.4933333333320746,3.2199999999945703,6.596518480274531,-1.2363958333339744,6.295958333332276,17.22375,17.2975,1.6818633132765144,16.330281250000002,18.10814583333333,-14.730416666667923,-14.212500000003129,7.6212270720228545,-18.97853125000093,-10.28445833333476,0.04754393530953813,0.03562691360198039,0.09046281031892027,0.0013822642765167834,0.10128119251349142,9.740833333333873,10.450000000001637,5.2793499226764204,6.8004375000001245,12.57068749999987,0.37110164843388455,0.36863286250970684,0.01544914151840577,0.36271076780108336,0.37957880403449634,1.0340140286530055,1.0106679035250465,0.14847247931803276,0.9551107468873846,1.1179636285260874,605.0833333333334,606.5,54.503475007367996,575.9145833333333,635.8333333333334,21.69801621778164,21.722415291051263,5.668603515078897,18.567495655951348,24.47171481320591,47.333333333333336,50.0,5.432784876575872,43.75,50.0,0.7473696098064858,0.7186696631740822,0.23828782068772494,0.6185684857777615,0.8777728556713418,0.148044810703205,0.14751823691934113,0.008632958696152266,0.1433970847694387,0.15279858991408055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
