fundamental_sigma,flow_intensity_x,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi,strategy
0.01,0.5,12,-12.613749999999918,-10.752500000000907,14.13217912891773,-20.395624999999914,-5.584177083333114,33.75625,33.89,4.398157736743047,31.481614583333336,36.15716666666667,-46.36999999999992,-45.62750000000091,17.976438493458346,-56.50858333333353,-37.534999999999904,-0.13083243571130085,-0.1811338041423668,0.20524012381446768,-0.23450864296113028,-0.021200646025941645,15.820416666666597,13.047500000000504,12.750932846147741,9.701989583333186,22.849447916666435,0.2635432266153544,0.2642488200496409,0.0063304281994558615,0.25971528208938305,0.2665688652673163,2.6987513237169574,2.687542498397762,0.8237887998628405,2.2754711734271145,3.1368504585130057,505.4166666666667,513.0,47.001853606259424,478.9166666666667,529.2520833333333,2.4416449464234,2.4005212858384013,0.1721432914611713,2.34505864465682,2.531644584419345,17.25,15.0,6.254089571123552,14.33125,21.085416666666664,0.519639842337276,0.5071633313057174,0.29256163420016124,0.37479891481371586,0.6796880228915909,0.13115364040039187,0.1290162651424142,0.009791847576055933,0.12621440936990289,0.13664791856378147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.01,1.0,12,5.192500000000023,5.325000000000642,2.6184715354224837,3.7054062499999887,6.495437500000017,19.643333333333334,19.4125,2.2394950053054097,18.4940625,20.905885416666667,-14.450833333333312,-14.002500000000033,2.3218016450135943,-15.669822916666613,-13.37062500000004,0.29057265413096367,0.2691146237780297,0.14780949450928207,0.2077713248421303,0.3678949516691058,1.5087499999999505,1.100000000000037,1.5421518687741362,0.8753333333333072,2.4460520833333046,0.21210774051705159,0.2123982586819258,0.012854976201332356,0.20545811472003497,0.21896379727154308,1.4379863057909121,1.3451405341074665,0.442357894698256,1.2508282729606157,1.7059534853382419,307.1666666666667,301.0,40.55934671639332,285.8270833333333,329.50416666666666,2.3616420503909645,2.2741094700260645,0.21599129195162223,2.2573812626701417,2.4860682739646687,14.916666666666666,14.5,1.9752253419585197,13.916666666666666,15.916666666666666,0.19806871815100968,0.16603033335830936,0.12274694902925741,0.15454116227826384,0.2716953319011294,0.17677020918132977,0.17810529615296516,0.013508790068770943,0.16902894898132956,0.18378333911736616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.01,2.0,12,3.49374999999999,3.359999999999758,0.7226250285024288,3.1591458333332825,3.9052499999999557,6.177083333333333,5.9975000000000005,1.0808402840831617,5.593885416666667,6.767562500000001,-2.683333333333343,-2.7424999999999375,0.6550965693327636,-3.027125000000092,-2.295239583333313,0.35520589824568516,0.3534265618038337,0.051637670125509044,0.3279127856947507,0.38556636568410757,0.3233333333333164,0.2749999999999062,0.12769518630732965,0.25666666666663424,0.39167708333331397,0.1022445806966809,0.1028142566678627,0.012153663724579869,0.09495487335537245,0.1087236585156061,0.7605850330638578,0.7888357598249119,0.16149484048795076,0.6721980801322431,0.8425768363617742,98.66666666666667,99.0,17.322257533607047,89.33125,108.25,2.333188531711555,2.3709817549956558,0.3543976053262282,2.152296915725456,2.5237185056472633,10.833333333333334,10.5,1.8504708655481241,9.916666666666666,11.833333333333334,0.08586231464346271,0.0859312744835531,0.014511443997558583,0.07889542537165506,0.09326171578125662,0.2603352453849834,0.2573352745257371,0.020506629328290015,0.2504212437292909,0.2723409398842001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.02,0.5,12,-27.298749999999647,-29.43749999999887,23.17234334336384,-40.35198958333335,-15.505364583333053,41.98458333333333,41.675,8.813439494300564,37.34942708333333,47.201499999999996,-69.28333333333298,-70.49749999999887,31.49509040623615,-87.37885416666631,-53.11373958333244,-0.25529026450069514,-0.3046594966521068,0.17208412448809848,-0.34184913467986394,-0.15095844452931104,29.906249999999712,31.017499999998833,22.431656722040454,18.50516666666633,42.776500000000304,0.2732121319181629,0.27590791518187996,0.01266322880949396,0.2660451009504708,0.2795549951906676,3.393440969410951,3.4435394498728016,1.1986828686119824,2.7774886084137993,4.079453276661058,586.0,606.5,72.48197268035938,548.2354166666667,625.4270833333333,2.6655806545033305,2.5981754995655955,0.2557730180335375,2.529099695916594,2.8045956414711846,17.666666666666668,17.0,3.676295896027891,15.833333333333334,19.833333333333332,0.728420838075896,0.8219441520572467,0.3972996175265371,0.5155609589902833,0.9468413399136874,0.11735736371078438,0.11474603551860996,0.011567864401352296,0.11115587307384686,0.12388236375240891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.02,1.0,12,4.087916666666653,4.475000000000094,2.8341324296489248,2.5285312499999484,5.576656249999958,22.977499999999996,22.8475,1.9411038331086492,21.981979166666665,24.025083333333335,-18.889583333333345,-19.069999999999865,3.457565130086097,-20.71592708333332,-17.005635416666802,0.20691174076343558,0.20052269658591937,0.16557974871076506,0.11959387116931323,0.2978566109852868,2.1850000000000107,1.7124999999999133,1.6390199399753,1.4059687500000249,3.1980520833333825,0.22281841981922135,0.22113075846424865,0.009946269901839852,0.21752391208628835,0.22810975013198226,1.4652704466101711,1.4756744872901042,0.24950075954427517,1.3288741845525547,1.5982843940178808,363.75,364.0,35.777405261879004,343.58124999999995,382.3395833333333,2.377425427164784,2.4600347523892268,0.33957589674732086,2.185199464233999,2.555826455256299,14.583333333333334,14.0,2.7122058561364044,13.166666666666666,16.083333333333332,0.20342186481909577,0.20100324956831822,0.04808984306482587,0.17759576393256,0.23157546445037105,0.1556938823693809,0.15513345641379403,0.011296674689072686,0.15019405534613953,0.16242099718975478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.02,2.0,12,3.504166666666624,3.7474999999998033,1.1066058535682546,2.852864583333215,4.059999999999993,7.156666666666666,7.46,1.7041931353060435,6.232458333333333,8.045854166666667,-3.6525000000000425,-3.800000000000171,0.8521376862712778,-4.097645833333391,-3.1699479166666307,0.3464334665882951,0.3729119314875302,0.09382695464932687,0.2915883595565806,0.3931438313052356,0.48125000000002177,0.404999999999923,0.2654937509964976,0.36415624999996055,0.6316666666666695,0.11418367357601451,0.11793006809990894,0.016670177625145634,0.10469578201279195,0.12289206657556563,0.8381162937425345,0.8284804637406136,0.1290739981575798,0.7710447123435885,0.9071115414564818,119.41666666666667,123.5,25.61767264048691,105.16666666666667,132.67083333333332,2.0692151752099623,2.0664639443961774,0.28056827674123536,1.9233746017955402,2.21730379380249,12.083333333333334,12.0,2.6097137890209456,10.75,13.416666666666666,0.08891133183343174,0.08418979348724484,0.025229611168150316,0.07632992124168093,0.10252744172421106,0.23843555493765267,0.23397761953204477,0.020726255641983726,0.22810536865654774,0.25031098748037345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.03,0.5,12,-39.482916666666895,-39.57750000000007,10.521152386401585,-45.41401041666692,-34.1111249999999,46.17791666666667,46.2675,3.181840846780748,44.40892708333334,48.01679166666667,-85.66083333333357,-85.93000000000008,12.400990582378832,-92.79444791666687,-79.74178125000049,-0.38221832506694314,-0.3933421949414876,0.0761814235113394,-0.42248148266991176,-0.34072265684856623,40.81500000000019,41.04999999999987,10.509333946545212,35.48768749999983,46.760489583333694,0.2767116422445305,0.27670683375240895,0.009326539646608574,0.2715066431322595,0.2814067099751739,3.9621054507504425,3.9916314016056837,0.5623011541437235,3.663070042593149,4.27045213754078,641.0833333333334,638.5,32.94750185959292,623.4145833333333,657.675,2.6450188242108315,2.557341442224153,0.2837065509737768,2.5057902548508544,2.8055603822762816,18.166666666666668,17.5,3.88079966767238,16.333333333333332,20.25208333333333,0.9258804384835839,0.7886520954240928,0.32543213468590104,0.7786483420317116,1.1189418840066625,0.10756292360287939,0.10741982231895011,0.0034733157409688603,0.10571632894199126,0.10939303768144641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.03,1.0,12,-0.09874999999985572,-0.017500000000012506,3.4950420240677436,-1.9703124999999149,1.8479270833333055,25.846249999999998,26.2075,3.3898197357542617,23.902843750000002,27.634687500000002,-25.944999999999855,-26.522500000000377,5.259292209551845,-28.615499999999823,-22.949687499999953,0.03438986272618528,0.006252365452996448,0.1382873669802381,-0.035430401664276565,0.1177702863916947,4.463749999999883,4.024999999999615,3.264394086197279,2.6644791666665726,6.16328124999992,0.23530130390514037,0.2371828861361247,0.014954712172775142,0.22696457126740718,0.2429559985573297,1.7582825305974954,1.74598790774672,0.2489979931984702,1.6159570259269738,1.88485562675208,420.3333333333333,424.0,57.143095237599205,388.6666666666667,450.2520833333333,2.355198378221836,2.377932232841008,0.27406076387110123,2.206105198378222,2.4948848827106866,17.166666666666668,17.0,3.3529724488018453,15.5,18.91875,0.26856462205453696,0.24073246742609367,0.11306008742506622,0.20908985109849218,0.33077777652687745,0.1421355653501749,0.14197261869379776,0.011907707625978153,0.13599377420851375,0.14903106604212374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.03,2.0,12,3.3062500000000434,3.4200000000000443,0.9962044446068283,2.7710833333335962,3.8200625000000583,8.385416666666666,8.3875,1.3134227636448994,7.649239583333333,9.120197916666665,-5.079166666666623,-4.63500000000014,1.641994122087523,-6.008343749999999,-4.206125000000033,0.3099918880037542,0.3007795061422103,0.12482746479386171,0.2431360225881623,0.3773870010552983,0.6537500000000426,0.6550000000001148,0.2822565322539508,0.5120833333333233,0.8116666666666705,0.1275018859500524,0.13020450659543642,0.012238302772033015,0.12089137162645013,0.13390943695135382,0.9040315525375652,0.8050326239271326,0.18488999682634502,0.8142034302096994,1.0087205236322143,142.66666666666666,150.5,22.995388206940078,130.08333333333334,155.00208333333333,2.3121198957428324,2.2797567332754127,0.38593774745311904,2.1135172313929917,2.5362981465392416,13.416666666666666,12.0,4.601547829181222,11.166666666666666,16.0,0.09755113818204597,0.09598693925089923,0.016965724557269548,0.08874757835158151,0.10680608261201881,0.22277997986767625,0.2176567769125189,0.018156095178046505,0.2132538137870135,0.23318398312620342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.05,0.5,12,-55.05708333333342,-56.892500000000624,17.29835915212949,-64.24657291666705,-45.96169791666661,53.361250000000005,53.015,5.746175061804948,50.02187499999999,56.19196875,-108.41833333333342,-109.36500000000063,22.370685905416263,-120.2628229166668,-96.27964583333332,-0.42531185918825254,-0.4180049093548263,0.06361077183519223,-0.4607107695017295,-0.3921736506725393,56.310833333333555,57.7125000000008,16.969819176372688,47.41112500000025,65.38779166666687,0.28101324942113065,0.28262187222386737,0.007700379128603722,0.2769272863903862,0.2847538905421992,4.480840627859487,4.439616218425845,0.7690419837490314,4.048827112724467,4.91743677764549,693.1666666666666,705.0,54.01150270305784,663.24375,719.59375,2.817187952505068,2.836663770634231,0.23940984957135666,2.7003113234868237,2.9530878945844203,18.0,15.5,5.063236478416116,15.5,20.833333333333332,1.1128403568393341,1.0200184049310144,0.29319113764148313,0.9468309426547488,1.2615691150023247,0.10040309560945176,0.09986852102555596,0.006153577683288712,0.09717219763653398,0.10389590827039422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
