fundamental_sigma,flow_intensity_x,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi,strategy
0.05,1.0,12,-2.654166666666768,-1.8099999999998886,5.66895526423321,-5.705124999999964,0.3661249999997776,28.427916666666665,28.455,2.2172715197792625,27.283385416666665,29.594041666666666,-31.08208333333344,-30.97000000000036,7.443593175077403,-35.11773958333339,-27.264541666666513,-0.022221846068344365,-0.054654932492016396,0.1459027922488861,-0.09210560866779326,0.06585825920952233,6.641666666666704,5.515000000000015,4.8188721489450455,4.111218750000152,9.401968749999943,0.24051661963553816,0.23991172226466345,0.007764216789434518,0.23656341028276226,0.24468918143404023,1.7564952985840998,1.6583603407419498,0.322365592932777,1.5927249011158882,1.9296856792089156,453.1666666666667,453.0,41.01404046362069,431.99791666666664,474.00625,2.459527946713003,2.4826238053866203,0.2790042716350847,2.3105343179843607,2.6177327686070084,18.416666666666668,18.5,2.9682665076785235,16.833333333333332,20.00208333333333,0.34288494587345264,0.28754000636469185,0.1913919139798374,0.24881875891404276,0.4522689659369961,0.13388799021758385,0.13350656633162003,0.0080681374689544,0.12973243444149127,0.13809096040939703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.05,2.0,12,4.091666666666615,4.197499999999607,1.707368167855496,3.161958333333228,4.9247604166665715,10.605000000000002,10.690000000000001,1.7817062812728905,9.680458333333334,11.538072916666668,-6.513333333333385,-6.512499999999902,2.0732312651482534,-7.683937499999987,-5.536833333333473,0.3093035459256383,0.3206527883446269,0.13669907127030828,0.23606027755215897,0.3821388730291633,1.0691666666666428,0.787499999999909,1.2403863645385722,0.6144895833333684,1.8026145833332539,0.14544661094711084,0.14929073680265292,0.0158159013897484,0.13684202360899947,0.15377273534094474,0.8780535047080226,0.8226854254574993,0.29320853461770263,0.7510560363401896,1.0507886553110126,174.58333333333334,176.0,24.607679264568585,161.91041666666666,188.00416666666666,2.4406313350709525,2.391398783666377,0.24205012258557967,2.3114664784245584,2.570234216623226,14.0,12.5,3.1042492870843406,12.416666666666666,15.583333333333334,0.13558290223606395,0.11603638402399544,0.06559708838566605,0.1110407498758506,0.1745717602028118,0.20873386337319644,0.21167824500353488,0.011742161073306783,0.20214343526467837,0.2146280215407933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.08,0.5,12,-82.01000000000009,-83.73250000000004,23.057875404768165,-94.52618749999995,-69.80661458333346,61.824999999999996,60.3575,8.4533210257056,57.77246875,66.36854166666666,-143.8350000000001,-146.50250000000005,28.998037002528246,-158.95521875000003,-128.30451041666663,-0.5236518873688278,-0.5185374686990347,0.09036246690653134,-0.5783300203692768,-0.4766209015749795,82.99583333333345,84.38750000000007,23.375220838366868,70.6259062500001,95.58934375000018,0.2860846236185443,0.2833042091394494,0.00920293873756097,0.28173371369289557,0.2912528785304034,5.250485515106434,5.211478962472166,0.8747556408898939,4.781537538907212,5.737490628245494,746.3333333333334,731.5,50.12408844482104,721.24375,773.5020833333333,3.057993049522155,3.1702867072111207,0.3209460427046302,2.8935870981754994,3.2312499999999997,22.666666666666668,21.0,6.139785802205945,19.74791666666667,26.50208333333333,1.365255066756568,1.4111066127676732,0.31771774213052706,1.1977041602992609,1.5261136609561023,0.09378514302639479,0.09468936242587073,0.004545154979841036,0.0914175836320378,0.09618637295866163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.08,1.0,12,-11.881250000000035,-11.377499999999621,8.395969034169024,-16.925218749999747,-7.414406250000006,31.562500000000004,30.174999999999997,4.614493717920448,29.357968750000005,34.309708333333326,-43.443750000000044,-40.59749999999962,12.20715422219865,-50.67060416666673,-37.42038541666693,-0.19392256594591084,-0.20209518973401833,0.10666191680904656,-0.25355325659169087,-0.14269285540113189,14.540833333333351,13.774999999999793,7.8207936220557075,10.296708333333616,19.273666666666728,0.2523478884281211,0.250206214732594,0.012932353868211607,0.24606630752622757,0.25957987324261356,2.0864540259600775,2.216323533976344,0.40800640902503366,1.8657741865591617,2.325899886795528,516.75,501.0,76.26881288037606,480.4166666666667,561.9333333333333,2.35961482768607,2.3892267593397047,0.19021990029777547,2.2496977266145377,2.45911888213148,20.166666666666668,20.0,3.7618499639825025,18.083333333333332,22.333333333333332,0.4973769751754204,0.4553007951669903,0.21506870362380312,0.37751262861735946,0.6217618713774842,0.12346423580364439,0.12621842307587933,0.010358710190849808,0.11737398075491126,0.12843940473099205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.08,2.0,12,3.8079166666666295,3.6450000000000955,1.76124627663767,2.8674895833334006,4.766604166666529,11.184583333333334,11.8975,2.166663184729137,10.024052083333332,12.316666666666668,-7.376666666666704,-7.03250000000016,2.1114905692999626,-8.47417708333348,-6.270885416666635,0.2669921131844854,0.3068889286317714,0.14813805507046754,0.18939786628614935,0.3451323875182985,1.155833333333316,0.7899999999998499,0.8087696416986956,0.7786562499999816,1.6026354166667234,0.1470531387503434,0.1532590314269825,0.017954518514589634,0.13717733817937502,0.15612184528865766,0.9177681432053437,0.9085769349056937,0.1771570118309152,0.8293635092208248,1.0167119263090094,180.5,194.5,30.53611870317748,164.06458333333333,195.75208333333333,2.4071097596293076,2.394874022589053,0.30469759997502344,2.2514480162177817,2.561625760208514,15.166666666666666,14.0,4.549392233801092,12.833333333333334,17.916666666666668,0.14084406563865828,0.12436020190117339,0.05961037851789292,0.11685071868925598,0.17661595227432064,0.20614449968239865,0.2078133364939523,0.013959486393070023,0.1989337858895116,0.21425543994804166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS
0.01,0.5,12,18.402499999999485,18.899999999999466,2.842207448765838,16.752499999999017,19.902593749999777,36.40416666666667,36.93,4.298412409532644,34.0103125,38.56882291666667,-18.001666666667184,-18.67500000000048,3.4760978209200606,-19.706281250000636,-15.977697916667157,0.3584617541521054,0.36765495816728216,0.07127162467475785,0.318648042959766,0.39702740699344685,3.104166666666648,3.0699999999998795,1.2707475132473953,2.4359687499998772,3.840916666666605,0.3874866578714051,0.3893057367937751,0.03668434183733677,0.36687071769194374,0.405699110034529,1.4187060023432696,1.4653254495871115,0.3163558203384967,1.2455207864979796,1.5766283094262044,304.4166666666667,319.0,36.57733608604535,283.33124999999995,323.1666666666667,8.136185925282362,8.184622067767158,1.2662587921943604,7.449800897770055,8.85344627859832,27.916666666666668,28.5,4.337119558025356,25.666666666666668,30.166666666666668,0.45335222330789887,0.44962175272677796,0.06191506046869922,0.42155877893585963,0.4882879049978371,0.34532245104939996,0.34375937143001745,0.026303917132454023,0.33214760778484337,0.359545769926174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adaptive
0.01,1.0,12,8.545416666666666,8.50500000000011,1.9087352527659975,7.548656250000087,9.547718750000126,14.698749999999999,14.24,2.5430226512057366,13.463927083333337,16.134489583333334,-6.153333333333333,-5.389999999999592,2.1476904438079414,-7.3592083333331795,-5.01597916666688,0.3172880971782913,0.31960122858903883,0.0761605884509777,0.27752701118446316,0.35625104495246196,1.5070833333334217,1.2300000000002456,0.8155992173446798,1.1261770833335052,1.9596041666668245,0.2917476993890233,0.2977061247937583,0.02702061486844978,0.2769902404202237,0.30580591680942165,1.176790238492363,1.2118183273969545,0.35270028736385556,1.0060619948426501,1.3518551746232046,142.0,138.0,24.635524977338942,129.83125,155.67083333333332,5.735664639443962,5.921807124239791,0.6453332602708367,5.293183463654794,6.002412757022879,21.0,20.0,3.567530340063379,19.25,23.085416666666664,0.23987078570596754,0.23621181154335116,0.043310494147658536,0.21878055217892795,0.26300164788921293,0.5474489413478766,0.5552777794556373,0.06746627439000273,0.5117556237591805,0.5815023430029881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adaptive
0.01,2.0,12,2.5874999999999893,2.672499999999836,1.1489174746849002,1.9816562499998798,3.197239583333165,3.7875,3.6,1.0629493702130708,3.268302083333333,4.372947916666666,-1.200000000000011,-1.0350000000001502,0.7264640390274062,-1.6371458333334066,-0.8304062499999468,0.24046541137425295,0.24965422729965603,0.10028892051263465,0.18613091871096923,0.292018225565258,0.636249999999985,0.5400000000000205,0.28187783459573174,0.49744791666662613,0.8079270833333417,0.198580923672652,0.20645256770756254,0.035005951879269456,0.18017290108569559,0.2167565735127619,0.4819063755779238,0.345292727019886,0.383875453386416,0.2943221820370169,0.6910283050775716,46.666666666666664,47.0,9.158536339327801,41.66458333333333,51.58541666666667,4.00781928757602,3.703735881841877,1.1757089124108295,3.4546626122212567,4.702941282942368,12.166666666666666,13.0,3.069892901102972,10.5,13.668749999999998,0.09557120409368465,0.09471244642140755,0.021062285781505808,0.08507990522345432,0.1069936659311536,1.1082733252660442,1.1311945298632464,0.12952510077002521,1.0388028700350809,1.1729053497797752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adaptive
0.02,0.5,12,19.15124999999981,18.122500000000002,3.855231466344123,17.221781249999808,21.257156249999564,41.06041666666667,39.61,5.059341700949807,38.509802083333334,43.71505208333333,-21.90916666666686,-22.80499999999979,3.5141052354846467,-23.73088541666692,-20.155312500000235,0.31208285480524356,0.29684906999110877,0.07321241238691624,0.2742078593475214,0.3504537475729577,3.3387500000000423,3.2975000000005252,1.1322044567207497,2.765000000000088,3.9892604166666246,0.37846233326731693,0.3857071889858775,0.034166707967373436,0.3606284209510627,0.3959371747148958,1.5762660911449264,1.5534295375293294,0.22243021257189302,1.4603785393068083,1.6945745207397143,332.0,320.0,44.13409319129806,310.74375,355.50416666666666,8.549232551404577,8.430495221546481,1.21341695240289,7.8944287576020855,9.180274399073271,28.25,28.0,2.7675062617979584,26.833333333333332,29.666666666666668,0.539556091667138,0.5276786495842216,0.055520961994441585,0.5097438946546836,0.5685643759247138,0.3047278541299467,0.3031181563395,0.02164641316919411,0.2933196353897633,0.31580393307378496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adaptive
0.02,1.0,12,9.873749999999882,9.332499999999754,2.923474835471571,8.347750000000046,11.422052083332852,17.650833333333335,17.4775,2.7004257520665593,16.313343749999998,19.10821875,-7.7770833333334535,-7.205000000000252,2.6329023549317134,-9.16357291666661,-6.371708333333757,0.3479747534745516,0.34801740474285103,0.12762085011835825,0.2776619229090467,0.41248041449203426,1.7816666666666379,1.5649999999998272,0.7725145874860134,1.3941041666666951,2.1827291666665674,0.2887479341679714,0.2820476126338474,0.02552273665475564,0.27674134692389596,0.30313562499715063,1.1797572948816677,1.149497502146593,0.3194015496687029,1.01379962945177,1.3566572291597683,171.0,166.5,26.656058496061537,158.33125,186.25416666666666,6.71524761077324,6.2580364900086884,1.870847138467263,5.815539024037069,7.781762235737038,22.083333333333332,22.0,4.100073909163841,20.0,24.416666666666668,0.26038151351340616,0.25423806663152637,0.05654213227002972,0.23224841355321202,0.2906349892669687,0.45588468902681195,0.46086510369066547,0.0378104104252221,0.4336777214172491,0.47489511124345163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adaptive
