gamma,inventory_limit,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi
0.0,5,12,6.808750000000004,5.832499999999925,2.307017087259945,5.575593750000173,8.101291666666683,18.94875,19.15,2.1000564115799794,17.83953125,20.035947916666665,-12.139999999999995,-11.74999999999977,1.2738345832388083,-12.864229166666817,-11.525697916666532,0.34706659826038383,0.3270065678502834,0.11684523590863305,0.2869712317637163,0.41077505423268895,0.9379166666666402,0.817499999999967,0.3980889481083869,0.7328645833333209,1.1683437499999787,0.2462048704134395,0.24775107411385605,0.013920006935191818,0.23862724616481543,0.253552997591777,1.310204590909146,1.3156311452383183,0.21569770719333925,1.1961782282700204,1.4272374017173137,281.5833333333333,284.0,29.36125564980717,265.5833333333333,297.8333333333333,3.226180133217492,3.2141615986099046,0.1875470735363758,3.1291576165653052,3.3435002172024326,5.0,5.0,0.0,5.0,5.0,0.1720446626060541,0.17287213998199785,0.02143536181500041,0.16054031359064677,0.18324286857399255,0.1751834033334596,0.17309319279753216,0.008439049359942706,0.17045610525761287,0.17984047913340676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10,12,6.723333333333438,6.367500000000064,2.8460916848877047,5.253635416666865,8.166708333333524,22.520833333333332,22.2025,3.4098585903319516,20.759,24.36664583333333,-15.797499999999895,-16.28499999999945,2.1790025866728686,-16.954020833333438,-14.544541666666811,0.23203526968878627,0.24091105936420715,0.09844903533055055,0.1789756501730772,0.2792014649861444,1.589166666666647,1.5349999999999682,0.4039792598936296,1.3862500000000502,1.807104166666598,0.24496272727441257,0.24476974262406784,0.018595312218412603,0.2353704990828203,0.2549605952570645,1.2457549304262991,1.2362976529643197,0.1981524212508309,1.1460811531556223,1.3557830714613108,325.9166666666667,329.5,52.95531277893797,298.07916666666665,356.0083333333333,6.115624094989864,6.009991311902693,0.728533419658274,5.745945554590211,6.523787286417609,10.0,10.0,0.0,10.0,10.0,0.2573568293864153,0.250356428922613,0.032724215481864063,0.2406107505191582,0.2762258485296796,0.17225943148846712,0.1701984978109407,0.009697259407922943,0.16729157837881062,0.1776463363911966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20,12,6.239999999999647,6.279999999999575,4.873460129760237,3.845718749999524,8.796281249999819,24.279999999999998,24.2725,2.8055634663354816,22.769583333333333,25.71216666666666,-18.04000000000035,-17.757500000000277,3.965200900562212,-20.11766666666698,-15.954822916667256,0.14000526958935725,0.1456762433833338,0.10884185864381273,0.08403456388547402,0.19943026359190705,3.83291666666679,3.4750000000001933,1.61277775385602,3.0962500000001483,4.793791666666571,0.24529612755169405,0.24521119712439537,0.017195538548694194,0.2354119480955333,0.25387271025420904,1.1683687197345918,1.1979630785979567,0.1277712495653416,1.09424748510244,1.233768902899722,345.0833333333333,340.5,40.14396441294605,323.57916666666665,366.17083333333335,10.426078772082247,10.288010425716767,1.9045801138333747,9.394826962061975,11.46786309006661,20.0,20.0,0.0,20.0,20.0,0.40640603458656566,0.4206056245667839,0.05680694952860355,0.37256817409491627,0.4348897362477389,0.17472183715909884,0.17208710141331685,0.010526082949133958,0.16930204608198893,0.18065447833971593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,50,12,8.06249999999981,8.037500000000023,7.34792595969038,4.389489583333828,11.999249999999115,25.637083333333337,25.785000000000004,2.9430190577436672,23.924427083333335,27.115416666666665,-17.574583333333525,-17.747500000000407,9.002658813911586,-22.283666666667234,-12.602666666667258,0.0939696530822675,0.07997415694058026,0.09040390650154494,0.04704765700452634,0.14217382505205106,9.58375000000035,9.36000000000081,4.910409224290468,7.16936458333349,12.33330208333329,0.2422361319791633,0.23917736320250577,0.017440008665012618,0.2325238332503134,0.25116966593396456,1.1865820604261932,1.11392226294989,0.24705713553397124,1.0724620703632957,1.3263353728346055,362.75,350.0,42.836104143372076,338.83124999999995,385.50416666666666,23.221039675644366,21.913119026933103,5.111155499737178,20.4155372140168,25.872675933970463,49.75,50.0,0.8660254037844386,49.25,50.0,0.866215598539124,0.8830247908597484,0.1790463493657465,0.7590395714143398,0.953458072976742,0.17368753996558986,0.17058944058443132,0.008367995225462395,0.16960301605601316,0.178657393323104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,100,12,11.714166666666321,12.937499999999432,10.40835914789309,5.9079687500011495,17.034489583332828,26.321250000000003,25.677500000000002,2.753264281638334,24.87532291666667,27.922239583333333,-14.607083333333678,-11.00499999999895,10.89188448056123,-20.603979166667255,-8.747250000000534,0.10252437606715688,0.11752128332910344,0.08701664904195917,0.05706009472700594,0.1484360274150721,13.435833333334207,12.850000000000591,9.628104890780067,9.091281250001432,18.940593749999184,0.2435239944383233,0.2438098695852889,0.013611721454343088,0.23668900018428873,0.25093558622555145,1.1600563572736904,1.1229337265992947,0.15337619351242662,1.0815809300623442,1.2459631622510141,368.3333333333333,355.0,38.194081724632134,349.3333333333333,390.925,34.25919490298291,32.84317984361425,10.825827887693249,28.4896702143064,40.016865768896615,85.33333333333333,85.0,16.09253544254904,75.91666666666667,92.75,1.2293317368072771,1.2583495725961245,0.38162376446727,1.0344028041143927,1.4211340083516508,0.17465039600784124,0.17340356072083565,0.007739782721725461,0.17053169324836795,0.17906994978522903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,5,12,6.745416666666653,6.4474999999999625,2.185432616141936,5.6498958333333,7.907093750000089,22.4175,21.79,3.3399799264502934,20.598760416666664,24.223052083333332,-15.672083333333347,-15.765000000000077,2.4617339217540004,-17.030989583333184,-14.3588958333334,0.38511073456472106,0.39286418465448875,0.11937054993250226,0.3212999125062395,0.4422696754755072,0.9691666666666651,0.6599999999999966,0.7426054664408944,0.6520520833333214,1.4271354166666854,0.2578477208621557,0.2502060957262776,0.020167913747616617,0.24709595546053637,0.26950726210313,1.2947056995411794,1.2763861611590244,0.1471225900104388,1.2275118603187518,1.3733563544903449,357.1666666666667,345.0,55.84203912227179,327.7395833333333,387.17291666666665,2.418187083695337,2.3531711555169417,0.16284661501144432,2.3323866927309584,2.5110845641471182,5.0,5.0,0.0,5.0,5.0,0.15449215835467342,0.1532995327458682,0.01980966701394067,0.14408104642447384,0.1649797472454778,0.1609733578249023,0.16275107258962077,0.010412125164750645,0.1553262305481535,0.16651300282352055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,10,12,5.884166666666693,5.862500000000303,2.9171045991574576,4.4057604166666735,7.4294895833335115,25.290000000000003,25.2725,3.0714084716950296,23.49771875,26.898312499999996,-19.40583333333331,-19.1124999999998,2.9631124862315654,-20.964927083333222,-17.80093750000003,0.27924330392377283,0.26701552040943155,0.14529567301592808,0.20490427444054235,0.3571076048054234,1.4945833333333478,1.2675000000001546,0.9354373268285833,1.0549375000000827,2.062520833333242,0.24404097218789755,0.2448854335041885,0.012763403925073679,0.23657882584909098,0.25071784203574043,1.3848536110373706,1.3425408680853326,0.2110083097577043,1.279280604537178,1.49808095720923,391.8333333333333,384.5,43.494687937584736,367.0770833333333,414.3354166666667,3.284897190848538,3.2780191138140746,0.26611130535991545,3.1368809730668987,3.424637995945555,10.0,10.0,0.0,10.0,10.0,0.19360696929432017,0.18608152162908792,0.037845955036729224,0.17471767894547044,0.21304334080190718,0.1561661239592718,0.15838342439605488,0.011349359574182304,0.1502837573963965,0.16298398100822523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,20,12,5.1866666666668735,5.494999999999777,2.7767265990839176,3.764552083333645,6.62607291666693,26.339583333333337,26.5,3.078363982800939,24.61561458333333,27.988781249999995,-21.15291666666646,-20.732499999999387,3.5962748772061683,-23.12368749999975,-19.243989583333367,0.21169673496959338,0.2331166641249996,0.12813895363832284,0.14402273279205893,0.27822444675575314,2.254583333333288,2.212500000000034,0.88711088354106,1.8024270833332878,2.750010416666566,0.2410868136219264,0.23853567501268821,0.012003887435537012,0.23449450426149213,0.2479590374938524,1.4215872683995707,1.4809565635512372,0.23438992301030623,1.2996204356463898,1.5459678178000313,404.1666666666667,393.0,45.63657491198227,379.65833333333336,430.2520833333333,3.6083840139009555,3.702432667245873,0.2871814630418268,3.451417245873154,3.766892919200695,19.0,20.0,1.5374122295716148,18.083333333333332,19.75,0.2333836153318339,0.2345590677627384,0.05212611917701059,0.20572331746813655,0.26369176572632286,0.15293677439635395,0.1542090793429961,0.01010415530104924,0.1475727750080911,0.15888968920711283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,50,12,2.5400000000002705,3.437500000000284,3.122002562458975,0.8290000000002775,4.091364583333611,27.181250000000002,26.8525,3.005954034760164,25.574333333333332,28.877104166666665,-24.64124999999973,-24.672499999999594,4.130083162821165,-26.6964166666665,-22.18451041666637,0.10741730405840542,0.11763776871096629,0.11241172012455158,0.05308879779826707,0.17311793098290243,3.5612500000000615,3.170000000000101,2.4538208842167455,2.485406250000118,5.044822916666724,0.24383160898717693,0.24413751323710398,0.01292130059560474,0.23703642541640083,0.251066983845806,1.577621565513082,1.550052083141173,0.17485003597287227,1.4823288566672197,1.6636989517458087,418.3333333333333,409.5,44.65694150120924,394.3270833333333,442.09375,3.662757022878656,3.869244135534318,0.42712112287501186,3.432498913987836,3.9089976107732403,22.583333333333332,22.0,4.5016831868926,20.416666666666668,25.333333333333332,0.31009051921513375,0.2784865079864947,0.16420095879208826,0.24284078474979837,0.40660200680696834,0.14861105248949644,0.14806035217689267,0.009796757470498947,0.14360732478162477,0.15432066799473657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,100,12,2.5400000000002705,3.437500000000284,3.122002562458975,0.8290000000002775,4.091364583333611,27.181250000000002,26.8525,3.005954034760164,25.574333333333332,28.877104166666665,-24.64124999999973,-24.672499999999594,4.130083162821165,-26.6964166666665,-22.18451041666637,0.10741730405840542,0.11763776871096629,0.11241172012455158,0.05308879779826707,0.17311793098290243,3.5612500000000615,3.170000000000101,2.4538208842167455,2.485406250000118,5.044822916666724,0.24383160898717693,0.24413751323710398,0.01292130059560474,0.23703642541640083,0.251066983845806,1.577621565513082,1.550052083141173,0.17485003597287227,1.4823288566672197,1.6636989517458087,418.3333333333333,409.5,44.65694150120924,394.3270833333333,442.09375,3.662757022878656,3.869244135534318,0.42712112287501186,3.432498913987836,3.9089976107732403,22.583333333333332,22.0,4.5016831868926,20.416666666666668,25.333333333333332,0.31009051921513375,0.2784865079864947,0.16420095879208826,0.24284078474979837,0.40660200680696834,0.14861105248949644,0.14806035217689267,0.009796757470498947,0.14360732478162477,0.15432066799473657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
