env,variant,horizon_s,corr,corr_lo,corr_hi,spearman,spearman_lo,spearman_hi,slope,slope_lo,slope_hi,dir_acc_excess,dir_acc_excess_lo,dir_acc_excess_hi,corr_backward,corr_backward_lo,corr_backward_hi,corr_shuffled,corr_shuffled_lo,corr_shuffled_hi,frac_moved,frac_moved_lo,frac_moved_hi,n_samples_per_session
noise,L1,0.01,0.09141925263331148,0.08939189581850883,0.09348666755293397,0.10032754160101402,0.09874339993951894,0.10195190142152971,0.037506025369815586,0.03664039493649201,0.03840718253052519,0.14413938910103904,0.14058049606549963,0.1478639252804001,-0.07519033225397494,-0.07834551987922736,-0.07200789206773776,0.0001512551721301607,-0.0016158616369784868,0.0020510283907180043,0.08216857331006894,0.0806903931799819,0.08351688620366371,29460.291666666668
noise,L1,0.05,0.1736486417416664,0.16902541906002397,0.1782235122957683,0.19302179353221108,0.18951558423899892,0.1966957370044157,0.1558722886678582,0.1525758117350228,0.15915086447469387,0.14982500795719403,0.14576615359621328,0.15393670030295692,-0.1412995868528161,-0.1470837535629467,-0.1353394376722393,0.002080099379182241,-0.0005070895975486914,0.004586172768216504,0.2802655515069428,0.2758675741622286,0.28441893121289474,29456.291666666668
noise,L1,0.1,0.2089949738227662,0.20235044422018444,0.21540221948688754,0.23369385826229205,0.22894543854606114,0.23839415671861833,0.25966169769626796,0.2534511840673468,0.26602439140842926,0.1512467839054058,0.1469094055534914,0.15563935522120068,-0.1644650341455011,-0.172098864157843,-0.15648310883291355,0.00013326630784831622,-0.002205033399691755,0.0023505624213765036,0.39729897280341,0.39138776405743336,0.4029203880381929,29451.291666666668
noise,L1,0.5,0.2105732298529198,0.19968588018954941,0.22183421554928942,0.24490780007545318,0.23645574265026276,0.2537560755316383,0.5414520994791471,0.5274855370344369,0.5569741597929274,0.123274039851066,0.11779787945681065,0.1287565408857249,-0.14832618619644264,-0.16006311725885214,-0.13755442167420895,0.0007861830695480303,-0.001920322105784522,0.003324323850007559,0.6506189892471043,0.6438107184887636,0.65708018409897,29411.291666666668
noise,L1,1.0,0.17127215832662215,0.15989200472021922,0.18253961677496253,0.19519922208920568,0.18445236032619228,0.20538476675302664,0.6064280418250887,0.5771473725862534,0.6325164917922282,0.08948832764569577,0.08283945092192664,0.09607487146615093,-0.11439682405428282,-0.12485949923661736,-0.1044861382919221,0.001086085894857974,-0.0012401463881273553,0.0033551788995184015,0.7585668719047605,0.7503382679402949,0.7666564686899284,29361.291666666668
noise,L1,5.0,0.08812994776647089,0.07482711279131934,0.10120439705083994,0.09412349745885866,0.08009454860480893,0.10745610898392198,0.6816742895247745,0.5877115654890623,0.768278096290237,0.038085501285503094,0.030730518797845316,0.04506099650826913,-0.05277454990627661,-0.06624670017204733,-0.0397826012339349,0.0007733844603741673,-0.0013391496347955306,0.002931059752897677,0.9160291141974536,0.9098113568477547,0.922067753416685,28961.791666666668
noise,L5,0.01,0.03770976125060079,0.034462782748471345,0.04095168153305003,0.028232580085797654,0.025654191602639435,0.03070881734709442,0.029128561836602947,0.026608687713771242,0.03153150693667177,0.03869093082470074,0.0349966297896666,0.04246995402413991,0.03847228027837569,0.03528727871984217,0.041727943053588464,-0.000889379913259619,-0.0029806562558778497,0.0012826498597319474,0.08216857331006894,0.0806903931799819,0.08351688620366371,29460.291666666668
noise,L5,0.05,0.07842060256790008,0.07140058874593656,0.08534758817102499,0.06068021570231452,0.055606898502918334,0.0656521328514656,0.1328073938388086,0.12077876211477605,0.1442719101681572,0.043277064205278104,0.03932196172208333,0.047428049021291115,0.08336804373257688,0.07648692771205938,0.09036739260222312,0.0009375128586790907,-0.0019000974673970086,0.0039113752949195306,0.2802655515069428,0.2758675741622286,0.28441893121289474,29456.291666666668
noise,L5,0.1,0.10178098187731476,0.09318985777813374,0.11070972309572749,0.07977873040700194,0.07245385445928576,0.08699416194884033,0.23888582856265292,0.2180976321181206,0.25984124356576055,0.047022205810305806,0.04204704298558327,0.05207962384721471,0.1136913202230078,0.10425221441447316,0.12304905947137285,-0.0014257624106791152,-0.004116948739816681,0.001365251110104664,0.39729897280341,0.39138776405743336,0.4029203880381929,29451.291666666668
noise,L5,0.5,0.14678632016415283,0.133357542372014,0.16094378213319213,0.1177797732210591,0.103717311204878,0.13316528746929862,0.7188923923078231,0.6479422803690108,0.792258350312155,0.05052555142933619,0.04363085416997277,0.057958563360544994,0.20230572327242266,0.18820931461355178,0.21661619676558524,-0.0008456312808440796,-0.0031328157994304153,0.001424338245540297,0.6506189892471043,0.6438107184887636,0.65708018409897,29411.291666666668
noise,L5,1.0,0.14110897862255414,0.12343640646104073,0.15943577599404954,0.11617144966620745,0.09748054671419194,0.1368363014789455,0.9495609529357502,0.829012736323763,1.0765497422274117,0.04231445935462779,0.03298033276463302,0.05240544609727598,0.22529545186260078,0.2073541756928532,0.2437698856548224,7.181919364790083e-06,-0.0022406565132998698,0.002572956126363937,0.7585668719047605,0.7503382679402949,0.7666564686899284,29361.291666666668
noise,L5,5.0,0.07240622512569955,0.04978390378237668,0.09471526737055032,0.06328999229978242,0.03732106321896319,0.08825575500940162,1.0675824486203418,0.7283839660501461,1.3951609339401205,0.022234436857300716,0.01061492931482005,0.033241857803809845,0.1510755764742043,0.12395573417825018,0.1760645804501194,-0.00018346751872360886,-0.0023423769177135984,0.0017348472059705463,0.9160291141974536,0.9098113568477547,0.922067753416685,28961.791666666668
noise,L1_spread1,0.01,0.12522004161434336,0.12242572348704629,0.1280211795634782,0.14729652407249513,0.14539426782985118,0.1490624669788541,0.035263284732015863,0.034474328471851716,0.03598812841475152,0.30901969295998316,0.3030598394132874,0.3152604935614314,-0.12157896109350437,-0.12420105182340571,-0.11891124126603528,0.0004421696550475078,-0.001565923895591825,0.0025499253706108235,0.03836763869171373,0.03764558069774442,0.03901635146148686,20178.75
noise,L1_spread1,0.05,0.22947828874942056,0.2233944327914861,0.23593058229984312,0.2790145985535258,0.2754341832467178,0.28273115146868405,0.15047252176092404,0.14779918804733042,0.15302821317338905,0.2981725082710221,0.2924181575022774,0.304202559964337,-0.2181178542577401,-0.22251063905694754,-0.21326650781697506,9.066575268922097e-05,-0.0025860902094505425,0.0027904421497809712,0.15164649252414084,0.14903794014679772,0.15405779830789595,20176.083333333332
noise,L1_spread1,0.1,0.26660055640925423,0.2578806364648516,0.27569864409139977,0.3258455913618045,0.3203728335266355,0.3320484706062314,0.2520397474730122,0.24630327385198517,0.2578266127815872,0.27768094374790925,0.27189580157320187,0.2842448408585845,-0.2406795045536252,-0.24672985451003782,-0.2344294235172255,0.001112109895744661,-0.0015361461390924593,0.0036532969140945,0.24357235558080514,0.23938766253445873,0.24760349408349608,20172.791666666668
noise,L1_spread1,0.5,0.2452442125406918,0.23366306585494437,0.2577835368805325,0.2955549223443305,0.28505983891566383,0.30616110726517964,0.5430157142683152,0.5255930216333309,0.5612336460075055,0.17053857381863788,0.1631853301459146,0.1779664064628923,-0.18826839662529019,-0.19949127745392542,-0.1772584466041798,-0.0015640104097532396,-0.003687969509183067,0.0006046085912005972,0.5453728494689415,0.5375416335374809,0.5528414404695424,20143.208333333332
noise,L1_spread1,1.0,0.18847809431560045,0.17479286619529694,0.20214114557676657,0.2212665260721093,0.20817327110418207,0.23448142183052925,0.608945966038574,0.5736957233961324,0.6414956833933115,0.11119046978423448,0.10226489052787784,0.12015265170092701,-0.14000207916829532,-0.14961589055468186,-0.1301797882353694,-0.0010907552058519107,-0.0037075914787666688,0.0016194074477357899,0.6898187757539063,0.6793986909895712,0.700538656287993,20107.541666666668
