env,horizon_s,obi_lo,obi_hi,mean_dm_ticks,ci_lo,ci_hi,sessions,mean_n
informed,0.5,0.4,0.8,0.4089535199600993,0.3643645665135873,0.4545064908614976,24,6176.125
informed,0.5,0.8,1.0001,0.6875961032588508,0.6138668279070199,0.7664536893703232,24,1966.6666666666667
informed,1.0,-1.0001,-0.8,-0.6914918134391018,-0.8175814010719096,-0.5663066837092143,24,1804.375
informed,1.0,-0.8,-0.4,-0.3835076306386885,-0.4635435708627665,-0.30506916266453993,24,6172.25
informed,1.0,-0.4,-0.1,-0.1570512111174581,-0.22453338944657167,-0.0905461238619968,24,4921.75
informed,1.0,-0.1,0.1,0.06186526671232517,-0.013007497162517572,0.14071687277186734,24,3271.0833333333335
informed,1.0,0.1,0.4,0.22031644341715276,0.1344927829132108,0.30694832318202586,24,4771.291666666667
informed,1.0,0.4,0.8,0.41344319073200825,0.3262796040843151,0.49990867019613483,24,6165.458333333333
informed,1.0,0.8,1.0001,0.6963952796743337,0.5755299876359297,0.8228732238321905,24,1963.4583333333333
informed,5.0,-1.0001,-0.8,-0.5633790277529127,-0.9420276653638199,-0.17602269830068917,24,1780.6666666666667
informed,5.0,-0.8,-0.4,-0.262752654873788,-0.6078033293336463,0.0711914199814588,24,6093.0
informed,5.0,-0.4,-0.1,-0.10469564840662778,-0.45983750125943507,0.24483360891402028,24,4858.375
informed,5.0,-0.1,0.1,0.15720473121449144,-0.16560058649836037,0.48830626136794164,24,3225.9166666666665
informed,5.0,0.1,0.4,0.36422615807903047,-0.0022866593069763605,0.7209090644520595,24,4703.291666666667
informed,5.0,0.4,0.8,0.48323763867426045,0.14532308476398695,0.8132602107104656,24,6076.333333333333
informed,5.0,0.8,1.0001,0.7314325862202121,0.3485345832790355,1.118474580268262,24,1934.625
