env,shock_lots,curve,initial_effect,half_life_s,half_life_ci_lo,half_life_ci_hi,frac_boot_halving,effect_at_10s,effect_at_10s_ci_lo,effect_at_10s_ci_hi,effect_at_1s,effect_at_1s_ci_lo,effect_at_1s_ci_hi,n_shocks_per_session
noise,20,mid,0.5340277777777778,,,,0.0,0.6218750000000001,0.485390625,0.7625781249999998,0.6041666666666666,0.4988802083333332,0.7198697916666664,20.0
noise,20,spread,0.3219100252352799,0.1096419060908147,0.08697241868215987,0.1479876410598666,1.0,-0.008581349206349209,-0.02698412698412699,0.0029761904761904747,0.014616255287558347,-0.002843684433830886,0.028840962953976097,20.0
noise,20,depth,0.1461572222305223,0.7606522320249692,0.6354083411567126,0.9656688990334521,1.0,0.0012329118425205014,-0.0005496870822929904,0.0035876050141338232,0.06533704818326078,0.05173989084438975,0.0796983020288695,20.0
noise,60,mid,1.6236111111111111,,,,0.0,1.7406250000000003,1.517578125,1.9649999999999999,1.76875,1.5468489583333334,2.0115624999999997,20.0
noise,60,spread,1.0220897466672487,0.12828507949521595,0.11369722069292744,0.14897205879157652,1.0,-0.008581349206349209,-0.027021329365079363,0.002734374999999992,0.09924675884791584,0.0653434848219333,0.13599161829441073,20.0
noise,60,depth,0.4463217583940277,0.6727800932227863,0.5987827908845391,0.7376694610776431,1.0,0.0022308039488556307,3.840116836635815e-05,0.004831330093282183,0.16796968974441054,0.14748146447715818,0.1888044358986182,20.0
informed,20,mid,0.6762499999999969,0.7984285714285684,0.3224859422492421,1.5829417155424936,1.0,-0.17791666666666964,-0.5152382812500979,0.1341835937499244,0.29395833333333027,0.04595052083332092,0.49693489583335326,20.0
informed,20,spread,0.31319267365476006,0.11158151779745479,0.07726886307192365,0.14904104775924948,1.0,0.010304703151652377,-0.08656779254222212,0.09775903445336377,0.008921556185106587,-0.07387470658427105,0.10910184397301438,20.0
informed,20,depth,0.18563488201133146,0.3539459792941806,0.23424122032352807,0.7204760422066057,1.0,-0.04405842504576916,-0.12784133334159328,0.01509590635921191,0.032577233280251215,-0.019232252948772833,0.09284638502900737,20.0
informed,60,mid,1.6321875000000357,2.5385958904109938,1.4928478022529597,3.4785526960784376,1.0,0.08739583333336896,-0.3640950520832543,0.4218124999999915,1.2967708333333692,1.086854166666721,1.5382890624999865,20.0
informed,60,spread,0.7450980834036515,0.16298525239389053,0.13208795418029676,0.2160285212672268,1.0,-0.04655070491525815,-0.13358075057274682,0.043729499817696416,0.05352065977683082,-0.01515432896078359,0.11945149475846088,20.0
informed,60,depth,0.5074109982219387,0.421502064316049,0.364816509873172,0.5141661825679509,1.0,-0.015494264220677567,-0.0728647975421458,0.038543531198828425,0.10971348472845388,0.07322359383282905,0.13965841313000155,20.0
