gamma,inventory_limit,n,pnl_net_mean,pnl_net_median,pnl_net_std,pnl_net_ci_lo,pnl_net_ci_hi,pnl_edge_mean,pnl_edge_median,pnl_edge_std,pnl_edge_ci_lo,pnl_edge_ci_hi,pnl_inventory_mean,pnl_inventory_median,pnl_inventory_std,pnl_inventory_ci_lo,pnl_inventory_ci_hi,sharpe_1s_mean,sharpe_1s_median,sharpe_1s_std,sharpe_1s_ci_lo,sharpe_1s_ci_hi,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_ci_lo,max_drawdown_ci_hi,fill_rate_orders_mean,fill_rate_orders_median,fill_rate_orders_std,fill_rate_orders_ci_lo,fill_rate_orders_ci_hi,adverse_cost_500ms_mean,adverse_cost_500ms_median,adverse_cost_500ms_std,adverse_cost_500ms_ci_lo,adverse_cost_500ms_ci_hi,n_fills_mean,n_fills_median,n_fills_std,n_fills_ci_lo,n_fills_ci_hi,inv_abs_mean_mean,inv_abs_mean_median,inv_abs_mean_std,inv_abs_mean_ci_lo,inv_abs_mean_ci_hi,inv_max_abs_mean,inv_max_abs_median,inv_max_abs_std,inv_max_abs_ci_lo,inv_max_abs_ci_hi,pnl_vol_1s_mean,pnl_vol_1s_median,pnl_vol_1s_std,pnl_vol_1s_ci_lo,pnl_vol_1s_ci_hi,quote_lifetime_mean_s_mean,quote_lifetime_mean_s_median,quote_lifetime_mean_s_std,quote_lifetime_mean_s_ci_lo,quote_lifetime_mean_s_ci_hi,killed_mean,killed_median,killed_std,killed_ci_lo,killed_ci_hi,diverged_mean,diverged_median,diverged_std,diverged_ci_lo,diverged_ci_hi
0.0,5,12,7.464166666666674,7.439999999999898,2.0428932617216486,6.408583333333429,8.626208333333349,19.250833333333333,18.9075,2.636251499705021,17.957885416666667,20.72846875,-11.78666666666666,-11.532499999999835,1.74164020568565,-12.787614583333353,-10.894020833333174,0.3776064872685067,0.3676364078450729,0.10377055994022821,0.32463163222965974,0.4335002971320084,0.8541666666666453,0.8524999999999636,0.2208231844437335,0.737052083333303,0.9825104166666235,0.2514046487343378,0.247786381168963,0.016769830204770717,0.24306891575434336,0.26053169488517086,1.176096271533675,1.1717023995263682,0.13960185248022058,1.1006372331407326,1.2556748291713127,282.1666666666667,273.5,35.55746522649405,264.9145833333333,302.8375,3.237836663770634,3.1959165942658556,0.21687207322674046,3.131020127425427,3.360445626991022,5.0,5.0,0.0,5.0,5.0,0.17277675950738813,0.17334158160939145,0.01810758956317718,0.16326657405132428,0.1824661290516789,0.1765813854359898,0.1767313868653162,0.009109999383676095,0.1714826170699329,0.1813100506772796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10,12,6.9041666666667,7.0850000000001785,2.513520560102994,5.536166666666634,8.253677083333448,21.685833333333335,21.0475,2.645698767754366,20.293104166666666,23.160749999999997,-14.781666666666633,-13.589999999999632,3.1795077758938834,-16.54422916666667,-13.169135416666538,0.24012682390519388,0.2305046113469125,0.0959405919794493,0.1898696183387455,0.2898334612016656,2.2120833333334056,1.8900000000002137,1.145640865378071,1.6597500000000436,2.859177083333451,0.24829919764697975,0.24402010314134748,0.019939617393133772,0.23727510005942673,0.2592766235392472,1.1401610289763056,1.0895033744893992,0.2110462766126757,1.0336169716800478,1.2521421185485955,316.6666666666667,311.5,39.31766508681292,295.40833333333336,339.5,6.019548218940052,6.0916594265855775,0.6492503512175123,5.654202867072112,6.355678033593976,10.0,10.0,0.0,10.0,10.0,0.257300283068644,0.2589566749645531,0.03515615958440952,0.23793800536670368,0.27589663014093,0.17575854311339792,0.17442859607402234,0.01060947360198473,0.16980841882773065,0.18189334365049217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20,12,5.962500000000009,6.309999999998922,4.536736161603525,3.5394166666665487,8.303406249999998,24.25375,23.185000000000002,3.1743181980903037,22.50558333333333,25.91345833333333,-18.29124999999999,-17.87499999999976,4.766972130761754,-20.85964583333366,-15.880447916665618,0.13108894732798035,0.14664316550675793,0.09731782492617795,0.07850285627874018,0.18152172504443087,4.007500000000088,3.2275000000000773,1.6177488567872302,3.1969895833333464,4.935895833333416,0.24585891267125348,0.2459296556286523,0.016333268732788772,0.2367354822884813,0.2546393725310331,1.1645137822970357,1.1435270034558913,0.20342545872857914,1.059902536604338,1.2723920444370602,341.5,331.0,41.72311328050894,319.5,363.42083333333335,10.884955111497248,10.823197219808861,0.7283922143863494,10.47841369823342,11.262747972777296,20.0,20.0,0.0,20.0,20.0,0.4126055044896662,0.40563539680767924,0.04733689192536946,0.38892530721636265,0.4372399001059105,0.17640993412714137,0.1781503798402967,0.00923678325439972,0.17136448642901614,0.18155035197403466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,50,12,12.702083333332695,13.43500000000131,6.8351057245053894,8.756437499999345,16.223406250000014,25.471666666666664,25.3125,2.735846497997661,24.106239583333338,27.028666666666666,-12.769583333333971,-10.990000000000455,7.880162220970145,-17.44347916666779,-8.771864583333468,0.14991656171680648,0.1585671919825693,0.09630165149316075,0.09665038334722023,0.20247009584243925,7.954166666667125,6.897500000000946,4.359264342301353,5.870937500000774,10.371291666667188,0.24704900344052239,0.24638024547706627,0.014150950545524803,0.2393420065947238,0.2544396657759204,1.0904397723219146,1.084774178007949,0.13877691980230852,1.0125297215829818,1.1629977943975578,358.25,356.0,37.44844941564822,338.82916666666665,379.66875,24.76209093541848,24.475238922675935,4.7341622008871225,22.3589740805097,27.368871271358238,50.0,50.0,0.0,50.0,50.0,0.8100047597194736,0.8396955383358733,0.16935613418727358,0.7110483973170887,0.896322872276216,0.17619090194408868,0.17645112833087478,0.008465959061795841,0.17124302926514667,0.18071029771950178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,100,12,13.930000000001684,17.487500000000637,9.544020260209479,8.166885416667043,18.644135416668302,25.980833333333333,25.9125,3.0297035808604758,24.31917708333333,27.5758125,-12.050833333331648,-7.852499999998635,11.159936223615063,-18.667739583331343,-6.5011666666639725,0.14335486856351007,0.16890734835416144,0.10169661785315276,0.08506082634085581,0.19450512992166627,12.092916666665682,9.382500000000732,8.830096894949993,7.744552083333114,17.170354166664442,0.24274449886530938,0.2449982466235155,0.016460564907575442,0.2332487913250074,0.2506568949663731,1.068768002016692,1.0819055819554324,0.13851238207341732,0.9981921609410271,1.1440843742388092,361.9166666666667,355.0,42.18025891841162,340.0833333333333,384.5020833333333,32.69989863886476,32.69331016507385,13.103012828403823,26.18779865334492,39.63343650448884,81.41666666666667,80.0,18.961484087166774,71.16458333333334,91.33333333333333,1.064019219033725,1.079576916331991,0.40292126391529004,0.8519787074100476,1.2829278081734954,0.17741614978183032,0.1784371909309359,0.009616940442345083,0.1720112752189444,0.18281661721057643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,5,12,6.475833333333249,6.9275000000000375,2.6639588050778524,4.983677083333212,7.836583333333252,21.545,21.23,3.0805482097716426,19.930291666666662,23.153531250000004,-15.069166666666751,-15.692500000000177,2.5624463039459933,-16.384343750000124,-13.783291666666734,0.35679760058231863,0.3917230610030813,0.15725521382361432,0.26562372316626104,0.4334084161013966,1.0587499999999916,0.837499999999892,0.6148951314876954,0.7732604166666489,1.4059583333333054,0.24910532402519267,0.24242914538278415,0.01889448377908201,0.23940589744171123,0.2591066158266693,1.2868952354491092,1.277385185386244,0.17778778544324672,1.1903672659374482,1.3773552614340248,337.5,335.0,42.60495062996574,315.3208333333333,360.6666666666667,2.5796408919779905,2.6012163336229364,0.17952715063050514,2.487139805965827,2.6857822907616566,5.0,5.0,0.0,5.0,5.0,0.16589502126269023,0.15890758382208264,0.026775384818683294,0.15265270938044212,0.1806407215559631,0.16092452975875654,0.15710783189263394,0.011768908121110309,0.1544816239172352,0.16754162533311004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,10,12,6.7012500000001625,7.012500000000102,2.849285496560594,5.219666666666648,8.18333333333367,24.4825,23.4225,3.5620349776241924,22.608385416666668,26.475906250000005,-17.781249999999837,-17.34500000000034,5.004790035101882,-20.694531249999823,-15.282354166666357,0.29771913474651707,0.33518888363186417,0.14560258689424235,0.2212055870883695,0.37399512264057677,1.972500000000058,1.4700000000000557,1.2295906562016221,1.371666666666758,2.7000416666668814,0.23548564194789912,0.2324053266749896,0.017195174397584535,0.2267056111815637,0.2443337451496325,1.2904186306135947,1.2022525410658607,0.2316491488114696,1.1749003619928668,1.4227432594922076,365.4166666666667,349.5,55.54434482847234,336.74375,395.16875,3.4527222704894296,3.4578627280625542,0.2969100896276064,3.2937880104257165,3.6126411815812336,10.0,10.0,0.0,10.0,10.0,0.21399186025322772,0.1979115981249242,0.05417788932749345,0.18952350175846788,0.2458309378362709,0.1614308384451729,0.16524036673421022,0.010875597852594194,0.1553474922154678,0.1671214577652416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,20,12,5.418750000000009,5.49000000000018,1.6520883822387964,4.6228854166661755,6.292104166666833,26.054999999999996,25.212500000000002,2.793142576838041,24.683052083333333,27.603062500000004,-20.636249999999993,-20.129999999999306,4.138498918141339,-22.801625000000186,-18.582177083333082,0.20693992118560975,0.1947167730030039,0.10633056688978278,0.15900422234213785,0.2675698714086776,2.340000000000033,2.2375000000004377,0.8020485136085689,1.9585104166667198,2.790020833333321,0.24235670597774464,0.23838160426127813,0.014847976650335697,0.2347929917688217,0.2504926407822668,1.383759140929052,1.3881965421577545,0.20573034868018072,1.2765662621882188,1.4777025153373338,390.0,374.5,49.324528288764114,365.4916666666667,417.67291666666665,3.8570807993049523,3.870112945264987,0.4465509141590824,3.637266507384883,4.101663408630176,19.416666666666668,20.0,1.1645001528813153,18.75,20.0,0.24632839414032204,0.2512816430073245,0.04379240422435304,0.2236965962500348,0.26842373156889676,0.15781231772226315,0.16145676952824023,0.009570156631743074,0.15232865852761787,0.16269788881405217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,50,12,5.492083333333387,5.7999999999998835,2.6148061446778708,4.1463125000000876,6.940489583333477,25.122083333333336,24.655,2.4751882006804813,23.9338125,26.517354166666667,-19.62999999999995,-18.809999999999874,4.295069054371733,-21.886927083333397,-17.419499999999697,0.21565815336054492,0.22970413872856538,0.10644146262300161,0.15826678638744074,0.27027600641229715,2.3766666666665848,1.9449999999998795,1.3603046673002055,1.7166249999998766,3.165447916666627,0.2371174037342003,0.2337765352215355,0.01399011131915732,0.2306017645210339,0.24528479098982725,1.3514155103575816,1.36124879051094,0.2564451766624714,1.2195703097360715,1.4983829378010165,377.0,373.5,37.68047480882084,357.57916666666665,398.4270833333333,3.87141615986099,3.908774978279757,0.45538892225987004,3.6302436287286417,4.116512814943528,22.0,22.0,3.2192602199319587,20.166666666666668,23.666666666666668,0.24032332480318822,0.23415309661342604,0.051505551311961766,0.2163909833472268,0.2698031488460489,0.16003037698845288,0.1599540553333748,0.006908248661889131,0.15632401297048096,0.16347354138179723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,100,12,5.492083333333387,5.7999999999998835,2.6148061446778708,4.1463125000000876,6.940489583333477,25.122083333333336,24.655,2.4751882006804813,23.9338125,26.517354166666667,-19.62999999999995,-18.809999999999874,4.295069054371733,-21.886927083333397,-17.419499999999697,0.21565815336054492,0.22970413872856538,0.10644146262300161,0.15826678638744074,0.27027600641229715,2.3766666666665848,1.9449999999998795,1.3603046673002055,1.7166249999998766,3.165447916666627,0.2371174037342003,0.2337765352215355,0.01399011131915732,0.2306017645210339,0.24528479098982725,1.3514155103575816,1.36124879051094,0.2564451766624714,1.2195703097360715,1.4983829378010165,377.0,373.5,37.68047480882084,357.57916666666665,398.4270833333333,3.87141615986099,3.908774978279757,0.45538892225987004,3.6302436287286417,4.116512814943528,22.0,22.0,3.2192602199319587,20.166666666666668,23.666666666666668,0.24032332480318822,0.23415309661342604,0.051505551311961766,0.2163909833472268,0.2698031488460489,0.16003037698845288,0.1599540553333748,0.006908248661889131,0.15632401297048096,0.16347354138179723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
