env,scope,group,horizon,metric,mean,ci_lo,ci_hi,sessions,mean_fills
noise,mm_profile,all,-,E,1.2821935906956543,1.2648496622703256,1.297309805384782,24,352.5416666666667
noise,mm_profile,all,10ms,M,-0.7058533591849306,-0.7419618621505165,-0.6752863051648749,24,352.5416666666667
noise,mm_profile,all,10ms,R,0.5763402315107234,0.5269950864588469,0.6135271828795458,24,352.5416666666667
noise,mm_profile,all,50ms,M,-0.748921798106389,-0.7862099934889588,-0.7179409448791289,24,352.5416666666667
noise,mm_profile,all,50ms,R,0.5332717925892653,0.4826025989159725,0.5723075512499454,24,352.5416666666667
noise,mm_profile,all,100ms,M,-0.7708012454174291,-0.8149074990371282,-0.7348666024179316,24,352.5416666666667
noise,mm_profile,all,100ms,R,0.5113848141873903,0.4529464995341035,0.557104200532813,24,352.5416666666667
noise,mm_profile,all,500ms,M,-0.8372886169966643,-0.9054112282092609,-0.7850258337487999,24,352.5416666666667
noise,mm_profile,all,500ms,R,0.4446928839421029,0.36256808020889475,0.5034212797828558,24,352.5416666666667
noise,mm_profile,all,1s,M,-0.8642345792012273,-0.9381871412800853,-0.8035974554954511,24,352.5416666666667
noise,mm_profile,all,1s,R,0.41727071950730404,0.32880899885100373,0.48580365475012005,24,352.5416666666667
noise,all_profile,all,-,E,0.9347896983323404,0.9234875625319178,0.945870178949636,24,4818.166666666667
noise,all_profile,all,10ms,M,-0.3357579656136365,-0.3571670534959445,-0.3187544694243401,24,4818.166666666667
noise,all_profile,all,10ms,R,0.5990360822274895,0.579979356375254,0.6136827805847992,24,4818.166666666667
noise,all_profile,all,50ms,M,-0.3541415762538256,-0.37469674229277544,-0.3370467647677862,24,4818.166666666667
noise,all_profile,all,50ms,R,0.5807091937818587,0.5618905802657823,0.5960496811985162,24,4818.166666666667
noise,all_profile,all,100ms,M,-0.36754022110789925,-0.3894916342699377,-0.3487887487764615,24,4818.166666666667
noise,all_profile,all,100ms,R,0.5673211764471578,0.5469071871991725,0.5841216736495292,24,4818.166666666667
noise,all_profile,all,500ms,M,-0.40807302506504434,-0.4511331701226815,-0.3790301349598532,24,4818.166666666667
noise,all_profile,all,500ms,R,0.5268231576817546,0.48464530721581633,0.5552041124452225,24,4818.166666666667
noise,all_profile,all,1s,M,-0.4338354969619447,-0.493492533447367,-0.39054296933813415,24,4818.166666666667
noise,all_profile,all,1s,R,0.5009910450878426,0.44221860303758503,0.5421483344648922,24,4818.166666666667
noise,null_random_times,all,10ms,M,0.00024791666666666663,-0.000334375,0.0008333854166666667,24,nan
noise,null_random_times,all,50ms,M,0.0007145833333333332,-0.0005011979166666666,0.0019094531250000006,24,nan
noise,null_random_times,all,100ms,M,-7.291666666666673e-05,-0.001489609375,0.0014148958333333346,24,nan
noise,null_random_times,all,500ms,M,-0.0013239583333333332,-0.004750052083333334,0.001847447916666669,24,nan
noise,null_random_times,all,1s,M,-0.004434375,-0.010623671875,0.0014671875000000017,24,nan
noise,mm_by_inventory,extends_inventory,100ms,E,1.5493854555920847,1.5244380757804141,1.574203144204838,24,98.45833333333333
noise,mm_by_inventory,extends_inventory,100ms,M,-1.2148588905286581,-1.363119163126567,-1.0940475921734651,24,98.45833333333333
noise,mm_by_inventory,extends_inventory,100ms,R,0.3345265650634264,0.1997262819562416,0.4445343093371588,24,98.45833333333333
noise,mm_by_inventory,extends_inventory,1s,E,1.5493854555920847,1.5244380757804141,1.574203144204838,24,98.45833333333333
